,https://roic.ai/company/OBCI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279818,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39112
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-440016,- -,-540531,-549255,-555275,-468306,-757362,-1138737
94,Other Financing Activites,- -,- -,-100000,- -,-300000,-100000,400000,100000,100000,5000000,3300000,-300000,-400000,1379803,-607515,3509585,152147,-798844,658799,-1911066,-843168,-311099,673381,-422915,3345125,-680504,79667,63250,- -,13176,5307837,2724206,992850,1557509,4951989
95,Cash Used/Provided by Financing Activities,- -,- -,-100000,- -,-300000,-100000,400000,100000,300000,1600000,3300000,-300000,-400000,1379803,-607515,3509585,152147,-569170,751718,-1765446,-652652,-590917,-2445388,-1125062,-215145,-1080915,-327428,-791290,-437988,-978503,3442826,-913254,-923898,-1267090,3020856
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48526,-53535,-40642,66252,32459,25211,3559,-32955,-6947,2693,-7,-342,49,-1965,-23404,-1516,-1160,28,-1247,2140,716,13
97,Net Change In Cash,- -,- -,-100000,- -,-300000,-100000,400000,100000,- -,- -,- -,- -,- -,-310257,-41515,1011826,-1050903,945183,-783563,-133463,679821,-223845,-32083,120071,-29687,923028,1563502,-9158,-594314,1602030,-1651961,-1431920,4276496,3590732,1083783
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,123515,82000,1093826,42923,988106,204543,71080,750901,527056,494973,615044,585357,1508385,3071887,3062729,2468415,4070445,2418484,3733924,8010420,11601152,12684935
99,Cash at the Beginning of Period,- -,- -,100000,200000,300000,500000,100000,500000,600000,1000000,400000,800000,- -,433772,123515,82000,1093826,42923,988106,204543,71080,750901,527056,494973,615044,585357,1508385,3071887,3062729,2468415,4070445,5165844,3733924,8010420,11601152
100,Free Cash Flow,- -,- -,200000,100000,500000,-300000,- -,-100000,100000,-2200000,-2900000,-500000,400000,-1883873,587113,-1305007,-2304201,1357452,-1562343,1628423,1365428,374019,2410612,1343067,148958,2003894,1892895,955536,-209810,2581693,-2347455,-517419,5198254,4370449,-1937086
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/0000350737-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073797000002/0000350737-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073798000002/0000350737-98-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073701000015/0000350737-01-000015-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073702000026/0000350737-02-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073709000011/0000350737-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073710000008/0000350737-10-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/350737/000114420412018741/0001144204-12-018741-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390013001468/0001213900-13-001468-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390014001908/0001213900-14-001908-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390015002276/0001213900-15-002276-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390016012017/0001213900-16-012017-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390017003152/0001213900-17-003152-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390018003739/0001213900-18-003739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390019005188/0001213900-19-005188-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390020007739/0001213900-20-007739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390021018281/0001213900-21-018281-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390022016505/0001213900-22-016505-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
