,https://roic.ai/company/AJG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33300000,114300000,60000000,406600000,352900000,334300000,819700000,461600000,1154200000,35500000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-800000,58100000,9400000,17800000,19200000,2800000,300000,17100000,48971000,-42289000,24006000,46600000,15700000,15500000,-25100000,43600000,-156600000,65600000,148700000,125800000,66600000,-409200000,168500000,144100000,-195600000,258300000,425100000,196500000,989200000,291700000
82,Other Non-Cash Items,- -,- -,- -,- -,6700000,28600000,26400000,- -,-59600000,89600000,-15100000,-20700000,27200000,-3800000,-37300000,30895000,154022000,-72204000,43706000,102200000,181700000,-7100000,-16300000,184500000,-234800000,-127500000,32400000,59300000,370800000,-748300000,-25200000,181900000,-465900000,-467900000,190600000,-435000000,202100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,17200000,44300000,44100000,25600000,31000000,77800000,41500000,33600000,65600000,56400000,63700000,136229000,130309000,149683000,229000000,277200000,188800000,104700000,252300000,160600000,211500000,231800000,283100000,343000000,349900000,402300000,652600000,622100000,854200000,765100000,1119200000,1752500000,1704100000
84,CAPEX,- -,- -,- -,- -,-4700000,-7200000,-7700000,-5800000,-7000000,-7400000,-9400000,-10100000,-11300000,-14000000,-16600000,-14568000,-24319000,-45430000,-25300000,-29000000,-22800000,-33000000,-40700000,-32000000,-23500000,-25400000,-40000000,-51000000,-93600000,-81500000,-99000000,-217800000,-129200000,-124400000,-138800000,-99300000,-128600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17893000,-5443000,-28700000,-112800000,-32900000,-72900000,-215000000,-274200000,-43700000,-78900000,-254100000,-332700000,-722200000,-1910100000,-333100000,-319500000,-372900000,-770300000,-1185800000,-316100000,-3235200000
86,Purchases of Investments,- -,- -,- -,- -,-50600000,-33200000,-57200000,-42200000,-56800000,-28400000,-21900000,-23700000,-30200000,-33300000,-44000000,-25832000,-13957000,-16004000,- -,- -,- -,- -,- -,- -,-27400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,35400000,44600000,31500000,40000000,51500000,32700000,22300000,30700000,32000000,50300000,41300000,23233000,23449000,13753000,- -,- -,- -,10000000,9100000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,-100000,-800000,-4500000,-20400000,400000,300000,-4300000,-26100000,-52200000,-20600000,-35810000,-45103000,4397000,8200000,2800000,41100000,- -,700000,- -,- -,12600000,-13200000,1500000,-35900000,-20100000,-29500000,-31900000,-138100000,-140000000,-190800000,-100700000,-196500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-19700000,4100000,-34200000,-12500000,-32700000,-2700000,-8700000,-7400000,-35600000,-49200000,-39900000,-52977000,-77823000,-48727000,-45800000,-139000000,-14600000,-95900000,-245900000,-295200000,-94600000,-91700000,-307300000,-382200000,-851700000,-2011700000,-461600000,-569200000,-511000000,-910300000,-1376600000,-416800000,-3431700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-286000000,-48000000,-141000000,-184000000,-489000000,-1500400000,-794000000,-2719200000,-4031000000,-3000000000,-4060000000,-3150000000,-1235000000
91,Common Stock Issued,- -,- -,- -,- -,700000,800000,1100000,4400000,13200000,3800000,8900000,9900000,11000000,17900000,21500000,27837000,27255000,15546000,23700000,30600000,28100000,24100000,22200000,22600000,8300000,36700000,73900000,82300000,76200000,997000000,203300000,45600000,60400000,81900000,101200000,111900000,1546700000
92,Common Stock Repurchased,- -,- -,- -,- -,-8600000,-3700000,-6800000,-15900000,-7000000,-43800000,-15100000,-21300000,-17100000,-8700000,-18400000,-31344000,-104123000,-11662000,-80800000,-56200000,-2200000,-33300000,-261800000,-1300000,-1000000,-800000,-1200000,-1500000,- -,- -,- -,-101000000,-17700000,-11300000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-5800000,-6700000,-8000000,-8700000,-10300000,-12700000,-14700000,-17500000,-20000000,-23200000,-28000000,-33759000,-41618000,-50359000,-61900000,-84900000,-102300000,-114400000,-118800000,-118500000,-127900000,-133500000,-145800000,-204400000,-182600000,-223100000,-257500000,-272200000,-282700000,-301800000,-321100000,-347400000,-392000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-4400000,-200000,6100000,-26200000,-2600000,800000,6200000,-3700000,-2800000,-18235000,21503000,-475000,-23200000,3300000,-4600000,5000000,399900000,137200000,301200000,49400000,279700000,353500000,1098000000,2324300000,838300000,3080700000,4223200000,3393200000,4918300000,2880400000,2764400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-13700000,-9600000,-18100000,-20400000,2000000,-78900000,-23500000,-28100000,-19900000,-17700000,-27700000,-55501000,-96983000,-46950000,-142200000,-107200000,-81000000,-118600000,41500000,40000000,-105400000,-96200000,65600000,45900000,502600000,1597800000,-9900000,33900000,-47800000,162000000,638400000,-505100000,2684100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,-4800000,27900000,-15100000,-21700000,72000000,-85000000,6100000,119800000,-64500000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3900000,27751000,-44497000,54006000,41000000,31000000,93200000,-109800000,47900000,-61500000,11500000,43900000,41400000,10900000,-4000000,16300000,166000000,65100000,367400000,-68200000,387100000,950400000,892000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61100000,99904000,97334000,152536000,193600000,224600000,317800000,208000000,255900000,194400000,205900000,249800000,291200000,302100000,298100000,314400000,480400000,545500000,2305000000,2236800000,2623900000,3574300000,4466300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,85600000,72700000,124600000,119700000,46500000,43500000,44200000,58800000,57000000,72000000,65000000,72153000,141831000,98530000,152600000,193600000,224600000,317800000,208000000,255900000,194400000,205900000,249800000,291200000,302100000,298100000,314400000,480400000,1937600000,2305000000,2236800000,2623900000,3574300000
100,Free Cash Flow,- -,- -,- -,- -,12500000,37100000,36400000,19800000,24000000,70400000,32100000,23500000,54300000,42400000,47100000,121661000,105990000,104253000,203700000,248200000,166000000,71700000,211600000,128600000,188000000,206400000,243100000,292000000,256300000,320800000,553600000,404300000,725000000,640700000,980400000,1653200000,1575500000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013196000860/0000950131-96-000860-index.html,https://www.sec.gov/Archives/edgar/data/354190/000095013197001973/0000950131-97-001973-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013101500324/0000950131-01-500324-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000119312504016970/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312505013417/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312506023110/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312507019450/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312508018228/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312509021344/0001193125-09-021344-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312510023360/0001193125-10-023360-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312511025625/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312512061292/0001193125-12-061292-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312513046126/0001193125-13-046126-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312514040834/d661245d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312515047308/d853008d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312516457703/0001193125-16-457703-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312517038619/0001193125-17-038619-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312518038261/0001193125-18-038261-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312519032304/0001193125-19-032304-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/0001193125-20-028191-index.html,https://www.sec.gov/Archives/edgar/data/354190/000156459021004555/0001564590-21-004555-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/0001564590-22-005714-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
