,https://roic.ai/company/ALOT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-22100000,-9700000,-14600000,-2900000,-2500000,-3100000,-10600000,-3446395,-3321296,-163798,-3235538,-6178524,-3725219,-7169000,-7600067,-7413000,-9687066,-6706050,-12957711,-8570791,-14825000,-21065000,-9306000,-5192000,-400000,-321000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,22500000,7500000,21300000,3300000,4000000,2500000,10200000,3838473,5170695,2244742,2508557,2580548,3479406,4763000,5437367,8101737,10379215,8254248,9644039,10155000,17640000,10835000,12885000,9978000,4029000,5539000,1511000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-10200000,- -,- -,-4300000,- -,600000,-100000,- -,2800,225000,25650,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,16500000,- -,4413000,2093000,730000,85000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-11500000,-1300000,-2900000,1100000,-500000,1100000,-1500000,-1000000,-4237333,870807,1195564,-1346404,-4319994,-1389756,-3441000,1767024,-4045454,-972778,-1524128,-5403530,429516,18466000,-18090000,5745000,-3542000,3121000,-20781000,-1534000,-2906000,-2587000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-828000,-6262000,-5208000,-22190000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,400000,100000,200000,100000,100000,100000,- -,23940,59716,15351,11165,2603722,529884,287000,1283567,830391,793186,487510,672016,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-300000,-900000,-1300000,-2000000,-451000,-807900,- -,- -,-235146,-453229,-30000,-1065500,-480068,- -,- -,-975682,-168789,-770000,- -,-6250000,- -,- -,-11238000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-300000,-500000,-600000,-600000,-600000,-600000,-700000,-700000,-709069,-700084,-681064,-681913,-703757,-828235,-848000,-1274448,-1380259,-1678463,-1712563,-2035778,-2055214,-2595000,-2103000,-2128000,-2048000,-2082000,-1944000,-1933000,-1972000,-497000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-600000,-400000,-300000,-300000,-100000,100000,-200000,-200000,-231574,-60453,-46832,-16465,-8290,- -,-1000,102761,316201,133755,76077,198449,305656,331000,1102000,977000,452000,79000,23067000,4077000,3438000,17547000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-800000,-500000,-1300000,-700000,-900000,-1300000,-2100000,-2900000,-1367703,-1508721,-712545,-687213,1656529,-751580,-592000,-953620,-713735,-751522,-1148976,-2140995,-1918347,-3034000,-1001000,-7401000,-1596000,-2003000,9057000,-4118000,-3742000,-5140000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-218000,-504000,-16000,79000,-371000,139000,-627000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-800000,-500000,-1300000,-700000,-900000,-1300000,-2100000,-2900000,-910422,-3229798,1763652,647314,1781608,1226479,-1626000,-3423,1152367,5230616,3176543,-6434961,3983486,19295000,-22658000,-383000,2085000,8055000,-7921000,-2643000,-3285000,7190000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4035867,806069,2569721,3217035,4998643,6225122,4599000,4595570,5747937,10978553,14155096,7720135,11703621,30999000,8341000,7958000,10043000,18098000,10177000,7534000,4249000,11439000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1800000,2000000,2000000,1300000,1100000,2000000,6600000,5700000,4946289,4035867,806069,2569721,3217035,4998643,6225000,4598993,4595570,5747937,10978553,14155096,7720135,11704000,30999000,8341000,7958000,10043000,18098000,10177000,7534000,4249000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,11100000,100000,2800000,-1900000,1400000,3800000,1900000,2600000,62403,-3795476,369603,2061508,3723055,2223872,1371000,-2987103,1177365,5289989,4227321,-980294,4317624,3014000,-4695000,-756000,4666000,5715000,1520000,735000,318000,12957000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8146/000119312504059648/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312505080395/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312506080376/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312507081629/0001193125-07-081629-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312508082816/0001193125-08-082816-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312509077930/0001193125-09-077930-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312510080519/0001193125-10-080519-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312511101229/0001193125-11-101229-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312512150141/d272581d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312513146041/0001193125-13-146041-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312514133678/0001193125-14-133678-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312515122389/0001193125-15-122389-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312516534900/0001193125-16-534900-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312517114309/0001193125-17-114309-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312518113108/0001193125-18-113108-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312519102788/0001193125-19-102788-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312520103834/0001193125-20-103834-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312521114283/0001193125-21-114283-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
