,https://roic.ai/company/SENEA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-40000,-370000,3620000,29170000,-33610000,14300000,-10700000,25600000,-104400000,-73200000,37900000,20500000,-60900000,20225000,-31554000,39898000,24828000,-57201000,-35193000,-33678000,-87212000,-72493000,39828000,-109489000,84893000,-123803000,-52555000,18915000,-22463000,152612000,-301201000,-53665000,152012000,117445000,51832000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4440000,13270000,13620000,26730000,-6390000,22900000,12200000,21900000,-27080000,-86100000,89800000,21600000,27000000,49584000,-14684000,66792000,68771000,1622000,18006000,31844000,70230000,-6232000,47279000,38112000,16964000,41882000,30976000,58049000,19432000,39158000,24324000,-13187000,97116000,127317000,183180000
84,CAPEX,- -,- -,- -,- -,-3650000,-6870000,-10120000,-11980000,-17170000,-8700000,-1700000,-11700000,-26970000,-67900000,-11700000,-69200000,-9500000,-19875000,-15395000,-13423000,-6832000,-23109000,-14415000,-11906000,-21627000,-32853000,-23198000,-20783000,-19473000,-27425000,-16371000,-19448000,-26213000,-9864000,-32139000,-32665000,-37728000,-65686000,-71431000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43481000,- -,- -,- -,-114172000,- -,- -,-21336000,- -,- -,- -,-20348000,- -,-5016000,- -,-16242000,-38795000,- -,-14420000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1210000,1990000,-3000000,-950000,70000,100000,100000,-100000,-16310000,9800000,18300000,- -,65700000,-3377000,7841000,1764000,677000,51368000,6233000,1215000,32227000,508000,611000,168000,1245000,1042000,10370000,998000,337000,1026000,427000,2075000,104387000,22529000,73688000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2440000,-4880000,-13120000,-12930000,-17100000,-8600000,-1600000,-11800000,-43280000,-58100000,6600000,-69200000,56200000,-66733000,-7554000,-11659000,-6155000,-85913000,-8182000,-10691000,-10736000,-32345000,-22587000,-20615000,-38576000,-36383000,-11017000,-18450000,-42118000,-47633000,-31712000,-45010000,67002000,-43157000,2257000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-471712000,-432249000,-325416000,-415766000,-544047000,-445642000,-328862000,-333382000,-491730000,-466214000,-664108000,-549215000,-603376000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-250000,- -,- -,-5920000,- -,-100000,-400000,-5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-257000,- -,- -,-1178000,-29769000,-674000,-33506000,-6252000,-2807000,-4558000,-7957000,-12673000,-4358000
93,Dividends Paid,- -,- -,- -,- -,-20000,-20000,-20000,-20000,-20000,- -,- -,- -,-10000,- -,- -,-100000,- -,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000,-23000
94,Other Financing Activites,- -,- -,- -,- -,-4900000,-8410000,-8410000,-9390000,21660000,-8100000,-2500000,-18200000,94580000,119000000,-96100000,50200000,-56300000,-2483000,16304000,-35528000,-22581000,23900000,-9192000,-20263000,-56965000,40370000,442827000,416347000,344392000,416126000,558564000,406475000,381846000,346126000,505338000,532102000,504348000,476973000,471455000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5170000,-8430000,-8430000,-15330000,21640000,-8200000,-2900000,-23300000,94570000,119000000,-96100000,50100000,-56300000,-2506000,16281000,-35551000,-22604000,23877000,-9215000,-20286000,-56988000,40347000,-29165000,-15925000,18953000,-841000,-15275000,-39864000,19455000,6469000,10778000,61307000,-167740000,-84938000,-136302000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-3170000,-40000,-7930000,-1530000,-1860000,-8200000,-2900000,-23300000,24210000,119000000,-96100000,50100000,-56300000,-19655000,-5957000,19582000,40011000,-60414000,609000,867000,2506000,1770000,-4473000,1572000,-2659000,4658000,4684000,-265000,-3231000,-2006000,3390000,3110000,-3622000,-778000,49135000
98,Cash at the End of Period,- -,- -,- -,- -,13130000,13060000,5170000,3670000,1740000,- -,- -,- -,26510000,- -,- -,- -,- -,11348000,5391000,24973000,64984000,4570000,5179000,6046000,8552000,10322000,5849000,7421000,4762000,9420000,14104000,13839000,10608000,8602000,11992000,15102000,11480000,10702000,59837000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16300000,13100000,13100000,5200000,3600000,1800000,7900000,15500000,2300000,26500000,1300000,1600000,4100000,31003000,11348000,5391000,24973000,64984000,4570000,5179000,6046000,8552000,10322000,5849000,7421000,4762000,9420000,14104000,13839000,10608000,8602000,11992000,15102000,11480000,10702000
100,Free Cash Flow,- -,- -,- -,- -,790000,6400000,3500000,14750000,-23560000,14200000,10500000,10200000,-54050000,-154000000,78100000,-47600000,17500000,29709000,-30079000,53369000,61939000,-21487000,3591000,19938000,48603000,-39085000,24081000,17329000,-2509000,14457000,14605000,38601000,-6781000,29294000,-7815000,-45852000,59388000,61631000,111749000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894805000018/0000088948-05-000018-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88948/000008894812000020/0000088948-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894813000008/a10k033113.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894814000013/a10k033114.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894815000020/a10k03312015.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894816000051/a10k03312016.htm,https://www.sec.gov/Archives/edgar/data/88948/000008894817000019/10k03312017.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774918012712/senea20180625_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774919011972/senea20190331_10k.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774920014526/0001437749-20-014526-index.htm,https://www.sec.gov/Archives/edgar/data/88948/000143774921014603/0001437749-21-014603-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
