,https://roic.ai/company/HON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-40000000,-22000000,-366000000,888000000,-336000000,116000000,-108000000,1057000000,-1006000000,-729000000,1742000000,1297000000,227000000,-53000000,1119000000,-659000000,-2549000000,637000000,-425000000,-770000000,1815000000,505000000,565000000,694000000,2430000000,435000000,-5736000000,5045000000,414000000,-1703000000,767000000,2773000000,-3114000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316000000,-119000000,-365000000,-172000000,211000000,-770000000,-682000000,-236000000,11000000,669000000,-8000000
79,Inventory,- -,- -,- -,- -,-14000000,-53000000,153000000,130000000,123000000,134000000,-141000000,-87000000,-92000000,-57000000,90000000,-45000000,168000000,333000000,118000000,-84000000,37000000,-128000000,-183000000,-161000000,479000000,-310000000,-310000000,25000000,41000000,-200000000,230000000,-18000000,-259000000,-503000000,-100000000,-67000000,-685000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-167000000,625000000,527000000,-13000000,352000000,307000000,-17000000,254000000,924000000,733000000,118000000,15000000,744000000
81,Other Working Capital,- -,- -,- -,- -,914000000,892000000,526000000,1414000000,1078000000,1194000000,1086000000,2143000000,1137000000,408000000,2150000000,3447000000,3674000000,3621000000,4740000000,4081000000,1532000000,2169000000,1744000000,974000000,2789000000,3294000000,3859000000,4553000000,6983000000,7418000000,1682000000,6727000000,7141000000,5438000000,6205000000,8978000000,5864000000
82,Other Non-Cash Items,- -,- -,- -,- -,83000000,85000000,1081000000,281000000,448000000,-572000000,-361000000,-1696000000,395000000,-249000000,-1779000000,-2376000000,1398000000,2775000000,-1183000000,758000000,2587000000,-753000000,723000000,751000000,-1468000000,-353000000,-593000000,-1283000000,-3440000000,-893000000,5049000000,-5646000000,312000000,667000000,-1433000000,-2339000000,1992000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1031000000,1002000000,750000000,1069000000,1180000000,1043000000,1216000000,1196000000,1306000000,1195000000,2374000000,1989000000,1996000000,2380000000,2199000000,2253000000,2442000000,3211000000,3911000000,3791000000,3946000000,4203000000,2833000000,3517000000,4335000000,5024000000,5454000000,5498000000,5966000000,6434000000,6897000000,6208000000,6038000000
84,CAPEX,- -,- -,- -,- -,-541000000,-675000000,-668000000,-691000000,-718000000,-639000000,-746000000,-755000000,-717000000,-684000000,-986000000,-853000000,-876000000,-671000000,-655000000,-629000000,-684000000,-733000000,-767000000,-884000000,-609000000,-651000000,-798000000,-884000000,-947000000,-1094000000,-1073000000,-1095000000,-1031000000,-828000000,-839000000,-906000000,-895000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-531000000,-499000000,-114000000,-1218000000,-1212000000,-1311000000,-2523000000,-122000000,-520000000,-199000000,-384000000,-2679000000,32000000,-1099000000,-1272000000,-467000000,-1296000000,183000000,-417000000,-1130000000,156000000,-5227000000,-2277000000,-82000000,-535000000,-50000000,-261000000,-1123000000
86,Purchases of Investments,- -,- -,- -,- -,-70000000,-66000000,-17000000,-18000000,-71000000,- -,- -,-301000000,-129000000,- -,- -,-17000000,- -,- -,- -,-115000000,- -,- -,-20000000,-6000000,-24000000,-453000000,-380000000,-702000000,-1220000000,-4074000000,-6714000000,-3954000000,-6743000000,-4059000000,-4253000000,-3385000000,-2373000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000000,- -,- -,- -,430000000,11000000,- -,2000000,97000000,- -,80000000,285000000,- -,6000000,18000000,1000000,112000000,354000000,559000000,1122000000,3288000000,6587000000,3681000000,4414000000,6032000000,4464000000,3508000000,2717000000
88,Other Investing Activites,- -,- -,- -,- -,88000000,13000000,-37000000,982000000,-30000000,208000000,141000000,1443000000,781000000,387000000,1995000000,679000000,90000000,224000000,174000000,464000000,1068000000,87000000,98000000,121000000,-34000000,19000000,30000000,16000000,216000000,-152000000,-87000000,303000000,-132000000,417000000,145000000,57000000,613000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-523000000,-728000000,-722000000,273000000,-819000000,-872000000,-1104000000,273000000,-1283000000,-1079000000,-291000000,-2714000000,-906000000,-870000000,-680000000,-584000000,-2010000000,-614000000,-1782000000,-2023000000,-1133000000,-2269000000,-611000000,-1428000000,-1959000000,-1876000000,-6514000000,-3342000000,-3574000000,1027000000,-533000000,-987000000,-1061000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2760000000,-1332000000,-974000000,-1000000,-607000000,-609000000,-880000000,-5303000000,-13824000000,-25425000000,-17102000000,-14708000000,-10107000000
91,Common Stock Issued,- -,- -,- -,- -,14000000,12000000,30000000,244000000,143000000,43000000,104000000,147000000,263000000,156000000,419000000,296000000,79000000,41000000,54000000,74000000,167000000,396000000,603000000,146000000,37000000,195000000,304000000,342000000,447000000,265000000,186000000,409000000,520000000,267000000,498000000,393000000,229000000
92,Common Stock Repurchased,- -,- -,- -,- -,-208000000,-461000000,- -,-142000000,-229000000,-110000000,-239000000,-409000000,-898000000,-930000000,-1058000000,-166000000,-30000000,- -,-37000000,-724000000,-1133000000,-1896000000,-3986000000,-1459000000,- -,- -,-1085000000,-317000000,-1073000000,-924000000,-1884000000,-2079000000,-2889000000,-4000000000,-4400000000,-3714000000,-3380000000
93,Dividends Paid,- -,- -,- -,- -,-268000000,-248000000,-218000000,-143000000,-162000000,-180000000,-217000000,-262000000,-295000000,-338000000,-527000000,-599000000,-609000000,-614000000,-645000000,-643000000,-700000000,-744000000,-767000000,-811000000,-918000000,-944000000,-1091000000,-1211000000,-1353000000,-1510000000,-1726000000,-1915000000,-2119000000,-2272000000,-2442000000,-2592000000,-2626000000
94,Other Financing Activites,- -,- -,- -,- -,82000000,280000000,16000000,-608000000,-152000000,-308000000,272000000,-20000000,53000000,1097000000,56000000,399000000,-333000000,-309000000,-267000000,70000000,-1050000000,-405000000,2576000000,754000000,1489000000,34000000,1732000000,-19000000,2153000000,506000000,4406000000,9234000000,14796000000,26398000000,16846000000,20540000000,7630000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-380000000,-417000000,-172000000,-649000000,-400000000,-555000000,-80000000,-544000000,-877000000,-15000000,-1110000000,-70000000,-893000000,-882000000,-895000000,-1223000000,-2716000000,-2649000000,-1574000000,-1370000000,-2152000000,-2047000000,-1114000000,-1206000000,-433000000,-2272000000,102000000,346000000,-3516000000,-5032000000,-6600000000,-81000000,-8254000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000000,190000000,-68000000,42000000,50000000,-162000000,75000000,-38000000,-60000000,53000000,-155000000,-339000000,-546000000,-114000000,340000000,-201000000,16000000,68000000,-39000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-384000000,32000000,925000000,-854000000,101000000,973000000,-795000000,197000000,628000000,929000000,636000000,-2352000000,-10000000,605000000,236000000,736000000,-151000000,1048000000,936000000,1788000000,537000000,-1504000000,2388000000,-784000000,2228000000,-220000000,5208000000,-3316000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,508000000,540000000,1465000000,611000000,712000000,1991000000,1196000000,1393000000,2021000000,2950000000,3586000000,1234000000,1224000000,1829000000,2065000000,2801000000,2650000000,3698000000,4634000000,6422000000,6959000000,5455000000,7843000000,7059000000,9287000000,9067000000,14275000000,10959000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,397000000,525000000,382000000,238000000,931000000,892000000,508000000,540000000,1465000000,611000000,1018000000,1991000000,1196000000,1393000000,2021000000,2950000000,3586000000,1234000000,1224000000,1829000000,2065000000,2801000000,2650000000,3698000000,4634000000,6422000000,6959000000,5455000000,7843000000,7059000000,9287000000,9067000000,14275000000
100,Free Cash Flow,- -,- -,- -,- -,490000000,327000000,82000000,378000000,462000000,404000000,470000000,441000000,589000000,511000000,1388000000,1136000000,1120000000,1709000000,1544000000,1624000000,1758000000,2478000000,3144000000,2907000000,3337000000,3552000000,2035000000,2633000000,3388000000,3930000000,4381000000,4403000000,4935000000,5606000000,6058000000,5302000000,5143000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/0000930413-12-000976-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/0000930413-13-000907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/0000930413-15-000621-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/0000930413-16-005457-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/0000930413-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/0000930413-18-000292-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/0000930413-19-000366-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/0000773840-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/0000773840-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/0000773840-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
