,https://roic.ai/company/OLN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-12000000,-7000000,-6000000,-24000000,-10000000,-49000000,3000000,-9000000,-26000000,7000000,-7000000,-8000000,15000000,-17000000,10000000,-17000000,-6100000,25200000,1400000,-25000000,7600000,-31800000,-17000000,17900000,8600000,-23600000,-1700000,23900000,-37800000,-35500000,13000000,28600000,-206000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000000,297000000,510000000,424000000,225000000,252000000,253000000,281000000,381000000,370000000,391000000,506300000,511400000,262800000,270500000,549400000,491800000,381200000,315100000,432400000,438400000,785700000,623600000,744900000,589100000,631800000,518200000,105100000
82,Other Non-Cash Items,- -,- -,- -,- -,-4000000,-14000000,60000000,57000000,153000000,-296000000,-117000000,-278000000,-174000000,155000000,-116000000,1000000,-21000000,-146000000,73000000,-273000000,-96300000,-132800000,428500000,-136700000,-366300000,3500000,-112900000,36100000,-135400000,-127700000,-370900000,260900000,-137300000,86700000,23300000,938300000,126400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,152000000,193000000,167000000,189000000,137000000,199000000,206000000,271000000,53000000,180000000,23000000,181000000,76000000,31000000,119000000,-137000000,278900000,64700000,204500000,115600000,200200000,115500000,215900000,279200000,317000000,159200000,217100000,603200000,648800000,907800000,617300000,418400000,1741000000
84,CAPEX,- -,- -,- -,- -,-142000000,-187000000,-177000000,-173000000,-132000000,-149000000,-201000000,-126000000,-142000000,-78000000,-76000000,-95000000,-113000000,-41000000,-55000000,-55000000,-81000000,-80900000,-76100000,-180300000,-137900000,-85300000,-200900000,-255700000,-90800000,-71800000,-130900000,-278000000,-294300000,-385200000,-385600000,-298900000,-200600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,-3000000,- -,-400000,-299700000,27600000,37100000,23600000,-123400000,-310400000,- -,- -,-408100000,-69500000,- -,- -,20000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87000000,-126000000,-25000000,-34000000,- -,- -,- -,- -,- -,- -,-76600000,- -,-3300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000000,28000000,34000000,- -,- -,12000000,25000000,- -,- -,- -,50000000,- -,4600000,- -,- -,- -,- -,- -,- -,8800000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,132000000,113000000,-82000000,32000000,48000000,22000000,-17000000,487000000,18000000,-3000000,2000000,7000000,2000000,3000000,18000000,31000000,42900000,45700000,415900000,-180300000,-129400000,-183300000,-136200000,-202000000,-43800000,-61700000,-95900000,-412800000,-498500000,-382300000,-385600000,-835700000,-197400000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10000000,-74000000,-259000000,-141000000,-84000000,-127000000,-218000000,274000000,-65000000,-78000000,-74000000,-88000000,-111000000,-13000000,-12000000,-27000000,-38100000,-112200000,90100000,-156000000,-87700000,-159700000,-259600000,-512400000,-43800000,-61700000,-504000000,-473500000,-498500000,-382300000,-365600000,-835700000,-197400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11300000,- -,-20700000,-87200000,-19900000,-23700000,-162400000,-730700000,-435300000,-2037900000,-946100000,-744200000,-1307200000,-1240800000
91,Common Stock Issued,- -,- -,- -,- -,104000000,5000000,16000000,126000000,1000000,115000000,13000000,11000000,13000000,3000000,- -,1000000,2000000,72000000,13000000,205000000,22200000,20800000,17500000,15400000,14800000,9200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000000,-6000000,-2000000,- -,-4000000,- -,- -,- -,-163000000,-112000000,-11000000,-20000000,-14000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,-4200000,-3100000,-36200000,-64800000,- -,- -,- -,-50000000,-145900000,- -,-251900000
93,Dividends Paid,- -,- -,- -,- -,-43000000,-49000000,-49000000,-58000000,-59000000,-61000000,-66000000,-64000000,-61000000,-58000000,-41000000,-36000000,-35000000,-39000000,-47000000,-56000000,-57100000,-58100000,-59200000,-60600000,-62500000,-63300000,-64000000,-64100000,-64000000,-63000000,-79500000,-132100000,-133000000,-133600000,-129300000,-126300000,-127800000
94,Other Financing Activites,- -,- -,- -,- -,-116000000,-75000000,129000000,-120000000,8000000,-122000000,66000000,24000000,-135000000,-42000000,74000000,-2000000,190000000,-102000000,6000000,-28000000,-49500000,-19100000,-146700000,37400000,147200000,119100000,45300000,180700000,-6700000,141700000,1232400000,229900000,2054100000,564900000,810100000,1819100000,68500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-155000000,-125000000,94000000,-52000000,-54000000,-68000000,13000000,-29000000,-346000000,-209000000,22000000,-57000000,143000000,-72000000,-28000000,121000000,-84400000,-56400000,-188400000,-19100000,99500000,44300000,-110100000,93600000,-130600000,-148500000,422200000,-337500000,-116800000,-564800000,-209300000,385600000,-1552000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,300000,400000,-300000,-300000,500000,-800000
97,Net Change In Cash,- -,- -,- -,- -,-155000000,-125000000,94000000,-52000000,-54000000,-68000000,13000000,-29000000,-346000000,-209000000,-29000000,36000000,108000000,-54000000,79000000,-43000000,156400000,-103900000,106200000,-59500000,212000000,100000,-153800000,-139600000,142600000,-51000000,135200000,-207500000,33900000,-39600000,42100000,-31200000,-9200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,57000000,165000000,111000000,190000000,147000000,303700000,199800000,306000000,246500000,458500000,458600000,304800000,165200000,307800000,256800000,392000000,184500000,218400000,178800000,220900000,189700000,180500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,25000000,12000000,6000000,8000000,4000000,3000000,7000000,8000000,524000000,157000000,50000000,21000000,57000000,165000000,111000000,190000000,147300000,303700000,199800000,306000000,246500000,458500000,458600000,304800000,165200000,307800000,256800000,392000000,184500000,218400000,178800000,220900000,189700000
100,Free Cash Flow,- -,- -,- -,- -,10000000,6000000,-10000000,16000000,5000000,50000000,5000000,145000000,-89000000,102000000,-53000000,86000000,-37000000,-10000000,64000000,-192000000,197900000,-16200000,128400000,-64700000,62300000,30200000,15000000,23500000,226200000,87400000,86200000,325200000,354500000,522600000,231700000,119500000,1540400000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74303/000095013095000463/0000950130-95-000463-index.html,https://www.sec.gov/Archives/edgar/data/74303/000095013096000793/0000950130-96-000793-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74303/000095013003001836/0000950130-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312504036954/0001193125-04-036954-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312505045641/0001193125-05-045641-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312506044128/0001193125-06-044128-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312507041049/0001193125-07-041049-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430308000017/0000074303-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430309000008/0000074303-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430310000007/0000074303-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430311000012/0000074303-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430312000027/0000074303-12-000027-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430313000012/0000074303-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430314000021/0000074303-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430315000015/0000074303-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430316000090/0000074303-16-000090-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430317000026/0000074303-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430318000007/0000074303-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430319000018/0000074303-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430320000072/0000074303-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430321000019/0000074303-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430322000015/0000074303-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
