,https://roic.ai/company/SNN,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,5800681,-115571868,-142447192,142113409,-144477409,-108572799,-114891225,-99925305,-214507571,-852849803,-100478000,323000,-58928571,5746831,-5000000,-355001943,-8998511,24999381,-101000000,27000000,-10000000,-149000000,-4000000,-119000000,-9000000,-255000000,-53000000,-13000000,7000000,-162000000,-119000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,106470566,76137898,43340631,117098948,72470486,142137891,113568736,117188148,115018765,-486019835,144455000,242853000,276785714,397436000,147000000,352999377,428001486,560998704,719000000,859000000,842000000,902000000,867000000,683000000,1030000000,849000000,1090000000,931000000,1168000000,935000000,877000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-82706486,-69616125,-97775280,-99745165,-108164905,-124499092,-119354625,-115030293,-108547949,-95441510,-108778000,-137300000,-130357143,-195554000,-111000000,-230999915,-200001051,-292000175,-318000000,-315000000,-321000000,-265000000,-340000000,-375000000,-358000000,-392000000,-376000000,-347000000,-408000000,-443000000,-408000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-10852887,78412934,50440802,20011569,-114036714,-72952701,-13224889,-27222176,114695225,237035488,-100915000,-395462000,85714286,-70361000,-14000000,453999382,-780999315,-15999370,-25000000,- -,-33000000,-792000000,-67000000,-1574000000,-69000000,129000000,-159000000,-29000000,-869000000,-170000000,-285000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10838618,-13293106,-3495000,-2095000,-1785714,-575000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-2000000,-2000000,-8000000,-4000000,- -,- -,-2000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,94869204,12740206,16862908,12507231,120835651,5822516,16035178,14773010,-102885984,117098817,114749000,188546000,23214286,5751000,104000000,28000585,15999361,7999685,-181000000,-307000000,-321000000,-162000000,-340000000,-167000000,-358000000,-510000000,-376000000,-345000000,-382000000,-436000000,-404000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,1309831,21537015,-30471570,-67226365,-101365968,-191629277,-116544336,-127479459,-107577326,245399689,-98439000,-346311000,-23214286,-260739000,-110000000,251000052,-965001005,-299999861,-206000000,-307000000,-354000000,-954000000,-407000000,-1745000000,-429000000,-383000000,-543000000,-378000000,-1251000000,-606000000,-691000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-112271247,-37917280,-173214603,-134609071,- -,- -,- -,-3983733,-38986670,- -,- -,- -,-180357143,- -,- -,-293000929,-733999058,-1077000272,-880000000,-714000000,-562000000,-297000000,-785000000,-2120000000,-1088000000,-797000000,-770000000,-401000000,-865000000,-405000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,10665768,17745287,27661085,109594609,17460906,8905024,7108378,4979666,7117898,11500777,13106000,9830000,16071429,15338000,11000000,16000895,27999384,23000189,17000000,23000000,24000000,83000000,51000000,44000000,21000000,16000000,10000000,13000000,11000000,11000000,14000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1785714,-7861000,- -,- -,-640000552,-193000061,- -,-5000000,-6000000,- -,-231000000,-75000000,-77000000,-368000000,-52000000,-48000000,-63000000,-16000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61160000,-70100000,-80357143,-89533000,-50000000,-95999480,-105000702,-109000450,-120000000,-132000000,-146000000,-186000000,-239000000,-250000000,-272000000,-279000000,-269000000,-321000000,-318000000,-328000000,-329000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,28254931,606676,25146441,73479981,-9889363,60280166,4628711,- -,0,225534711,12814000,142940000,- -,-39878000,17000000,-9999087,1797999750,1113000314,514000000,291000000,169000000,454000000,706000000,3409000000,858000000,899000000,647000000,386000000,1242000000,1902000000,-330000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,-73350548,-19565316,-120407077,48465519,7571543,69185190,11737089,995933,-31868772,237035488,-35240000,82670000,-246428571,-121934000,-22000000,-382998601,346998822,-243000281,-469000000,-537000000,-521000000,54000000,-498000000,1008000000,-558000000,-529000000,-434000000,-371000000,7000000,1164000000,-645000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,15343737,-54600883,-12869061,11881869,- -,- -,- -,- -,-3882490,-1493607,- -,109849400,81607143,383612,- -,5000000,8000000,-5000000,8000000,6000000,-1000000,4000000,-3000000,-7000000,-6000000,-1000000,4000000,-4000000,- -,1000000,-7000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,49773586,23508713,-120407077,110219971,-21323938,19693804,8761489,-9295377,-28309823,-5078265,10776000,-20788000,267500000,14762000,15000000,226000000,-182000000,13000000,52000000,21000000,-34000000,6000000,-41000000,-61000000,37000000,-64000000,117000000,178000000,-76000000,1494000000,-466000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,113955316,115875207,-7396012,102402952,-110482725,-50861390,-52899557,-60917918,68752427,-85733062,43686000,36259000,-226964286,62501000,38000000,291000000,109000000,122000000,174000000,195000000,161000000,167000000,126000000,65000000,102000000,38000000,155000000,333000000,257000000,1751000000,1285000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,64181730,92366493,113011064,-7817019,-89158786,-70555194,-61661046,-51622541,97062249,-80654797,32910000,57047000,-494464286,47739000,23000000,65000000,291000000,109000000,122000000,174000000,195000000,161000000,167000000,126000000,65000000,102000000,38000000,155000000,333000000,257000000,1751000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,23764081,6521772,-54434649,17353783,-35694419,17638799,-5785889,2157855,6470817,-581461345,35677000,105553000,146428571,201882000,36000000,121999462,228000435,268998529,401000000,544000000,521000000,637000000,527000000,308000000,672000000,457000000,714000000,584000000,760000000,492000000,469000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845982/000119312505052156/0001193125-05-052156-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312506050236/0001193125-06-050236-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312507066772/0001193125-07-066772-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312508066724/0001193125-08-066724-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312509065333/0001193125-09-065333-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312510068337/0001193125-10-068337-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312511055004/0001193125-11-055004-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312512091365/0001193125-12-091365-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312513082636/0001193125-13-082636-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312514085518/0001193125-14-085518-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312515077206/0001193125-15-077206-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312516492258/0001193125-16-492258-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312517070682/0001193125-17-070682-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837018001490/0001558370-18-001490-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837019001461/0001558370-19-001461-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837020001838/0001558370-20-001838-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
