,https://roic.ai/company/FONR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,8840000,-8990000,6560000,5900000,6300000,1400000,-4000000,-2700000,-7600000,-3700000,68600000,-12400000,-4736695,1315923,623919,3412332,6495725,-1036507,-2560549,-3939322,-4664246,-6066689,-1498364,3148971,7416184,7539144,13360323,13272917,16617369,16807264,18739323,19448448,20402763,19088001
84,CAPEX,- -,- -,- -,- -,-3670000,-630000,-2130000,-600000,-100000,-300000,-1000000,-100000,-200000,-1200000,-6800000,-7400000,-3168587,-2556982,-3104573,-1273557,-1935186,-2204290,-3598215,-1583458,-1053832,-851083,-423834,-735030,-1227372,-1295289,-834908,-270842,-825288,-3006314,-2886777,-3483849,-7640519,-4819304
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2293013,- -,290102,- -,-40000000,- -,- -,-4223567,-1312769,-58274,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20300000,-100000,- -,- -,- -,-280431,-5397667,-13388404,-300000,- -,-765203,- -,- -,-2608,-2839,- -,- -,- -,- -,- -,- -,-15094816,- -,-293
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8651820,5747851,513219,- -,- -,14960935,4709559,3101009,2278386,1097244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15062932,- -
88,Other Investing Activites,- -,- -,- -,- -,-680000,1780000,-200000,-2800000,-2400000,-1500000,-2200000,-1600000,-600000,-300000,- -,-100000,- -,-602285,-1364437,1739485,-1031472,-1221299,97466,- -,4142134,2521894,1178912,-202468,-146163,-159907,-214211,-139534,-113072,-155156,-108829,-128393,-117522,-163705
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4350000,1150000,-2330000,-3400000,-2500000,-1800000,-3200000,-1700000,-800000,-1500000,-27100000,-7600000,5483233,2588584,-3955791,185497,-8364325,-1853058,908810,1517551,4601485,5884075,1154573,-447536,-1230211,-41295289,-834908,-270842,-5048855,-4319083,-2945051,-18578665,7422413,-4819597
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-279399,-238198,-1416684,-1387225,-1821617,-4400128,-2788401,-3682519,-3990078,-172484,-30725,-4957936,-103335
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,300000,- -,- -,- -,- -,- -,64569,28172,1515046,1104275,3928182,254248,784240,422440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,620000,270000,50000,- -,- -,2600000,- -,- -,- -,- -,- -,-200000,-79120,-4031,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3900000,-3900000,- -,- -,- -,-604230,- -,- -,- -,- -,- -,-22991,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,970000,1950000,-5600000,-3000000,-4000000,-2700000,7200000,7200000,8900000,7200000,-1700000,-2500000,-4097272,-1108833,-4729522,-2224362,-1919971,-1322069,-92424,-1087528,-81548,385111,655863,6667000,-2017977,31416474,-6044278,-10716612,-8806484,-6886791,-6127667,-6590787,53089,-6507000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1590000,2220000,-5550000,-3000000,-3800000,100000,7500000,7200000,8900000,7200000,-5600000,-6600000,-4111823,-1084692,-3214476,-1724317,2008211,-1067821,691816,-665088,-81548,82721,417665,5250316,-3405202,29594857,-10444406,-13505013,-12489003,-10876869,-6300151,-6621512,-4904847,-6610335
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,6080000,-5630000,-1320000,-3000000,-3800000,100000,7500000,7200000,8900000,7200000,-5600000,-26600000,-3365285,2819815,-6546348,1873512,139611,-3957386,-959923,-3086859,-144309,-99893,73874,7951751,2780771,-4161288,2081009,-502938,-920489,1611312,9494121,-5751729,22920329,7658069
98,Cash at the End of Period,- -,- -,- -,- -,7880000,2270000,980000,- -,- -,- -,- -,- -,- -,- -,- -,15200000,11810519,14630334,7493986,9334378,9473989,5516603,4556680,1469821,1325512,1225619,1299493,9251244,12032015,7870727,9951736,9448798,8528309,10139621,19633742,13882013,36802342,44460411
99,Cash at the Beginning of Period,- -,- -,- -,- -,1800000,7900000,2300000,900000,500000,400000,200000,600000,3300000,3900000,5900000,41800000,15175804,11810519,14040334,7460866,9334378,9473989,5516603,4556680,1469821,1325512,1225619,1299493,9251244,12032015,7870727,9951736,9448798,8528309,10139621,19633742,13882013,36802342
100,Free Cash Flow,- -,- -,- -,- -,5170000,-9620000,4430000,5300000,6200000,1100000,-5000000,-2800000,-7800000,-4900000,61800000,-19800000,-7905282,-1241059,-2480654,2138775,4560539,-3240797,-6158764,-5522780,-5718078,-6917772,-1922198,2413941,6188812,6243855,12525415,13002075,15792081,13800950,15852546,15964599,12762244,14268697
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501905000031/0000355019-05-000031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501909000017/0000355019-09-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501912000024/0000355019-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501913000029/0000355019-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501914000031/0000355019-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501915000031/0000355019-15-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501916000059/0000355019-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501917000029/0000355019-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501918000039/0000355019-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501919000036/0000355019-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501920000051/0000355019-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501921000040/0000355019-21-000040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
