,https://roic.ai/company/BCE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,288999306,345073109,1708895949,74063685,-1214889556,-209949294,1983845604,-4416873065,-4939091435,-4965506898,-1042661572,-2038086245,479196187,986321095,637283404,438024232,-1941602940,1180184555,-306000000,-1038000000,-711000000,-1573000000,15000000,-1005000000,-989000000,-1292000000,-925000000,-935000000,-821000000,-549000000,-770000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4932978969,4062047044,2258935663,4230046290,2367057540,4306016171,4389992852,3771981424,2597945602,2354529094,5216491563,3594586088,6378977200,5711543077,5573903942,5314538677,5706624292,5887566780,4875000000,4724000000,4869000000,5552000000,6476000000,6241000000,6274000000,6643000000,7358000000,7384000000,7958000000,7754000000,8008000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3270048532,-3717991100,-3209954991,-2811053444,-2804063267,-3127997807,-3413009292,-3773993808,-3587962963,-4832033594,-7395733843,-3770853006,-3179183305,-3364530838,-3428305617,-3132572227,-3151256331,-2988101020,-2854000000,-2959000000,-3256000000,-3515000000,-3571000000,-4283000000,-4161000000,-3772000000,-4034000000,-4027000000,-3988000000,-4288000000,-6919000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4752549490,- -,- -,-118510885,-1299496040,-227933481,-71062442,2959578906,-65565809,-327000000,-54000000,-678000000,-13000000,-2850000000,702000000,98000000,-386000000,-1649000000,-395000000,-51000000,-65000000,-12000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-244973423,-1662047044,-420042362,-1035068032,-173984183,-370015075,-1165975697,-3499071207,-2729021991,- -,-1165234002,-6603714196,- -,- -,-232585185,-304054054,-26814977,-8499272,-53000000,-4000000,-12000000,-593000000,-3000000,-38000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,207996303,907056580,740005296,2235937719,86037633,- -,- -,- -,- -,- -,- -,- -,163596548,655147588,18606815,64072693,191677426,1214182,113000000,139000000,56000000,16000000,10000000,36000000,- -,107000000,6000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1951005316,529942785,-36007413,-233833637,-2999728,656982321,1542959256,522136222,6285011574,1415716857,5206940465,3238904627,118510884,145188385,4651705,1276794036,312841394,-859640602,-2939000000,-3057000000,-3250000000,-3503000000,-3558000000,-4270000000,-4212000000,-4305000000,-3794000000,-3991000000,-3985000000,-3475000000,-6991000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-5258030968,-3943038779,-2925999470,-1844017394,-2895009545,-2841030561,-3036025733,-6750928793,-31973380,-8168866227,-3354027380,-7135662575,-3015586758,-3863690905,-3865565763,-2166821994,286026418,-3920592521,-3206000000,-2976000000,-3884000000,-4093000000,-6401000000,-3570000000,-4114000000,-4584000000,-5437000000,-4386000000,-4036000000,-3540000000,-7003000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2733000000,-956000000,-2350000000,-961000000,-2564000000,-1117000000,-2084000000,-2516000000,-2653000000,-2836000000,-3301000000,-6644000000,-2751000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,512017565,255054037,122054541,195960163,861058086,929011923,1429020729,247987616,923032407,580383923,1531359440,3408876298,529434497,32397408,25584371,41938491,152944682,50995629,2000000,39000000,555000000,39000000,13000000,49000000,952000000,99000000,117000000,11000000,240000000,26000000,261000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-10053155,-462047044,-158061954,-53022865,-748977366,-161025079,-133952823,-32043344,- -,-679364127,-662209488,-384010072,-356820817,- -,-77916037,-1545899348,-560135068,-92277805,-894000000,-500000000,-143000000,-107000000,- -,- -,-138000000,-106000000,-224000000,-175000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1042985902,-1055944056,-1063012973,-1082059195,-1144941369,-1111963821,-1124946390,-1095046440,-1130931713,-1187762448,-1418338109,-1509285489,-1273992013,-1381089513,-1473427143,-1253494874,-1271228523,-716367169,-1677000000,-1796000000,-1638000000,-1816000000,-1922000000,-2027000000,-2319000000,-2431000000,-2639000000,-2828000000,-2966000000,-3107000000,-3257000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,881095446,1080991736,1649986761,-200869687,380829016,-359051665,-224160115,1979102168,-341145833,4995500900,-1010824578,1757947749,-1847224011,-841132709,-117455518,-255125816,-2235574536,-798931519,1258000000,1551000000,1995000000,1338000000,4604000000,655000000,1476000000,3135000000,3250000000,2630000000,1825000000,5590000000,4725000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,340073954,-181945327,550966375,-1139991584,-652031633,-703028642,-54038599,1100000000,-549045139,3708758248,-1560012735,3273528486,-2948602344,-2189824814,-1643214327,-3012581547,-3913993445,-1556580864,-4044000000,-1662000000,-1581000000,-1507000000,131000000,-2440000000,-2113000000,-1819000000,-2149000000,-3198000000,-4202000000,-4135000000,-1022000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7957176,-29994001,6367399,3147624,- -,- -,- -,- -,- -,-3642545,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,340073954,-181945327,550966375,-1139991584,-652031633,-703028642,-54038599,1100000000,2025028935,-2135572886,308818847,-264400378,414788097,-341972643,65123852,136300094,2076670970,405536669,-2375000000,86000000,-596000000,-48000000,206000000,231000000,47000000,240000000,-228000000,-200000000,-280000000,79000000,-17000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2394965278,259448110,568290353,305319484,721370604,380369570,445400628,581314073,2657662131,3063380282,688000000,774000000,175000000,127000000,335000000,566000000,613000000,853000000,625000000,425000000,145000000,224000000,207000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,307950081,300063573,236960551,121054846,1367057540,187063177,948963545,2249071207,369936343,2395020996,259471506,569719862,306582507,722342213,380276776,445013979,580991161,2657843613,3063000000,688000000,771000000,175000000,129000000,335000000,566000000,613000000,853000000,625000000,425000000,145000000,224000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1662930437,344055944,-951019328,1418992846,-437005727,1178018364,976983560,-2012384,-990017361,-2477504500,-2179242280,-176266918,3199793895,2347012239,2145598325,2181966450,2555367961,2899465760,2021000000,1765000000,1613000000,2037000000,2905000000,1958000000,2113000000,2871000000,3324000000,3357000000,3970000000,3466000000,1089000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000071894009000005/0000718940-09-000005-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000119312520069763/0001193125-20-069763-index.html,- -,- -
102,Forex Rate,- -,- -,- -,- -,0.8634,0.8622,0.8654,0.7867,0.7566,0.7161,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
