,https://roic.ai/company/VICR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-5000000,-27500000,-14300000,-11600000,-7300000,-14700000,-16400000,-26400000,-41800000,-15700000,-22353000,-46238000,-1964000,-25596000,-19168000,-24703000,4392000,13902000,7176000,-5906000,3765000,2527000,-4084000,-5080000,-4029000,-4266000,-8519000,-12526000,-18239000,-12482000,-78624000,-43661000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,300000,35500000,1100000,5500000,4500000,12200000,8100000,12200000,2300000,18100000,10460000,1515000,251000,775000,2344000,3578000,5577000,645000,202000,- -,1104000,452000,9000,27000,788000,820000,1584000,3300000,8656000,4742000,109681000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-6700000,-15600000,-5100000,-13000000,-700000,-17600000,-8600000,-32989000,-138000,-1408000,-2562000,-1088000,-5544000,-10835000,- -,- -,- -,- -,- -,- -,-17100000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3371000,-5025000,-11343000,-12569000,-13662000,- -,-12506000,-6272000,-378000,-531000,-162000,- -,- -,- -,- -,-139000,- -,- -
94,Other Financing Activites,- -,- -,-500000,3200000,5800000,-700000,-700000,-100000,-100000,- -,300000,6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1269000,-339000,-557000,105000,-451000,- -,-216000,-471000,-225000,-270000,-237000,11361000,10090000
95,Cash Used/Provided by Financing Activities,- -,- -,-200000,38700000,6900000,-1900000,-11800000,7000000,-5000000,11500000,-15000000,15600000,-22529000,1377000,-1157000,-1787000,-2115000,-6991000,-16601000,-11924000,-13460000,-1269000,-11741000,-6377000,-264000,-18055000,626000,604000,1113000,3075000,8386000,4366000,121042000,10090000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-188000,259000,-69000,-196000,-45000,170000,40000,-2000,-157000,-38000,137000,72000,-244000,-390000,60000,-12000,52000,-25000,9000,19000,109000,-197000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10200000,-6193000,-5435000,14639000,-8147000,-5446000,-2253000,2161000,-15843000,2622000,17585000,9055000,22629000,12646000,-28215000,-1152000,7793000,-6810000,-11940000,26327000,14111000,77074000,20676000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69100000,62916000,57481000,72120000,41723000,36277000,34024000,36185000,20017000,22639000,40224000,49279000,71908000,84554000,56339000,55187000,62980000,56170000,44230000,70557000,84668000,161742000,182418000
99,Cash at the Beginning of Period,- -,- -,1200000,1800000,18400000,28900000,36300000,43200000,65200000,73600000,84900000,58900000,69109000,62916000,57481000,49870000,41723000,36277000,34024000,35860000,20017000,22639000,40224000,49279000,71908000,84554000,56339000,55187000,62980000,56170000,44230000,70557000,84668000,161742000
100,Free Cash Flow,- -,- -,900000,-2900000,3200000,4700000,10500000,14100000,15400000,5900000,-7400000,-4700000,22094000,16781000,7059000,13635000,10860000,19754000,8727000,-27675000,798000,14155000,4791000,18941000,9842000,-10869000,-4937000,2377000,-7884000,-15009000,17960000,9723000,5894000,6683000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/0000950135-97-001292-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751978/000095013505001465/b53304vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013506001593/b58492vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013507001656/b63649vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013508001871/b68148vce10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000095013509001744/0000950135-09-001744-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012310022990/0000950123-10-022990-index.html,https://www.sec.gov/Archives/edgar/data/751978/000095012311021734/b84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312512093608/0001193125-12-093608-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312513096150/0001193125-13-096150-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312514099821/d640434d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312515080277/d850860d10k.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312516496705/0001193125-16-496705-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312517073261/0001193125-17-073261-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312518077391/0001193125-18-077391-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312519057343/0001193125-19-057343-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312520057067/0001193125-20-057067-index.html,https://www.sec.gov/Archives/edgar/data/751978/000119312521063132/0001193125-21-063132-index.htm,https://www.sec.gov/Archives/edgar/data/751978/000119312522060946/0001193125-22-060946-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
