,https://roic.ai/company/XRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-7288000000,-6270000000,-7545000000,-14690000000,-6355000000,-2053000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386000000,-162000000,-18000000,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6233000000,4857000000,7134000000,14659000000,6077000000,1586000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324000000,269000000,155000000,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-727000000,1023000000,1563000000,278000000,238000000,515000000,616000000,-11000000,-127000000,79000000,74000000,664000000,1092000000,347000000,246000000,419000000,-51000000,120000000,225000000,49000000,-79000000,-109000000,-125000000,-97000000,23000000,-21000000,30000000,-274000000,105000000,2000000,1000000,1000000,-8000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2218000000,-834000000,654000000,-335000000,-510000000,-341000000,-794000000,-521000000,-1459000000,-867000000,-627000000,-644000000,873000000,197000000,49000000,203000000,-295000000,-143000000,-1612000000,-441000000,-343000000,-2178000000,-675000000,-761000000,-452000000,-703000000,508000000,-397000000,-31000000,-29000000,-85000000,-246000000,-85000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57000000,-3057000000,- -,- -,- -,-175000000,-1302000000,-988000000,-1832000000,-311000000,-960000000,-2226000000,-519000000
91,Common Stock Issued,- -,- -,- -,- -,832000000,- -,26000000,112000000,665000000,90000000,139000000,95000000,140000000,126000000,144000000,- -,1032000000,4000000,1366000000,73000000,40000000,82000000,65000000,6000000,1000000,183000000,44000000,44000000,124000000,55000000,19000000,9000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-785000000,- -,-3000000,-6000000,-6000000,-245000000,-69000000,-316000000,-116000000,-172000000,- -,- -,- -,- -,- -,- -,-433000000,-1069000000,-632000000,-845000000,-12000000,-15000000,-701000000,-1094000000,-753000000,-1112000000,-1353000000,-1000000,-15000000,-700000000,-600000000,-300000000,-888000000
93,Dividends Paid,- -,- -,- -,- -,-349000000,-368000000,-368000000,-495000000,-494000000,-492000000,-475000000,-438000000,-481000000,-531000000,-586000000,-594000000,-95000000,-70000000,-61000000,-99000000,-58000000,-43000000,- -,-154000000,-149000000,-230000000,-265000000,-255000000,-296000000,-313000000,-326000000,-331000000,-291000000,-269000000,-243000000,-230000000,-206000000
94,Other Financing Activites,- -,- -,- -,- -,2493000000,367000000,-396000000,1258000000,63000000,612000000,786000000,954000000,641000000,2464000000,-127000000,3505000000,-1126000000,-3226000000,-3775000000,-1267000000,-2511000000,-398000000,-52000000,682000000,909000000,3000000,-664000000,-167000000,-477000000,-79000000,888000000,1895000000,1153000000,-21000000,-31000000,2340000000,303000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2191000000,-1000000,-741000000,869000000,228000000,-35000000,381000000,295000000,184000000,1887000000,-569000000,2911000000,-189000000,-3292000000,-2470000000,-1293000000,-2962000000,-1428000000,-619000000,-311000000,692000000,-3116000000,-1586000000,-1472000000,-1402000000,-1624000000,-2074000000,584000000,-985000000,-1301000000,-1834000000,-416000000,-1310000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-63000000,17000000,-76000000,-21000000,-34000000,-78000000,-5000000,-6000000,-18000000,-29000000,-9000000,11000000,-10000000,116000000,132000000,81000000,-59000000,31000000,60000000,-57000000,13000000,-20000000,-9000000,-3000000,-3000000,-89000000,-88000000,-30000000,52000000,-30000000,- -,10000000,-16000000
97,Net Change In Cash,- -,- -,- -,- -,2191000000,-1000000,-741000000,869000000,228000000,-35000000,381000000,295000000,184000000,1887000000,47000000,1615000000,2240000000,-1103000000,-410000000,741000000,-1896000000,77000000,-300000000,130000000,2570000000,-2588000000,-309000000,344000000,518000000,-353000000,-43000000,995000000,-930000000,-220000000,1647000000,-104000000,-782000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000000,1741000000,3990000000,2887000000,2477000000,3218000000,1322000000,1399000000,1099000000,1229000000,3799000000,1211000000,902000000,1246000000,1764000000,1411000000,1368000000,2223000000,1293000000,1148000000,2795000000,2691000000,1909000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,296000000,142000000,224000000,80000000,43000000,86000000,35000000,136000000,104000000,75000000,79000000,126000000,1750000000,3990000000,2887000000,2477000000,3218000000,1322000000,1399000000,1099000000,1229000000,3799000000,1211000000,902000000,1246000000,1764000000,1411000000,1228000000,2223000000,1368000000,1148000000,2795000000,2691000000
100,Free Cash Flow,- -,- -,- -,- -,-500000000,456000000,-479000000,-1088000000,-111000000,35000000,-897000000,-310000000,-68000000,-1933000000,551000000,-1115000000,1347000000,1730000000,1682000000,1546000000,1239000000,1323000000,1512000000,604000000,2015000000,2207000000,1460000000,2067000000,1948000000,1611000000,1269000000,957000000,-71000000,1050000000,1268000000,474000000,561000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108772/000177045020000012/0001770450-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1770450/000177045021000013/0001770450-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1770450/000177045022000010/0001770450-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
