,https://roic.ai/company/TEF,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,-1240575,- -,- -,- -,54798912,-23553282,-29407002,- -,- -,- -,- -,50575950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6975283580,7304100898,6687779510,9180929730,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,339852398,427998375,- -,- -,- -,61648776,-3845814201,642936694,- -,- -,- -,- -,251755840,7698990000,-6706602885,-6408002643,-6713108810,-9703735830,-18342000000,-16638000000,-584000000,-2798000000,-15549000000,-14361000000,-14220000000,-11549000000,-11262000000,-12018000000,-12528000000,-12380000000,-11724000000,-10941000000,-8137000000
83,Cash Provided by Operating Activities,- -,2562625246,1424399025,- -,- -,- -,3923014968,616362873,5809088100,- -,- -,- -,- -,8831684780,8814610000,9175017444,10179265500,11130538730,15413687670,- -,- -,16148000000,16672000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,- -,-4347819176,-5424377700,- -,- -,- -,-5022010410,-3732805242,-4156912739,- -,- -,- -,- -,-6773805570,-4311820000,- -,- -,- -,-6932863500,-7274000000,-7889000000,-7593000000,-8944000000,-9085000000,-9481000000,-9674000000,-9205000000,-9401000000,-9187000000,-8992000000,-8585000000,-7659000000,-7020000000,-6164000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6566198870,-21463084630,2548000000,-1492000000,-14000000,-5192000000,-2944000000,1786000000,-138000000,-1405000000,-2805000000,713000000,-88000000,26000000,1711000000,2000000,12955000000
86,Purchases of Investments,- -,-71441456,-251544825,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2620958120,-2021310000,-2862295523,-6304309916,- -,-219730100,-179000000,-114000000,-1411000000,-1599000000,-669000000,-834000000,-386000000,-247000000,-286000000,-265000000,-1106000000,-965000000,-1132000000,-3297000000,-1474000000
87,Sales/Maturities of Investments,- -,20219280,53198775,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,457260000,750987222,563203926,624789400,109107360,14000000,31000000,6000000,173000000,23000000,30000000,50000000,302000000,1064000000,489000000,296000000,1004000000,1835000000,2308000000,2163000000
88,Other Investing Activites,- -,-180372827,-61299000,- -,- -,- -,956453034,-271174707,-1073034185,- -,- -,- -,- -,-504635590,-4216140000,-3051335009,-3230981599,-3643197650,454614000,299000000,363000000,-288000000,-299000000,178000000,622000000,248000000,587000000,-1489000000,42000000,-355000000,-165000000,-396000000,217000000,-7748000000
89,Cash Used for Investing Activites,- -,-4579414179,-5684022750,- -,- -,- -,-4065557376,-4003979949,-5229946924,- -,- -,- -,- -,-9899399280,-5780190000,-5162643311,-8972087588,-9584607120,-28051956870,-4592000000,-9101000000,-9300000000,-15861000000,-12497000000,-7877000000,-9900000000,-9968000000,-12917000000,-8208000000,-10245000000,-8685000000,-5641000000,-7790000000,5896000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12570480000,- -,- -,- -,- -,-14795000000,-6094000000,-7443000000,-13436000000,-5915000000,-12718000000,-11899000000,-13720000000,-13649000000,-15379000000,-13398000000,-8694000000,-11527000000,-11367000000,-11775000000
91,Common Stock Issued,- -,22578196,13062525,- -,- -,- -,59447034,- -,- -,- -,- -,- -,- -,319190440,2006560000,12098635,92421714,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4255000000,- -,1271000000,379000000,- -,323000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2052517610,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1772000000,-660000000,- -,- -,-504000000,-223000000,-604000000
93,Dividends Paid,- -,-364873757,-388956750,- -,- -,- -,-274320744,-686086827,-622046474,- -,- -,- -,- -,-324809990,-52000000,-1484054774,-2947311181,-2765959560,-3195936420,-3345000000,-4440000000,-4838000000,-6249000000,-7567000000,-3273000000,-2182000000,-2328000000,-2775000000,-2906000000,-2459000000,-2794000000,-2742000000,-1296000000,-3630000000
94,Other Financing Activites,- -,1095042506,1363683825,- -,- -,- -,419064894,4293950487,42985645,- -,- -,- -,- -,-1316098610,8514820000,-2699679767,895108289,4383657520,17767830500,8715000000,2769000000,10000000000,14437000000,8570000000,14748000000,11396000000,12007000000,10329000000,14725000000,12834000000,7229000000,5752000000,7125000000,3019000000
95,Cash Used/Provided by Financing Activities,- -,752746945,987789600,- -,- -,- -,204191184,3607863660,-579060829,- -,- -,- -,- -,-1321718160,-2101100000,-4171635907,-1959781178,-434819650,14571894080,-9425000000,-7765000000,-2281000000,-5248000000,-4912000000,-1243000000,-2685000000,-4041000000,-3612000000,-4220000000,-1752000000,-3880000000,-9021000000,-5438000000,-12990000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106771450,- -,119800864,475888433,175616480,-343991260,-261000000,-302000000,269000000,-463000000,-169000000,-382000000,-1468000000,-1616000000,-999000000,185000000,-341000000,-244000000,7000000,-402000000,-179000000
97,Net Change In Cash,- -,752746945,987789600,- -,- -,- -,204191184,3607863660,80347,- -,- -,- -,- -,-2496204110,386470000,-39460909,-276715571,1286728440,1590391310,1273000000,-788000000,4836000000,-4893000000,-85000000,5712000000,130000000,-3448000000,-3930000000,1121000000,1456000000,500000000,350000000,-438000000,2976000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,296882165,- -,- -,- -,- -,4431577130,3575580000,3529888156,3256702287,2200271860,3792238450,5065000000,4277000000,9113000000,4220000000,4135000000,9847000000,9977000000,6529000000,2599000000,3736000000,5192000000,5692000000,6042000000,5604000000,8580000000
99,Cash at the Beginning of Period,- -,1271202983,3291391425,- -,- -,- -,49498422,293402142,296801818,- -,- -,- -,- -,6927781240,3189110000,3569349065,3533417858,913543420,2201847140,3792000000,5065000000,4277000000,9113000000,4220000000,4135000000,9847000000,9977000000,6529000000,2615000000,3736000000,5192000000,5692000000,6042000000,5604000000
100,Free Cash Flow,- -,-1785193930,-3999978675,- -,- -,- -,-1098995442,-3116442369,1652175361,- -,- -,- -,- -,2057879210,4502790000,9175017444,10179265500,11130538730,8480824170,8277000000,8477000000,8555000000,7728000000,8398000000,5732000000,4670000000,2988000000,4214000000,4151000000,4804000000,4838000000,7363000000,6176000000,4104000000
101,SEC Link,undefined,- -,- -,undefined,undefined,undefined,- -,- -,- -,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/814052/000119312503014800/0001193125-03-014800-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000119312504116233/0001193125-04-116233-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814052/000095010306001082/0000950103-06-001082-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095012307007683/0000950123-07-007683-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010308001328/0000950103-08-001328-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010309000984/0000950103-09-000984-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010310000881/0000950103-10-000881-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010311001602/0000950103-11-001602-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010312001609/0000950103-12-001609-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010313001873/0000950103-13-001873-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010314002020/0000950103-14-002020-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010315001606/0000950103-15-001606-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010316011426/0000950103-16-011426-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010317001636/0000950103-17-001636-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405218000019/0000814052-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405219000029/0000814052-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405220000023/0000814052-20-000023-index.htm,- -,- -
102,Forex Rate,1.1734,1.1918,1.367,1.3369,undefined,undefined,1.2269,1.2777,1.2538,1.0991,1.1723,1.0075,0.9424,0.8909,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
