,https://roic.ai/company/M,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
88,Other Investing Activites,10400000,1100000,-566700000,63300000,196200000,378000000,250000000,-123000000,-62000000,19000000,-69000000,-54000000,-179000000,3471000000,781000000,243000000,106000000,-22000000,-126000000,-62000000,-165000000,-181000000,-200000000,-103000000,409000000,114000000,201000000,-100000000,13000000,-16000
89,Cash Used for Investing Activites,-188100000,-405100000,-953500000,-633200000,-649800000,-318000000,-445000000,-2432000000,-804000000,-771000000,-637000000,-562000000,-727000000,-2506000000,1176000000,-796000000,-791000000,-377000000,-465000000,-617000000,-863000000,-788000000,-970000000,-1092000000,-187000000,-373000000,-456000000,-1002000000,-325000000,-370000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-966000000,-1245000000,-454000000,-1803000000,-124000000,-870000000,-152000000,-751000000,-954000000,-1149000000,-597000000,-2049000000,-171000
91,Common Stock Issued,502000000,7100000,5400000,15700000,129400000,56000000,46000000,290000000,53000000,323000000,29000000,193000000,298000000,336000000,382000000,257000000,7000000,8000000,43000000,162000000,234000000,315000000,258000000,163000000,36000000,6000000,45000000,6000000,- -,7000
92,Common Stock Repurchased,- -,-200000,-400000,-1000000,-1400000,-2000000,-594000000,-267000000,-603000000,-299000000,-392000000,-645000000,-901000000,-7000000,-2500000000,-3322000000,-1000000,-1000000,-1000000,-502000000,-1397000000,-1571000000,-1901000000,-2001000000,-316000000,-1000000,- -,-1000000,-1000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000000,-93000000,-157000000,-274000000,-230000000,-221000000,-84000000,-84000000,-148000000,-324000000,-359000000,-421000000,-456000000,-459000000,-461000000,-463000000,-466000000,-117000000,-90000
94,Other Financing Activites,-1191000000,-356800000,771100000,290100000,-722400000,-1316000000,-532000000,1057000000,173000000,-119000000,-88000000,-298000000,-141000000,-230000000,-1567000000,1225000000,-150000000,-29000000,24000000,829000000,901000000,415000000,1168000000,417000000,64000000,-3000000,23000000,-65000000,2866000000,-2127000
95,Cash Used/Provided by Financing Activities,-689000000,-349900000,776100000,304800000,-594400000,-1262000000,-1080000000,1080000000,-377000000,-95000000,-451000000,-819000000,-837000000,-58000000,-3959000000,-2070000000,-365000000,-1072000000,-1263000000,-113000000,-2389000000,-1324000000,-1766000000,-2029000000,-1426000000,-1413000000,-1544000000,-1123000000,699000000,-2381000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-689000000,-349900000,776100000,304800000,-594400000,-1262000000,-1080000000,-89000000,104000000,414000000,80000000,209000000,-57000000,-620000000,963000000,-628000000,723000000,301000000,-222000000,1363000000,-991000000,437000000,-27000000,-1137000000,188000000,158000000,-265000000,-517000000,1023000000,-1752285000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,218000000,322000000,636000000,716000000,925000000,868000000,248000000,1211000000,583000000,1306000000,1686000000,1464000000,2827000000,1836000000,2273000000,2246000000,1109000000,1297000000,1455000000,1248000000,731000000,1754000000,1715000
99,Cash at the Beginning of Period,1002500000,567000000,222400000,206500000,172500000,149000000,142000000,307000000,218000000,222000000,636000000,716000000,925000000,868000000,248000000,1211000000,583000000,1385000000,1686000000,1464000000,2827000000,1836000000,2273000000,2246000000,1109000000,1297000000,1513000000,1248000000,731000000,1754000000
100,Free Cash Flow,243100000,101000000,-225300000,-402000000,374500000,877000000,995000000,493000000,543000000,665000000,600000000,1082000000,959000000,1288000000,2354000000,1133000000,982000000,1290000000,1001000000,1329000000,1319000000,1686000000,1641000000,871000000,889000000,1184000000,803000000,451000000,183000000,2115000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015296001528/0000950152-96-001528-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015297002943/0000950152-97-002943-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015200002963/0000950152-00-002963-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015201500890/0000950152-01-500890-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015202003073/l93551ae10-k.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015203004243/l98218ae10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/794367/000095015206003165/l19117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/794367/000095015207003009/0000950152-07-003009-index.html,https://www.sec.gov/Archives/edgar/data/794367/000095015208002496/0000950152-08-002496-index.html,https://www.sec.gov/Archives/edgar/data/794367/000119312509070344/0001193125-09-070344-index.html,- -,https://www.sec.gov/Archives/edgar/data/794367/000119312511082813/d10k.htm,https://www.sec.gov/Archives/edgar/data/794367/000079436712000096/0000794367-12-000096-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436713000092/0000794367-13-000092-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436714000071/0000794367-14-000071-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436715000073/0000794367-15-000073-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436716000221/0000794367-16-000221-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436717000041/0000794367-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436718000036/0000794367-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436719000038/0000794367-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/794367/000079436720000040/0000794367-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/794367/000156459021016119/0001564590-21-016119-index.htm,https://www.sec.gov/Archives/edgar/data/794367/000156459022011726/0001564590-22-011726-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
