,https://roic.ai/company/TPHS,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10674000,32420000,-5655000,-6359000,-6359000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,39400000,44400000,- -,52000000,61300000,59800000,60000000,- -,- -,- -,99700000,-21700000,- -,- -,- -,- -,92700000,81617000,90700000,67431000,57090000,43215000,49827000,20337000,21184000,-8360000,17718000,36024000,42004000,- -,- -,7061000,16504000,-50592000,-89026000,-9381000,20885000
82,Other Non-Cash Items,- -,-15000000,-22100000,- -,-31200000,-18700000,-5000000,-8500000,56000000,-5200000,-3000000,-99690000,117800000,-31300000,-16700000,-5900000,24455000,-86175000,21655000,-1106000,25060000,9635000,19618000,-13253000,25804000,-1597000,46023000,-1076000,-8371000,3955000,- -,- -,24298000,-13831000,68582000,33134000,-100637000,-25624000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,16400000,14400000,12900000,18000000,12300000,12900000,1020000,11100000,15600000,16700000,22000000,36132000,4654000,20145000,7251000,6806000,12498000,20079000,13189000,4276000,3215000,26877000,-15558000,-10007000,-10007000,- -,- -,-14842000,-4640000,-2671000,-3597000,-10416000,-7304000
84,CAPEX,- -,- -,- -,- -,- -,-34300000,-14200000,-6300000,-6700000,-17500000,-14600000,-390000,-4800000,-21700000,-12300000,-16300000,-19203000,-6073000,-7990000,-3116000,-2392000,-2704000,-3894000,-7629000,-9787000,-7667000,-12224000,-15540000,-1154000,-1154000,- -,- -,-11928000,-16788000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14286000,-70000,- -,- -,-5383000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6034000,-38927000,- -,- -,- -,- -,- -,-14286000,-70000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,100000,5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,9000000,1400000,100000,100000,- -,100000,10000,300000,100000,100000,1100000,152000,382000,5000,- -,66000,3194000,7000,16296000,17000,923000,54000,10764000,27458000,22023000,- -,- -,14286000,7202000,-91622000,-39426000,-49744000,-14074000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-25300000,-12800000,-6200000,-11900000,-12200000,-14500000,-380000,-4500000,-21600000,-12200000,-15200000,-19051000,-5691000,-7985000,-5021000,-2326000,490000,-3887000,8667000,-9770000,-12778000,-51097000,-4776000,26304000,20869000,- -,- -,-26214000,-9726000,-91622000,-39426000,-55127000,-14074000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43092000,-406941000,- -,- -,- -,- -,- -,-40000000,- -,-12557000,-25868000,395000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,- -,100000,- -,- -,- -,- -,- -,- -,1400000,600000,- -,- -,7000,86000,147000,956000,810000,2274000,4000,- -,- -,- -,- -,- -,- -,- -,880000,40561000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10200000,-7556000,- -,-167000,-2604000,-2438000,-2020000,-3636000,-11734000,-1703000,-2817000,- -,-1207000,-26304000,- -,- -,- -,-1966000,-2574000,- -,-197000,-359000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15028000,- -,-8820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,7800000,-2200000,-6300000,-4900000,-200000,2700000,-890000,-2300000,4600000,-5400000,1900000,-2769000,-1160000,- -,- -,- -,- -,- -,-14491000,5000,2298000,67539000,428731000,15419000,-10885000,- -,- -,8647000,26974000,84129000,60422000,89169000,29759000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,8000000,-2200000,-6200000,-4900000,-1100000,900000,-890000,-2300000,4600000,-4000000,-7700000,-10325000,-1160000,-160000,-2518000,-2291000,-1064000,-17854000,-23951000,-10514000,-519000,24447000,20583000,-10885000,-10885000,- -,- -,7561000,24961000,84129000,47668000,62942000,30154000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,8000000,-2200000,-6200000,-4900000,-1100000,900000,-250000,-2300000,4600000,-4000000,-7700000,6756000,-2197000,12000000,-288000,2189000,11924000,-1662000,-2095000,-16008000,-10082000,227000,249000,24006000,-23000,- -,- -,-33495000,10595000,-10164000,4645000,-2601000,8776000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,- -,- -,- -,- -,9682000,7485000,19485000,19197000,21386000,31669000,30007000,27912000,11904000,1822000,2049000,2298000,26304000,2275000,- -,- -,4678000,15273000,14025000,18670000,16069000,24845000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2000000,1200000,600000,1100000,2300000,1300000,700000,500000,4800000,3300000,3800000,2926000,9682000,7485000,19485000,19197000,19745000,31669000,30007000,27912000,11904000,1822000,2049000,2298000,2298000,- -,- -,38173000,4678000,24189000,14025000,18670000,16069000
100,Free Cash Flow,- -,- -,- -,- -,- -,-17900000,200000,6600000,11300000,-5200000,-1700000,630000,6300000,-6100000,4400000,5700000,16929000,-1419000,12155000,4135000,4414000,9794000,16185000,5560000,-5511000,-4452000,14653000,-31098000,-11161000,-11161000,- -,- -,-14842000,-4640000,-2671000,-3597000,-10416000,-7304000
101,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011095000166/0000950110-95-000166-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095012396002748/0000950123-96-002748-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011097000997/0000950110-97-000997-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011098000592/0000950110-98-000592-index.html,- -,https://www.sec.gov/Archives/edgar/data/724742/000095011000000566/0000950110-00-000566-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011001500211/0000950110-01-500211-index.html,https://www.sec.gov/Archives/edgar/data/724742/000095011002000410/0000950110-02-000410-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/724742/000093041307003850/0000930413-07-003850-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041308002601/0000930413-08-002601-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041309002335/0000930413-09-002335-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000093041310002880/0000930413-10-002880-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420411029210/0001144204-11-029210-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420412032018/0001144204-12-032018-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420413032684/0001144204-13-032684-index.htm,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/724742/000114420418014956/0001144204-18-014956-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000114420419014669/0001144204-19-014669-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000110465920033149/0001104659-20-033149-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837021003848/0001558370-21-003848-index.htm,https://www.sec.gov/Archives/edgar/data/724742/000155837022004961/0001558370-22-004961-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
