,https://roic.ai/company/AUSI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-193469,-2624214,-16779906,-16779906,-1648571,-1768859,-5139308,-1046650,-548170,-778320,-103727,- -,- -,-125000,- -,-277500,-202500,-3979750,-476250,-245000,- -,- -,-197970,- -,-70000,-95000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60684622,2136500,636350,636350,7393980,12358339,13329201,5640938,- -,- -,4957154,3965156,5728418,3022807,2104400,2479487,1453520,1252100,- -,- -,- -,- -,2000000,900500,525353,2146000
92,Common Stock Repurchased,- -,1390000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-300000,1130000,- -,11600000,4400000,7500000,5700000,13200000,32600000,12306039,34613839,57217304,57217304,275901,- -,527775,2510746,6625580,7596225,123461,-97817,761799,3932405,4251928,4020000,5882000,8970679,6291000,4008913,1663064,1199484,1749594,1175000,- -,224305
95,Cash Used/Provided by Financing Activities,- -,1090000,1630000,- -,11600000,4400000,7500000,5700000,13200000,32600000,72797192,34126125,41073748,41073748,6021310,10589480,8717668,7105034,6077410,6817905,4976888,3867339,6490217,6830212,6356328,6221987,7133020,6243029,5814750,3763913,1663064,1199484,3551624,2075500,455353,2275305
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,160000,-190000,- -,- -,- -,- -,- -,- -,- -,18072864,-14788010,-1032943,-1032943,-3561773,1005475,-122516,-979703,-80493,-21824,411106,578777,-1013727,279724,-271962,59521,-98555,82936,-48269,-6072,-12680,233694,492139,-389799,-338402,370896
98,Cash at the End of Period,- -,518210,-190000,- -,- -,- -,- -,- -,- -,- -,21900364,7112354,6079411,6079411,260437,1265912,1143396,163693,83200,61376,472482,1051259,37532,317256,45294,104815,6260,89196,40927,34855,22175,255869,748008,358209,19807,390703
99,Cash at the Beginning of Period,- -,358210,- -,- -,1000000,400000,400000,2900000,2700000,4600000,3827500,21900364,7112354,7112354,3822210,260437,1265912,1143396,163693,83200,61376,472482,1051259,37532,317256,45294,104815,6260,89196,40927,34855,22175,255869,748008,358209,19807
100,Free Cash Flow,- -,-1000000,-1820000,- -,-12200000,-3900000,-5200000,-6700000,-10000000,-33600000,-43705878,-40053884,-51931164,-28367848,-15585020,-13372507,-8991741,-9787053,-6746956,-6839729,-4565782,-3296312,-7505444,-6550489,-6628290,-6162466,-7231575,-6160093,-5863019,-3769985,-1675745,-965790,-2809483,-2465299,-793755,-1904409
101,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625309000025/0000826253-09-000025-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826253/000082625312000007/0000826253-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625313000014/0000826253-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000082625314000018/0000826253-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009769/0001213900-17-009769-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009780/0001213900-17-009780-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390017009788/0001213900-17-009788-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390018007594/0001213900-18-007594-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390019010683/0001213900-19-010683-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390020017386/0001213900-20-017386-index.htm,https://www.sec.gov/Archives/edgar/data/826253/000121390021030229/0001213900-21-030229-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
