,https://roic.ai/company/CM,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,973000000,-16000000,-331000000,-752000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1138000000,-3000000,- -,- -,-1019000000,-1237000000,-552000000,-1392000000,-642000000,-270000000,-7000000,-417000000,-109000000,-234000000,-15000000
93,Dividends Paid,- -,-394000000,-422000000,-431000000,-464000000,-532037741,-613983639,-603942916,-628997868,-657038565,-738317757,-771462482,-970495001,-1027275948,-1056000000,-1183426355,-1404521405,-1490000000,-1519000000,-1556000000,-1598000000,-1622000000,-1654000000,-1753000000,-1917000000,-1425000000,-2109000000,-2406000000,-2571000000,-2649000000
94,Other Financing Activites,- -,7396000000,7273000000,25884000000,17718000000,18348964935,21858002778,-18558040312,17523606458,18392318679,-12540498442,4881972834,-347476225,3483292007,- -,14438625201,922003849,-9100000000,17498000000,796000000,- -,- -,1395000000,593000000,1000000000,792000000,1979000000,2068000000,1747000000,1748000000
95,Cash Used/Provided by Financing Activities,- -,7975000000,6835000000,25122000000,16502000000,17812984087,20148942738,-19424010593,16719463905,17503570862,-13621495327,3626533034,-1810534016,1945920416,- -,11700879765,2104377104,-11831000000,15147000000,-2303000000,-2690000000,-2630000000,-1833000000,-2903000000,-2436000000,-501000000,-993000000,-1290000000,-1221000000,-1945000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-21038694,13706975,31740993,-12461059,-105499143,-41453304,-4723108,- -,-70002838,69745070,-47000000,-38000000,-17000000,5000000,48000000,99000000,280000000,55000000,-51000000,53000000,4000000,25000000,-175000000
97,Net Change In Cash,- -,254000000,-1149000000,733000000,296000000,17812984087,795030097,69001029,-175144685,-36502143,-529595016,292760122,-219458668,-64942732,7000000,140005676,101010101,254000000,378000000,-335000000,1132000000,-402000000,483000000,359000000,447000000,-60000000,940000000,-540000000,39691000000,-8958000000
98,Cash at the End of Period,- -,254000000,-1149000000,733000000,296000000,- -,1630961568,1700014712,1524520256,1487065545,957943925,1593037057,1374055109,1309481639,1317000000,1456815817,1558441558,1812000000,2190000000,1855000000,2613000000,2211000000,2694000000,3053000000,3500000000,3440000000,4380000000,3840000000,43531000000,34573000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1370933671,835931471,1631013683,1699664941,1523567688,1487538941,1300276935,1593513777,1374424371,1310000000,1316810141,1457431457,1558000000,1812000000,2190000000,1481000000,2613000000,2211000000,2694000000,3053000000,3500000000,3440000000,4380000000,3840000000,43531000000
100,Free Cash Flow,- -,969000000,1698000000,1915000000,938000000,-6532037741,-15153110048,6317051640,-6635699056,714172353,8665109034,-1744692074,4587905389,-371944740,- -,4320310283,284992785,24663000000,-8196000000,-1687000000,1311000000,4938000000,-16822000000,19227000000,10041000000,2457000000,9612000000,18363000000,59986000000,-4171000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000120677403000020/0001206774-03-000020-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956703001453/0000909567-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956704001738/0000909567-04-001738-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956705001967/t18394exv99wbw3xby.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956706002002/0000909567-06-002002-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956707001523/0000909567-07-001523-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956708001255/0000909567-08-001255-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012309068859/0000950123-09-068859-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012310111012/0000950123-10-111012-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312511328621/0001193125-11-328621-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312512493299/0001193125-12-493299-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312513462841/0001193125-13-462841-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312515393721/0001193125-15-393721-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312518337131/0001193125-18-337131-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312519306746/0001193125-19-306746-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312520308946/0001193125-20-308946-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312521345994/0001193125-21-345994-index.htm
102,Forex Rate,undefined,0.7573,0.7389,0.7438,0.7473,0.71,0.6487,0.6801,0.6567,0.6294,0.6417,0.7579,0.821,0.8462,0.8579,1.0594,0.8247,0.922,0.9814,1.0003,0.9998,0.9585,0.8875,0.7645,0.7456,0.7759,0.7601,0.7597,0.7507,0.807
