,https://roic.ai/company/RRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,-4800000,-5200000,-5300000,-5300000,-5300000,-6000000,-7600000,-9500000,-10000000,-10000000,-10100000,-10075000,-10022000,-11015000,-12014000,-11879000,-14730000,-16627000,-18099000,-22470000,-21607000,-25096000,-27566000,-30800000,-35100000,-37800000,-40200000,-42100000,-44500000,-47200000,-48900000,-48700000,- -
94,Other Financing Activites,- -,- -,- -,- -,6600000,-800000,-600000,19100000,-14800000,6000000,-23700000,-2700000,189500000,-26100000,-18000000,245402000,-48598000,-122820000,-27019000,345968000,-138374000,-37283000,193383000,170089000,4107000,5494000,778570000,337700000,66600000,346300000,1873800000,588300000,1250800000,2263600000,1176100000,1088600000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2200000,-5700000,-5800000,14100000,-19900000,300000,-30800000,-11600000,180700000,-34100000,-27400000,233836000,-59474000,-43595000,-39033000,322436000,-98122000,-46968000,177474000,-31416000,32921000,-70295000,455782000,77100000,-90900000,-218000000,1036600000,-376800000,-390600000,-17700000,-397400000,-147600000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,200000,-100000,- -,- -,-22000,-32000,97000,167000,84000,-824000,511000,1588000,-434000,956000,1713000,-840000,1500000,2000000,-7200000,-11300000,-11600000,11600000,-8100000,-2600000,29100000,- -
97,Net Change In Cash,- -,- -,- -,- -,2200000,-5700000,-5800000,14100000,-19900000,300000,-30800000,-11600000,180700000,-34100000,-1800000,883000,4017000,-1038000,3509000,22175000,1472000,3773000,6054000,22676000,197172000,-87891000,-31904000,232700000,90700000,-131900000,-81200000,31600000,-144900000,109000000,82800000,279900000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2612000,6629000,5591000,9100000,31275000,32747000,36520000,42574000,65250000,262422000,174531000,142627000,375300000,466000000,334100000,252900000,284500000,139600000,248600000,331400000,611300000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,1800000,3200000,10000000,7200000,5200000,2200000,13400000,7500000,38400000,3400000,3500000,1729000,2612000,6629000,5591000,9100000,31275000,32747000,36520000,42574000,65250000,262422000,174531000,142600000,375300000,466000000,334100000,252900000,284500000,139600000,248600000,331400000,- -
100,Free Cash Flow,- -,- -,- -,- -,16400000,10400000,12600000,16100000,15900000,20100000,22000000,42600000,-216600000,35600000,26800000,35095000,66343000,43655000,41000000,21883000,83950000,41003000,163998000,101990000,281315000,130394000,207675000,269400000,214000000,210000000,288900000,374400000,226700000,285100000,316100000,387900000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82811/000008281121000043/0000082811-21-000043-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
