,https://roic.ai/company/HWC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167372000,- -,213994000,- -,- -,- -,- -,259299000,- -,- -,- -,12110000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,-47618000,-95613000,- -,- -,-8267000,-185000000,-12716000,-21796000
93,Dividends Paid,-3100000,-3200000,-3500000,-4800000,-6500000,-7000000,-8700000,-9200000,-11000000,-10900000,-11055506,-13611093,-13521896,-15374679,-16207000,-18977000,-23416000,-29311000,-30957000,-30453000,-32011000,-35721000,-70617000,-82690000,-81212000,-80392000,-77013000,-76551000,-83266000,-88838000,-94871000,-95605000,-95927000
94,Other Financing Activites,80400000,-20500000,122400000,164100000,83900000,24900000,66200000,-49200000,158400000,258800000,-71433108,-18029630,230207550,240598759,93856000,355503000,1240003000,21025000,74692000,1064495000,1292805000,-538184000,209673000,-139978000,-337596000,1729416000,2322064000,887632000,785872000,581463000,449898000,3013002000,2784956000
95,Cash Used/Provided by Financing Activities,69400000,-24400000,100400000,159300000,77400000,16600000,56600000,-59400000,146300000,246600000,-82953478,-32177754,196114073,224638308,77057000,336371000,1216580000,-58294000,43735000,1033887000,-266898000,-594200000,326237000,-414755000,-569086000,1566046000,1991505000,1049109000,498495000,394142000,155805000,2916483000,2513789000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,69400000,-24400000,100400000,159300000,77400000,16600000,56600000,-59400000,146300000,246600000,-4555200,-26358699,34428061,22978394,-9704000,-22285000,115307000,-80990000,-7499000,17160000,4939000,-65027000,298260000,10544000,-100051000,8015000,-52581000,68815000,14259000,-3576000,48732000,94202000,-125105000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156738459,130379760,164807821,187786215,178082000,155797000,271104000,190114000,182615000,199775000,204714000,139687000,437947000,448491000,348440000,356455000,303874000,372689000,386948000,383372000,432104000,526306000,401201000
99,Cash at the Beginning of Period,46500000,51900000,68700000,80000000,99500000,94200000,120500000,124300000,119500000,113100000,161293659,156738459,130379760,164807821,187786000,178082000,155797000,271104000,190114000,182615000,199775000,204714000,139687000,437947000,448491000,348440000,356455000,303874000,372689000,386948000,383372000,432104000,526306000
100,Free Cash Flow,12900000,10000000,17900000,34100000,22300000,22900000,35600000,38000000,39000000,20700000,37559292,54951707,41299562,73431966,76870000,143933000,55601000,3824000,-15547000,72900000,5837000,172899000,200071000,400053000,441503000,331979000,208541000,321465000,390788000,398520000,309233000,317322000,562149000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/0000950134-96-001158-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079801000065/0001030798-01-000065-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000103079805000026/0001030798-05-000026-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/750577/000116923208001039/d73726_10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000116923209001195/0001169232-09-001195-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312510033208/0001193125-10-033208-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312511050016/d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312512085826/0001193125-12-085826-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312513083995/0001193125-13-083995-index.html,https://www.sec.gov/Archives/edgar/data/750577/000119312514076371/d643369d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312515070213/d837451d10k.htm,https://www.sec.gov/Archives/edgar/data/750577/000119312516482143/0001193125-16-482143-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057717000009/0000750577-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057718000009/0000750577-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/750577/000075057719000004/0000750577-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459020006172/0001564590-20-006172-index.html,https://www.sec.gov/Archives/edgar/data/750577/000156459021009576/0001564590-21-009576-index.htm,https://www.sec.gov/Archives/edgar/data/750577/000156459022007023/0001564590-22-007023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
