,https://roic.ai/company/PATK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2300000,-2900000,1000000,-23900000,-15400000,-13900000,400000,10800000,-14500000,696253,20682700,7204983,-977205,8725055,-674400,-12064103,-5618000,22418000,110028000,6714000,16123000,-39394000,-25068000,-24971000,-14666000,-8389000,6434000,-74144000,-79495000,-83467000,-5004000,9598000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4300000,1400000,1800000,3400000,-3200000,4000000,8100000,18000000,19200000,9500000,18084253,15578342,5449543,5368193,11567991,-1747504,5461000,-1089000,22972000,1709000,3709000,7759000,11815000,20997000,22431000,45741000,65630000,97147000,99901000,200013000,192410000,160153000,252130000
84,CAPEX,- -,- -,- -,- -,-3600000,-2400000,-2000000,-2200000,-4100000,-5800000,-11900000,-9800000,-18900000,-10800000,-7505350,-3806938,-1817120,-4186726,-5293264,-10605333,-8503000,-7480000,-2453000,-4218000,-309000,-1356000,-2436000,-7895000,-8669000,-6542000,-7958000,-15406000,-22497000,-34486000,-27661000,-32100000,-64804000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85873000,- -,- -,-5776000,-7314000,-29262000,-16511000,-72094000,-140176000,-138844000,-251851000,-343347000,-55953000,-305995000,-509930000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,900000,200000,- -,200000,-5500000,1000000,-300000,100000,-300000,480514,852816,516923,1021528,1316002,1397534,129000,491000,1533000,6080000,13212000,6963000,-2426000,-7960000,-7745000,-6527000,-7211000,-15154000,-21286000,-28023000,-23259000,-31889000,-64804000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3700000,-1500000,-1800000,-2200000,-3900000,-11300000,-10900000,-14500000,-14400000,-11100000,-7024836,-2954122,-1300197,-3165198,-3977262,-9207799,-8374000,-6989000,-86793000,1862000,13225000,1187000,-9740000,-37222000,-24256000,-78621000,-147387000,-153998000,-273137000,-371370000,-79212000,-337884000,-574734000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19670000,-12507000,-2563000,-1000000,-153000,-148000,-294171000,-382586000,-592626000,-1114219000,-916711000,-104277000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,11500000,- -,200000,500000,- -,100000,26875,- -,- -,192316,128953,681404,296000,386000,11210000,20825000,- -,- -,- -,- -,- -,- -,- -,- -,93306000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,-200000,-100000,- -,- -,-2200000,- -,-1500000,-900000,-1300000,-3054421,-7986836,-421957,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6078000,-13928000,-22637000,-5214000,- -,-107567000,-3815000,-23106000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-1000000,-900000,-900000,-919158,-851450,-730988,-727447,-183279,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5798000,-23630000,- -
94,Other Financing Activites,- -,- -,- -,- -,-1200000,500000,- -,-1500000,-4200000,9700000,4000000,-800000,-1200000,3700000,-4131224,-3755988,-3798246,-4029915,-4011245,3279296,3611000,6972000,52405000,-21875000,124000,5458000,-919000,17109000,7656000,47045000,398529000,451013000,668874000,1397271000,945621000,234121000,400686000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1300000,300000,-100000,-1500000,7300000,7500000,3500000,-2800000,-3000000,1600000,-8077928,-12594274,-4951191,-4565046,-4065571,3960700,3907000,7358000,63615000,-1050000,-19546000,-7049000,-3482000,16109000,1425000,32969000,81721000,63213000,169554000,175485000,19297000,83108000,400686000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-1300000,300000,-100000,-1500000,7300000,7500000,3500000,-2800000,-3000000,1600000,2981489,29946,-801845,-2362051,3525158,-6994603,994000,-720000,-206000,2521000,-2612000,1897000,-1407000,-116000,-400000,89000,-36000,6362000,-3682000,4128000,132495000,-94623000,78082000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6686182,6716128,5914283,3552232,7077390,82787,1077000,357000,151000,2672000,60000,1957000,550000,434000,34000,123000,87000,6449000,2767000,6895000,139390000,44767000,122849000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1100000,500000,500000,400000,200000,500000,700000,1300000,2000000,3800000,3704693,6686182,6716128,5914283,3552232,7077390,83000,1077000,357000,151000,2672000,60000,1957000,550000,434000,34000,123000,87000,6449000,2767000,6895000,139390000,44767000
100,Free Cash Flow,- -,- -,- -,- -,700000,-1000000,-200000,1200000,-7300000,-1800000,-3800000,8200000,300000,-1300000,10578903,11771404,3632423,1181467,6274727,-12352837,-3042000,-8569000,20519000,-2509000,3400000,6403000,9379000,13102000,13762000,39199000,57672000,81741000,77404000,165527000,164749000,128053000,187326000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476003000054/0000914760-03-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/76605/000091476006000072/0000914760-06-000072-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476007000050/0000914760-07-000050-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476008000059/0000914760-08-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476009000078/0000914760-09-000078-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000091476010000037/0000914760-10-000037-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036111019493/0001140361-11-019493-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036112018064/0001140361-12-018064-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000114036113014593/0001140361-13-014593-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774914004258/0001437749-14-004258-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774915005055/0001437749-15-005055-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000143774916027616/0001437749-16-027616-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660517000036/0000076605-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660518000045/0000076605-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660519000040/0000076605-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660520000046/0000076605-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660521000059/0000076605-21-000059-index.htm,https://www.sec.gov/Archives/edgar/data/76605/000007660522000047/0000076605-22-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
