,https://roic.ai/company/SCHL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-30400000,-26700000,-32400000,-58600000,-93700000,-95000000,-154400000,-137500000,-79200000,-136800000,-145200000,-577300000,-238500000,-214000000,-147600000,-160400000,-161200000,-140700000,-118100000,-72600000,-105000000,-141100000,-121300000,-127900000,-345700000,-64000000,-61200000,-102700000,-162000000,-147300000,-95700000,-50500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-731500000,-209300000,-243000000,-160300000,-334500000,-193700000,-480100000,-37300000,-29600000,-43300000,-61700000,-28700000,-36200000
91,Common Stock Issued,700000,100000,90800000,31000000,1000000,2600000,4400000,4700000,700000,5800000,20800000,24200000,22800000,5100000,7600000,29900000,28700000,26800000,37500000,- -,3200000,2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1500000,-200000,-34500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220000000,-34000000,-10800000,-166900000,-13100000,-11800000,-6200000,-3500000,-14400000,-6900000,-27300000,-8500000,-35500000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,-10900000,-10800000,-13200000,-15900000,-17800000,-19700000,-20500000,-20800000,-21100000,-21100000,-20800000,-20600000
94,Other Financing Activites,3900000,-1000000,-82400000,1200000,55100000,63600000,99800000,86700000,-39100000,14100000,-18600000,359200000,48000000,77700000,-113500000,-23400000,-8900000,-270700000,106000000,687600000,156900000,187300000,139200000,189500000,340200000,378800000,84200000,53200000,59700000,65600000,239100000,4500000
95,Cash Used/Provided by Financing Activities,4600000,-2400000,8200000,-2300000,56100000,66200000,104200000,91400000,-38400000,19900000,2200000,383400000,70800000,82800000,-105900000,6500000,19800000,-243900000,-76500000,-86300000,-70900000,-230500000,-47400000,-172700000,122500000,-124500000,12000000,-4100000,-32000000,-25700000,154100000,-52300000
96,Effect of Forex Changes on Cash,100000,100000,100000,- -,- -,-100000,100000,- -,100000,100000,-100000,- -,- -,-100000,400000,100000,300000,-11000000,-11100000,-5700000,600000,4400000,-1900000,100000,-100000,-1800000,-700000,-100000,300000,-1200000,-800000,4500000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,3100000,4800000,-3100000,47900000,-40800000,92800000,94700000,-182500000,97600000,23200000,100500000,-138800000,89600000,-107500000,-66500000,485900000,-107100000,44400000,-52200000,-57800000,59700000,-27300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,9000000,13800000,10700000,58600000,17800000,110600000,205300000,22800000,120400000,143600000,244100000,105300000,194900000,87400000,20900000,506800000,399700000,444100000,391900000,334100000,393800000,366500000
99,Cash at the Beginning of Period,13800000,16500000,12700000,17100000,4100000,4100000,3700000,4300000,4900000,5100000,5900000,9000000,13800000,10700000,58600000,17800000,110600000,205300000,22800000,120400000,143600000,244100000,105300000,194900000,87400000,20900000,506800000,399700000,444100000,391900000,334100000,393800000
100,Free Cash Flow,18500000,17700000,21100000,31900000,-3900000,6800000,20200000,17200000,97400000,88000000,100200000,108200000,86200000,95300000,100100000,196800000,120100000,109800000,251800000,90600000,171600000,154100000,206500000,134500000,-124100000,136600000,-114500000,75700000,20000000,21400000,-63900000,23800000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041300001138/0000930413-00-001138-index.html,https://www.sec.gov/Archives/edgar/data/866729/000093041301501059/0000930413-01-501059-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866729/000093041304003432/0000930413-04-003432-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041305005569/0000930413-05-005569-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041306005646/0000930413-06-005646-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041307006318/0000930413-07-006318-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041308004578/0000930413-08-004578-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041309003936/0000930413-09-003936-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041310004074/0000930413-10-004074-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041311004927/0000930413-11-004927-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041312004127/0000930413-12-004127-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000093041313003986/0000930413-13-003986-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672914000008/0000866729-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672915000013/0000866729-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672916000030/0000866729-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672917000009/0000866729-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672918000008/0000866729-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672919000009/0000866729-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672920000010/0000866729-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866729/000086672921000013/0000866729-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
