,https://roic.ai/company/NEN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,- -,- -,-100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5380707,-23045844,-1514340,-540911,- -,-906214,-1094609,-2685583,-3429953,-1634945,-42548,- -,-4050137,-394031,- -
93,Dividends Paid,- -,-1200000,-1200000,-1200000,- -,-1200000,- -,-1202766,-1199757,-1527813,-1418369,-2283230,-2542688,-3061604,-4428083,-5085377,-4704838,-4843216,-4843216,-4783169,-3917908,-3713840,-3687600,-3681566,-3932410,-3893662,-3858386,-3785883,-6729679,-7985835,-4477923,-4696893,-4675754,- -
94,Other Financing Activites,- -,- -,- -,- -,10300000,- -,5000000,46402000,-37577,25914,- -,5293259,8563625,- -,- -,16824376,413218,2000000,- -,3224419,31048556,7468600,904122,8893009,-353400,27296485,804137,- -,19896282,62945471,-64320,19553541,3645551,69109222
95,Cash Used/Provided by Financing Activities,- -,-2400000,-1400000,-1500000,-500000,-2100000,-400000,33126363,-1870872,-2283577,-2052638,2133875,4324553,-3816583,-5271245,10954426,-5000247,-4873775,-5769405,-8018605,-733110,1298138,-6697365,-5306177,-7966715,16505055,-9298325,-7347907,-15344620,29162572,-21373723,5315171,-4636253,69109222
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-2400000,-1400000,-1500000,-500000,-2100000,-400000,1709771,-875519,-1374328,166801,621360,13234534,2211971,2283503,5387882,-14499518,2186582,-2276142,-2882725,3862406,-7873268,365698,804796,2931749,7031474,2518,-3717712,-2834489,-224792,1820996,-1513577,11100648,77436536
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,2706124,1830605,456277,623078,1244438,14478972,16690943,18974446,24362328,9862810,12049392,9773250,6890525,10752931,2879663,3245361,4050157,6981906,14013380,14015898,10298186,7463697,7238905,9059901,7546324,18646972,- -
99,Cash at the Beginning of Period,- -,2800000,1600000,800000,1100000,2000000,1600000,996353,2706124,1830605,456277,623078,1244438,14478972,16690943,18974446,24362328,9862810,12049392,9773250,6890525,10752931,2879663,3245361,4050157,6981906,14013380,14015898,10298186,7463697,7238905,9059901,7546324,18646972
100,Free Cash Flow,- -,-400000,1100000,1800000,1400000,800000,800000,-31697231,949455,2868170,3134969,-1757563,4691139,7928912,5439256,-5561544,-246021,5453769,5793263,2280880,-5715189,6436044,6045563,-3569455,11951863,13439139,11840634,13806121,15342225,16138112,25631546,22448895,17452309,15783158
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746514/0000912057-96-005751-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746514/000104746904009866/0001047469-04-009866-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746905008614/0001047469-05-008614-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465906017326/0001104659-06-017326-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465907019850/0001104659-07-019850-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746908002959/0001047469-08-002959-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746909002706/0001047469-09-002706-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746910002084/0001047469-10-002084-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746911001788/0001047469-11-001788-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746912002457/0001047469-12-002457-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746913003473/0001047469-13-003473-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746914002769/0001047469-14-002769-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746915002122/0001047469-15-002122-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837016004053/0001558370-16-004053-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837017001693/0001558370-17-001693-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837018001971/0001558370-18-001971-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837019001912/0001558370-19-001912-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837020002520/0001558370-20-002520-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837021002894/0001558370-21-002894-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837022003450/0001558370-22-003450-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
