,https://roic.ai/company/AIG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-7284100000,-10554900000,-10593100000,-16999000000,-17972300000,-27567643000,-28317927000,-38426380000,-32024856000,-40071000000,-71710000000,-65382000000,-167187000000,-187982000000,-210547000000,-237814000000,-257633000000,-186900000000,-226768000000,-173006000000,-112249000000,-95349000000,-78567000000,-79530000000,-72621000000,-50102000000,-55125000000,-62423000000,-53877000000,-48266000000,-63027000000,-67348000000,-79406000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,5081900000,5652700000,7213200000,12890000000,13118100000,20191187000,17318699000,23140380000,26361615000,25995000000,50930000000,50162000000,143196000000,150346000000,158125000000,161932000000,217839000000,139666000000,168893000000,245101000000,113812000000,87945000000,81826000000,97633000000,81516000000,68660000000,68675000000,69570000000,73647000000,59564000000,59736000000,57152000000,73184000000
88,Other Investing Activites,- -,- -,- -,- -,-2707800000,-2812800000,-2851600000,-30900000,-344600000,1513311000,3453713000,4704474000,4800387000,4008000000,4033000000,3187000000,-616000000,-2257000000,34000000,1306000000,-9316000000,-13797000000,-3129000000,-14794000000,-559000000,-24314000000,32486000000,-1491000000,-1796000000,-6622000000,-5088000000,-5212000000,-5891000000,-5814000000,-2186000000,1821000000,-1741000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5256600000,-8327900000,-7601700000,-6136400000,-7999000000,-9139291000,-11218986000,-14455657000,-4855533000,-14368000000,-20758000000,-16577000000,-30646000000,-46598000000,-61119000000,-80488000000,-57321000000,-67040000000,-68007000000,47484000000,5778000000,-10225000000,36332000000,16612000000,7099000000,14284000000,8462000000,4744000000,14671000000,-223000000,-5475000000,-6202000000,-3280000000
90,Debt Repayment,- -,- -,- -,- -,-18200000,-82400000,-536600000,-1644400000,-822100000,-7278569000,-7966188000,-6058967000,-11037825000,-10326000000,-15403000000,-15202000000,-26366000000,-23080000000,-24590000000,-30421000000,-53229000000,-69927000000,-79738000000,-211326000000,-64268000000,-45009000000,-32432000000,-7276000000,-14197000000,-16160000000,-9805000000,-4082000000,-3698000000,-3672000000,-3202000000,-4706000000,-8641000000
91,Common Stock Issued,- -,- -,- -,- -,7900000,6700000,11700000,13300000,13300000,14721000,20519000,23013000,36568000,40000000,220000000,144000000,239000000,168000000,74000000,158000000,82000000,163000000,206000000,7355000000,5344000000,2199000000,5055000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-600000,-14300000,-12700000,-82100000,-13100000,-178676000,-17646000,-493872000,-507707000,-81000000,-275000000,-947000000,-2290000000,-784000000,-578000000,-1283000000,-276000000,-20000000,-6016000000,-1000000000,- -,- -,-70000000,-21636000000,-597000000,-4902000000,-10691000000,-11460000000,-6275000000,-1739000000,- -,-500000000,-2592000000
93,Dividends Paid,- -,- -,- -,- -,-82900000,-95700000,-107000000,-116700000,-123900000,-136116000,-153572000,-174115000,-199631000,-225000000,-303000000,-335000000,-743000000,-467000000,-584000000,-730000000,-1421000000,-1638000000,-1881000000,-1628000000,- -,- -,- -,- -,-294000000,-712000000,-1028000000,-1372000000,-1172000000,-1138000000,-1136000000,-1132000000,-1112000000
94,Other Financing Activites,- -,- -,- -,- -,2015500000,3966900000,3865500000,3988800000,2498200000,11247892000,12139626000,11555060000,13557317000,18140000000,26027000000,27105000000,52272000000,52540000000,49845000000,77589000000,87843000000,131212000000,120909000000,164680000000,29927000000,33549000000,-9479000000,8348000000,3330000000,1986000000,10095000000,10081000000,5448000000,7343000000,10717000000,11396000000,8610000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1921700000,3781200000,3220900000,2158900000,1552400000,3669252000,4022739000,4851119000,1848722000,7548000000,10266000000,10765000000,23112000000,28377000000,24167000000,45313000000,32999000000,59790000000,33480000000,-41919000000,-28997000000,-9261000000,-36926000000,-20564000000,-11758000000,-19788000000,-11429000000,-6833000000,-5697000000,794000000,6379000000,5058000000,-3735000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-99300000,84800000,-57100000,-212500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000000,681000000,-928000000,114000000,50000000,38000000,533000000,39000000,29000000,16000000,-92000000,-74000000,-39000000,52000000,-28000000,-11000000,16000000,49000000,-67000000
97,Net Change In Cash,- -,- -,- -,- -,1921700000,3781200000,3220900000,2158900000,1552400000,-81244000,12134000,-29631000,28177000,216000000,-171000000,124000000,176000000,467000000,-243000000,1087000000,-112000000,-307000000,694000000,6358000000,-4242000000,-2842000000,-84000000,-323000000,1090000000,-483000000,-129000000,239000000,494000000,621000000,-71000000,-57000000,-803000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,76237000,88371000,58740000,86917000,303000000,132000000,256000000,698000000,1165000000,922000000,2009000000,1897000000,1590000000,2284000000,8642000000,4400000000,1558000000,1474000000,1151000000,2241000000,1758000000,1629000000,1868000000,2362000000,3358000000,3287000000,3230000000,2427000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,129700000,168200000,95100000,148500000,136600000,157481000,76237000,88371000,58740000,87000000,303000000,132000000,522000000,698000000,1165000000,922000000,2009000000,1897000000,1590000000,2284000000,8642000000,4400000000,1558000000,1474000000,1151000000,2241000000,1758000000,1629000000,1868000000,2737000000,3358000000,3287000000,3230000000
100,Free Cash Flow,- -,- -,- -,- -,3126000000,3776000000,3121000000,2181600000,3667300000,2192245000,3588462000,5739342000,-917342000,3252000000,6354000000,1471000000,2595000000,12462000000,29515000000,29669000000,16927000000,820000000,29529000000,-4062000000,18080000000,16643000000,35000000,3676000000,5865000000,5007000000,2877000000,2383000000,-8585000000,61000000,-928000000,1038000000,6279000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/5272/000110465921025742/0001104659-21-025742-index.htm,https://www.sec.gov/Archives/edgar/data/5272/000110465922024701/0001104659-22-024701-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
