,https://roic.ai/company/ATVI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189000000,-194000000,-204000000,-216000000,-147000000,-170000000,-195000000,-226000000,-259000000,-283000000,-316000000,-365000000
94,Other Financing Activites,- -,300000,4800000,-1000,- -,179000,58310000,1151000,19548000,-16070000,-10404000,-720000,-2818000,- -,- -,9012000,-137000000,79000000,22000000,24000000,-11000000,4671000000,-27000000,179000000,6693000000,3675000000,-120000000,-59000000,1907000000,-246000000
95,Cash Used/Provided by Financing Activities,- -,300000,42000000,190000,-5041000,2388000,62392000,7220000,42028000,2547000,50402000,64090000,117569000,72654000,45088000,27968000,1488000000,-949000000,-1053000000,-808000000,-497000000,-1223000000,-374000000,-135000000,500000000,-624000000,-2020000000,-237000000,711000000,-521000000
96,Effect of Forex Changes on Cash,- -,100000,-300000,48000,-195000,122000,250000,-2361000,-2922000,84000,-36000,6583000,11195000,4421000,-4576000,10190000,-72000000,19000000,33000000,-57000000,70000000,102000000,-396000000,-366000000,-56000000,76000000,-31000000,-3000000,69000000,-48000000
97,Net Change In Cash,- -,300000,42000000,-738000,-12067000,-7649000,52020000,-41394000,16948000,75565000,153457000,6547000,180998000,148488000,40723000,30078000,2896000000,-190000000,44000000,353000000,794000000,451000000,438000000,-3025000000,1422000000,1468000000,-491000000,1569000000,2854000000,1786000000
98,Cash at the End of Period,- -,- -,- -,37355000,25288000,17639000,73378000,32847000,49985000,125550000,279007000,285554000,466552000,313608000,354331000,384409000,2958000000,2768000000,2812000000,3165000000,3959000000,4410000000,4848000000,1823000000,3245000000,4713000000,4229000000,5798000000,8652000000,10438000000
99,Cash at the Beginning of Period,- -,1100000,1900000,38093000,37355000,25288000,21358000,74241000,33037000,49985000,125550000,279007000,285554000,165120000,313608000,354331000,62000000,2958000000,2768000000,2812000000,3165000000,3959000000,4410000000,4848000000,1823000000,3245000000,4720000000,4229000000,5798000000,8652000000
100,Free Cash Flow,- -,-300000,-4000000,-2520000,-6831000,-10159000,-1588000,14278000,72871000,71785000,102642000,79098000,55427000,200368000,55601000,9227000,333000000,1114000000,1279000000,880000000,1272000000,1190000000,1185000000,1081000000,2019000000,2058000000,1659000000,1715000000,2174000000,2334000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000091205700030433/0000912057-00-030433-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205701521517/0000912057-01-521517-index.html,https://www.sec.gov/Archives/edgar/data/718877/000091205702025821/0000912057-02-025821-index.html,https://www.sec.gov/Archives/edgar/data/718877/000110465903012724/j2068_10k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465904016641/a04-6777_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465905027535/a05-8078_110k.htm,https://www.sec.gov/Archives/edgar/data/718877/000110465906040913/a06-9724_110k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/718877/000104746910001649/0001047469-10-001649-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746911001413/a2202068z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746912001775/0001047469-12-001775-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746913001506/0001047469-13-001506-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746914001688/a2218641z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746915001298/a2223239z10-k.htm,https://www.sec.gov/Archives/edgar/data/718877/000104746916010584/0001047469-16-010584-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746917001072/0001047469-17-001072-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746918001114/0001047469-18-001114-index.html,https://www.sec.gov/Archives/edgar/data/718877/000104746919000788/0001047469-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/0000718877-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/718877/000162828021002828/0001628280-21-002828-index.htm,https://www.sec.gov/Archives/edgar/data/718877/000162828022003992/0001628280-22-003992-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
