,https://roic.ai/company/HEI-A,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,-300000,-300000,-200000,-300000,-300000,-300000,-400000,-500000,-500000,-600000,-700000,-846000,-941000,-1045000,-1055000,-1201000,-1224000,-2004000,-2056000,-2631000,-3150000,-3546000,-4494000,-5689000,-120361000,-31215000,-9343000,-10724000,-12807000,-15363000,-18691000,-21552000,-23002000
94,Other Financing Activites,- -,- -,- -,- -,-300000,-100000,-100000,13800000,-10200000,800000,-1500000,-1900000,11000000,31900000,55000000,-28131000,27389000,-10888000,-22704000,-15007000,14700000,17218000,-1243000,-22270000,83970000,27354000,58123000,184423000,349569000,30100000,168679000,237496000,379556000,11828000,141971000,227295000,-30966000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-600000,-5100000,-4800000,11000000,-11200000,300000,-1400000,-900000,11600000,30300000,110900000,-28101000,28879000,-11695000,-22890000,-13986000,15222000,20285000,3576000,-22503000,-278000,-54192000,-10669000,78427000,103208000,-160115000,27336000,56772000,175872000,-207535000,-159720000,137743000,-558968000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,37000,116000,-717000,365000,114000,8000,-353000,312000,-657000,-819000,1012000,3169000,92000,390000,2026000,-216000
97,Net Change In Cash,- -,- -,- -,- -,-600000,-5100000,-4800000,11000000,-11200000,300000,-1400000,-900000,11600000,30300000,-2600000,-1224000,-474000,206000,-218000,-4107000,5116000,-331000,-52000,7615000,-5395000,-624000,10957000,3951000,-5952000,4730000,13374000,9352000,9111000,7533000,-2598000,349851000,-298554000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,4807000,4333000,4539000,4321000,214000,5330000,4999000,4947000,12562000,7167000,6543000,17500000,21451000,15499000,20229000,33603000,42955000,52066000,59599000,57001000,406852000,108298000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4900000,7800000,15200000,16500000,18800000,5500000,5000000,4700000,11000000,24200000,8600000,6031000,4807000,4333000,4539000,4321000,214000,5330000,4999000,4947000,12562000,7167000,6543000,17500000,21451000,15499000,20229000,33603000,42955000,52066000,59599000,57001000,406852000
100,Free Cash Flow,- -,- -,- -,- -,3600000,400000,7400000,100000,1800000,2700000,6300000,-1500000,-1900000,-42300000,-111100000,3467000,9603000,17432000,24108000,38313000,27535000,36944000,44564000,59707000,65564000,92840000,116072000,123323000,113508000,174279000,154614000,218321000,248887000,286616000,408440000,386185000,407901000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46619/000004661919000095/0000046619-19-000095-index.htm,https://www.sec.gov/Archives/edgar/data/46619/000004661920000078/0000046619-20-000078-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
