,https://roic.ai/company/AIRT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,300000,500000,-400000,-200000,- -,263508,415000,- -,- -,- -,30581,63496,826011,1550000,20655,7124,- -,- -,-215247,-127903,-134317,-956540,-367045,-1242431,1426879,156336,-2409868,-19591025,-18140541,12304000,1259000
89,Cash Used for Investing Activites,- -,- -,- -,100000,200000,-700000,-1000000,-1000000,-1830483,-396908,-2093156,-935893,-177484,-227347,-656932,274005,651681,-375030,-355446,-197925,-1642296,804422,-1379371,2069237,-905505,-367045,-2702775,-2585860,-5266006,-3700336,-26415498,-23003816,8605000,2516000
90,Debt Repayment,- -,- -,- -,-1300000,-700000,-400000,-200000,- -,-4651,- -,- -,- -,- -,- -,-1929100,-300000,-2197880,- -,-302597,-39880,-154732,-134875,-460682,-12373,-8271,- -,- -,-1330888,-22129882,-57057131,-123993552,-125665292,-195319000,-132827000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,102000,66500,84250,83000,- -,- -,77835,5500,- -,213710,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,-100000,- -,-1200000,-1011043,-549468,-67254,-149500,-78437,-186783,-42785,- -,-179427,-356796,- -,-1287047,-712886,-122,-1696,-391,- -,- -,-1078216,- -,- -,-7917009,- -,-744173,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-200000,- -,-100000,-200000,-200615,-218435,-265144,-377687,-220278,-274858,-405520,-325854,- -,-535658,-667633,-667823,-610851,-727050,-800080,-802337,-611571,-611571,-733885,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-100000,- -,100000,-100000,100000,- -,- -,916079,2977423,94689,1771410,- -,-1370630,-100000,818712,- -,-76990,- -,6375,58030,- -,72194,- -,-369115,6351303,16136136,73662478,152730100,135956076,214559000,132898000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1400000,-1000000,-400000,-400000,-1100000,-1114309,-701403,667931,2533236,-204026,1309769,-2299570,-1990984,-2477307,139968,-970230,-2071740,-1478469,-855672,-1204428,-815101,-547648,-611571,-2181216,5020415,-5993746,8688338,28736548,9546611,19240000,71000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1923,-15998,-3340,95678,260000,-412000
97,Net Change In Cash,- -,- -,- -,-1400000,-1000000,-400000,300000,900000,-1167044,164057,-2183980,69444,-118849,-46714,-66029,47945,379734,3038210,-795235,193075,-2843641,6800855,2924874,-3262520,-700883,3383308,-5438604,10406231,-8043312,-2582090,2039873,7574833,3031000,356000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1700000,2600000,2213841,2377898,193918,263362,144513,97799,31770,79715,459449,3497659,2702424,2895499,51858,6852713,9777587,6515067,5814184,9197492,3758888,14165119,5345455,2763365,4803238,12647730,15571000,15927000
99,Cash at the Beginning of Period,- -,- -,- -,100000,100000,600000,1400000,1700000,3380885,2213841,2377898,193918,263362,144513,97799,31770,79715,459449,3497659,2702424,2895499,51858,6852713,9777587,6515067,5814184,9197492,3758888,13388767,5345455,2763365,5072897,12540000,15571000
100,Free Cash Flow,- -,- -,- -,1200000,1000000,1600000,900000,2000000,1573576,790349,-1809381,-2779045,-389966,-1849681,2170045,1630919,944541,2877587,167871,2264815,-200684,6636858,5380770,-4772173,-249516,3986879,-1837781,6039895,2169080,-9900525,-20493431,467127,-63766000,-7824000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318496000009/0000353184-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318497000007/0000353184-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318498000006/0000353184-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318499000010/0000353184-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318400000013/0000353184-00-000013-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318401500012/0000353184-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318402000008/0000353184-02-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/353184/000035318405000018/airt33105_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318406000022/airt10k_33106.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318407000010/0000353184-07-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318408000011/0000353184-08-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318409000010/0000353184-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318410000009/0000353184-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318411000011/0000353184-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318412000010/airt10k_033112.htm,https://www.sec.gov/Archives/edgar/data/353184/000035318413000009/0000353184-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318414000011/0000353184-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774915011923/0001437749-15-011923-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774916034573/0001437749-16-034573-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774917017134/airt20170331_10k.htm,https://www.sec.gov/Archives/edgar/data/353184/000143774918012675/0001437749-18-012675-index.html,https://www.sec.gov/Archives/edgar/data/353184/000143774919013061/0001437749-19-013061-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318420000035/0000353184-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/353184/000035318421000058/0000353184-21-000058-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
