,https://roic.ai/company/USAU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,13000,1253000,- -,1558000,- -,10000,-1433000,3171000,-275000,500000,-365000,- -,- -,- -,- -,159063,2500000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-900000,-600000,-300000,-700000,-2000000,-1200000,-2823000,-29510000,-358000,-673000,-141000,-303000,773000,-320000,1323000,-1529000,-2299000,-2399000,2728000,-349000,500000,-394000,-21000,- -,305925,- -,159063,2457009
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1533000,- -,- -,-903000,-361000,-436000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,900000,- -,- -,300000,200000,100000,300000,- -,2234000,3498000,520000,420000,112000,567000,459000,651000,496000,- -,118000,13000,2998000,- -,1561000,365000,500000,- -,2590004,219796,1890255,8999077
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-500000,- -,-5700000,-3300000,-2600000,-3205000,-1174000,-650000,-524000,- -,-1505000,-230000,- -,- -,- -,- -,- -,-45000,-142000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1773000,-2055000,-2114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,10000000,-11311000,-3800000,- -,- -,- -,113000,81000,- -,1000000,2654000,- -,1422000,-573000,3582000,100000,753000,4916120,- -,2401201,8029998
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,400000,- -,- -,-200000,200000,-5600000,-3000000,-2600000,-971000,12324000,-11441000,-3904000,112000,-938000,-1544000,-1291000,-1537000,- -,1118000,2667000,1420000,1280000,988000,3044000,239000,317000,7506124,219796,4291456,17029075
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,400000,- -,- -,-200000,200000,-5600000,-3000000,-2600000,5557000,-3414000,-6580000,-1156000,4306000,2475000,4763000,94000,3504000,-5117000,-10018000,-2162000,2930000,-2951000,-66000,69000,-271000,99000,825656,-5449098,552776,10895448
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13650000,10236000,3656000,2500000,6806000,9281000,14044000,14138000,17642000,12525000,2507000,345000,3275000,324000,258000,327000,56000,155000,7646279,2197181,2749957,13645405
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,4300000,4300000,2700000,400000,700000,8500000,6800000,7500000,8093000,13650000,10236000,3656000,2500000,6806000,9281000,14044000,14138000,17642000,12525000,2507000,345000,3275000,324000,258000,327000,56000,6820623,7646279,2197181,2749957
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-400000,-1600000,-2200000,500000,7500000,3900000,3700000,3200000,6528000,11588000,4861000,2748000,4175000,3400000,5054000,1385000,3483000,-4205000,-9410000,-4388000,-2357000,-3888000,-1554000,-2975000,-510000,-218000,-7006872,-5668894,-3897743,-8633627
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27093/0001001746-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174697000042/0001001746-97-000042-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174698000057/0001001746-98-000057-index.html,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174600000046/0001001746-00-000046-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174601500022/0001001746-01-500022-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27093/000100174607000036/0001001746-07-000036-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174608000017/0001001746-08-000017-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174609000009/0001001746-09-000009-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152010000444/0001171520-10-000444-index.html,https://www.sec.gov/Archives/edgar/data/27093/000100174611000011/0001001746-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152012000646/0001171520-12-000646-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152013000489/0001171520-13-000489-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152014000525/0001171520-14-000525-index.html,https://www.sec.gov/Archives/edgar/data/27093/000117152015000463/eps6337.htm,https://www.sec.gov/Archives/edgar/data/27093/000117152016001006/eps6897.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315217008303/0001493152-17-008303-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315218010661/0001493152-18-010661-index.html,https://www.sec.gov/Archives/edgar/data/27093/000149315219011194/form10-k.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315220013170/0001493152-20-013170-index.htm,https://www.sec.gov/Archives/edgar/data/27093/000149315221018081/0001493152-21-018081-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
