,https://roic.ai/company/DE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,380200000,411100000,-20200000,37400000,-920900000,603600000,706100000,817300000,960100000,1021400000,239200000,485500000,-64000000,319200000,643100000,1406100000,1446800000,1693800000,1821700000,2052800000,873500000,1865000000,2799900000,3064700000,3537300000,3161700000,1940000000,1523900000,2159100000,2368400000,3253000000,2751000000,5963000000
74,Depreciation and Amortization,- -,- -,- -,- -,192900000,203800000,209200000,250400000,257200000,256700000,283100000,311400000,365600000,418000000,513300000,647900000,718300000,725300000,631400000,621000000,636500000,691400000,744400000,831000000,873300000,914800000,914900000,1004200000,1140300000,1306500000,1382400000,1559800000,1715500000,1927100000,2019000000,2118000000,2050000000
75,Deferred Income Tax,- -,- -,- -,- -,91800000,57700000,-100100000,-15900000,-30400000,26200000,75500000,-65000000,-6900000,141900000,-162400000,-132900000,-230300000,-1200000,33100000,385000000,-49300000,15800000,-4200000,89700000,171600000,175000000,-168000000,-91800000,-172600000,-280100000,-18400000,282700000,100100000,1479900000,-465000000,-11000000,-441000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70600000,70500000,71200000,69000000,74500000,80700000,78500000,66100000,70600000,68100000,83800000,82000000,81000000,82000000
77,Change in Working Capital,- -,- -,- -,- -,-237600000,424000000,8500000,-16800000,661500000,-254000000,797700000,600100000,338200000,-92300000,845900000,387900000,912500000,2633200000,973500000,2327200000,496100000,-465600000,-2067100000,293200000,3479000000,1689600000,113100000,4417900000,208400000,1262400000,-2599100000,32100000,8315200000,-1134400000,3375800000,-3418000000,396000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-428400000,481800000,-1100600000,-808900000,-1901600000,-1510200000,-749000000,811600000,335200000,-838900000,-1531100000,- -,- -,969000000
79,Inventory,- -,- -,- -,- -,4200000,67600000,134800000,-3000000,35400000,-164500000,-17000000,-75100000,-255200000,-192600000,50700000,-184000000,136500000,85800000,84100000,-293700000,-324100000,-78000000,-357200000,-1195400000,452500000,-1052700000,-1730500000,-1510200000,-728400000,-297900000,-691400000,-106100000,-1305300000,-1772300000,-780000000,397000000,-2497000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,3408300000,3832300000,3840800000,3824000000,4485500000,4231500000,5029200000,5629300000,5967500000,5875200000,6721100000,7109000000,8021500000,10654700000,11628200000,13955400000,14451500000,13985900000,11918800000,12212000000,15691000000,17380600000,17493700000,21911600000,22120000000,23382400000,20783300000,20815400000,29130600000,27996200000,31372000000,27954000000,40000000
82,Other Non-Cash Items,- -,- -,- -,- -,-6800000,-699500000,515600000,103200000,866700000,86300000,-1023000000,-319400000,-500300000,-1072100000,-1500000,-308400000,-223100000,-1798200000,-745400000,-3576800000,-1313500000,-962200000,2264600000,-1388300000,-3483100000,-2433400000,-1402600000,-7301800000,-1539800000,-2003100000,2969300000,295200000,-10158200000,-2904500000,-4852800000,5962000000,-324000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,420500000,397100000,613000000,358300000,834100000,718800000,839400000,1344400000,1156700000,416900000,1434500000,1080000000,1113400000,1878300000,1535700000,1162500000,1216600000,973200000,2759400000,1949000000,1984800000,2282200000,2326300000,1167700000,3254300000,3525900000,3740300000,3764300000,2199800000,1820300000,3412000000,7483000000,7726000000
84,CAPEX,- -,- -,- -,- -,-181100000,-292100000,-298000000,-285700000,-206500000,-228100000,-262400000,-275900000,-484900000,-537800000,-531300000,-426700000,-491000000,-358700000,-309600000,-363800000,-512600000,-766000000,-1484200000,-1608200000,-1308100000,-1312800000,-1680800000,-2121000000,-2375300000,-2659300000,-2826100000,-2955100000,-2592300000,-2950100000,-3449000000,-2656000000,-2580000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-643300000,-315200000,-506900000,-10600000,-192900000,-169700000,384400000,-112100000,-210300000,-49800000,-10600000,850300000,30200000,-61500000,345800000,149200000,-117400000,-170300000,-5089400000,93000000,-66000000,-244000000
86,Purchases of Investments,- -,- -,- -,- -,-319900000,-192900000,-200600000,-372200000,-346500000,-344800000,-194100000,-127300000,-166700000,-224900000,-92900000,-61900000,-75700000,-87800000,-118200000,-79600000,-3276300000,-2565600000,-2251600000,-1141400000,-29500000,-63400000,-586900000,-922200000,-1026300000,-614600000,-154900000,-171200000,-118000000,-132800000,-140000000,-130000000,-194000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,259700000,118900000,136300000,278200000,320900000,222900000,181200000,104400000,226000000,187300000,115400000,247800000,32400000,75400000,76400000,66700000,1065000000,3006000000,2458500000,1738500000,825100000,38400000,32400000,240300000,843900000,1022500000,860700000,169400000,404200000,76600000,89000000,93000000,109000000
88,Other Investing Activites,- -,- -,- -,- -,-492600000,-602100000,-1016700000,246000000,447100000,-855300000,-920500000,-916700000,-958500000,-546500000,-143000000,-2226200000,-1515400000,564000000,-534100000,-1165900000,-2279600000,-1207700000,-543900000,-204600000,505300000,-760700000,-1235700000,-1231400000,-2201500000,-975400000,912400000,1897100000,832100000,-58700000,-517000000,-560000000,-2841000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-733900000,-968200000,-1379000000,-133700000,215000000,-1205300000,-1195800000,-1215500000,-1384100000,-1121900000,-651800000,-3110300000,-2364900000,-314000000,-896100000,-1735500000,-5173200000,-1148900000,-1933300000,-1426000000,-57000000,-2109100000,-2620700000,-4004100000,-4820700000,-2881000000,-1058700000,-1177200000,-1644300000,-8154400000,-3924000000,-3319000000,-5750000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4585400000,-3830300000,-3675700000,-3220800000,-5396000000,-4958500000,-5209100000,-4863200000,-5267600000,-5397000000,-6245300000,-6426000000,-7383000000,-7090000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,586000000,36900000,43600000,39000000,34800000,22700000,4200000,15900000,17800000,48000000,174500000,250800000,153600000,327600000,285700000,108900000,16500000,129100000,170000000,61000000,174500000,149500000,172100000,36000000,528700000,216900000,178000000,331000000,148000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-274700000,-419100000,-885900000,-49000000,-600000,-1300000,-1200000,-400000,-193100000,-918900000,-1299300000,-1517800000,-1677600000,-3200000,-358800000,-1667000000,-1587700000,-1531400000,-2731100000,-2770700000,-205400000,-6200000,-957900000,-1253000000,-750000000,-2538000000
93,Dividends Paid,- -,- -,- -,- -,-86200000,-140300000,-152300000,-152500000,-152900000,-171800000,-190500000,-209300000,-204300000,-212400000,-205400000,-206000000,-206500000,-208900000,-210500000,-246600000,-289700000,-348400000,-386700000,-448100000,-473400000,-483500000,-593100000,-697900000,-752900000,-786000000,-816300000,-761300000,-764000000,-805800000,-943000000,-956000000,-1040000000
94,Other Financing Activites,- -,- -,- -,- -,338200000,692600000,1012900000,-133100000,-1359200000,525800000,620200000,245000000,857500000,1762300000,-544900000,2221100000,2190400000,388000000,895300000,-479600000,4108100000,903300000,1337800000,5953700000,4760700000,3379200000,5450500000,11500800000,7474800000,8288400000,6159000000,3797800000,9925000000,8668500000,8953000000,7778000000,9442000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,252000000,552300000,860600000,-285600000,-926100000,390900000,473300000,-200000000,268900000,686700000,-795100000,2030400000,2000400000,225900000,858900000,-668500000,3053100000,-416800000,-281000000,-648500000,470300000,-1009700000,139600000,3880200000,406500000,-288300000,-2119100000,-2400500000,4286500000,876400000,509000000,-980000000,-1078000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-700000,400000,-1500000,-700000,-1600000,2800000,1400000,-1100000,-3000000,-2000000,-1800000,-3900000,-10600000,-5300000,71100000,38100000,-19400000,21800000,46000000,58300000,42200000,-24500000,11400000,-38800000,11700000,-73600000,-187300000,-13000000,157100000,26800000,-56000000,32000000,55000000
97,Net Change In Cash,- -,- -,- -,- -,252000000,552300000,860600000,-285600000,121400000,-92800000,118300000,-72200000,38500000,-20300000,-14200000,-3800000,738300000,1784900000,1569600000,-1203400000,-922900000,-570700000,591100000,-67200000,2440300000,-861100000,-143400000,1005000000,-1148200000,283000000,375200000,173600000,4999100000,-5430900000,-59000000,3216000000,953000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,338200000,245400000,363700000,291500000,330000000,309700000,295500000,291700000,1030000000,2814900000,4384500000,3181100000,2258200000,1687500000,2278600000,2211400000,4651700000,3790600000,3647200000,4652200000,3504000000,3787000000,4162200000,4335800000,9334900000,3904000000,3956000000,7172000000,8125000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,266000000,203800000,185400000,278500000,216800000,338200000,245400000,363700000,291500000,330000000,309700000,295500000,291700000,1030000000,2814900000,4384500000,3181100000,2258200000,1687500000,2278600000,2211400000,4651700000,3790600000,3647200000,4652200000,3504000000,3787000000,4162200000,4335800000,9334900000,4015000000,3956000000,7172000000
100,Free Cash Flow,- -,- -,- -,- -,239400000,105000000,315000000,72600000,627600000,490700000,577000000,1068500000,671800000,-120900000,903200000,653300000,622400000,1519600000,1226100000,798700000,704000000,207200000,1275200000,340800000,676700000,969400000,645500000,-953300000,879000000,866600000,914200000,809200000,-392500000,-1129800000,-37000000,4827000000,5146000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315189/000119312503098064/d10k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465904040625/a04-14942_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465905061732/a05-21685_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465906082456/a06-25680_110k.htm,https://www.sec.gov/Archives/edgar/data/315189/000110465907090067/0001104659-07-090067-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465908077324/0001104659-08-077324-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465909070344/0001104659-09-070344-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465910063219/0001104659-10-063219-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465911070023/0001104659-11-070023-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465912084558/0001104659-12-084558-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465913090354/0001104659-13-090354-index.html,https://www.sec.gov/Archives/edgar/data/315189/000110465914087794/0001104659-14-087794-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746915009300/0001047469-15-009300-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746916017244/0001047469-16-017244-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746917007719/0001047469-17-007719-index.html,https://www.sec.gov/Archives/edgar/data/315189/000104746918007694/0001047469-18-007694-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837019011614/0001558370-19-011614-index.html,https://www.sec.gov/Archives/edgar/data/315189/000155837020014436/0001558370-20-014436-index.htm,https://www.sec.gov/Archives/edgar/data/315189/000155837021016864/0001558370-21-016864-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
