,https://roic.ai/company/GLW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,11300000,-1300000,-17000000,-86900000,- -,-41600000,18500000,14900000,-4000000,36000000,-48000000,-511000000,-432000000,-263000000,947000000,425000000,-101000000,-98000000,-2594000000,-218000000,68000000,115000000,68000000,189000000,612000000,54000000,-308000000,1796000000,-38000000,-191000000,-20000000,35000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,127000000,92000000,86000000,70000000,54000000,58000000,46000000,42000000,- -,- -,56000000,207000000,190000000
77,Change in Working Capital,- -,- -,- -,- -,30500000,- -,- -,- -,- -,- -,17200000,-58000000,-204300000,-171300000,58900000,2390500000,-572000000,32000000,-1004000000,-196000000,699000000,835000000,303000000,-215000000,1415000000,2891000000,-293000000,1159000000,-594000000,769000000,-2459000000,842000000,-679000000,-1895000000,219000000,295000000,-1384000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000000,-201000000,-162000000,-84000000,-272000000,-29000000,-16000000,162000000,-106000000,-225000000,-154000000,48000000,-274000000,-54000000
79,Inventory,- -,- -,- -,- -,-1900000,-40400000,-3700000,-29000000,5500000,- -,-47500000,-71300000,-71900000,-7300000,-80100000,-280000000,-51000000,135000000,108000000,-68000000,-62000000,-65000000,5000000,-136000000,238000000,-160000000,-201000000,-23000000,-247000000,2000000,-77000000,-68000000,-170000000,-346000000,-298000000,423000000,-103000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,189000000,-23000000,-3000000,-146000000,243000000,169000000,358000000,36000000,57000000,704000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669200000,611200000,406900000,235600000,294500000,2685000000,2113000000,2145000000,1141000000,945000000,1644000000,2479000000,2782000000,2567000000,3982000000,6873000000,6580000000,7739000000,7145000000,7914000000,5455000000,6297000000,5618000000,3723000000,3942000000,4237000000,2853000000
82,Other Non-Cash Items,- -,- -,- -,- -,-91700000,-261000000,-70200000,276500000,411300000,- -,396400000,-27200000,132800000,-51100000,-181600000,-1864500000,6937000000,777000000,1106000000,1900000000,-282000000,-1377000000,-885000000,-1133000000,-2047000000,-3628000000,-481000000,-816000000,175000000,-402000000,2645000000,-2945000000,226000000,2493000000,-516000000,-334000000,1184000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,369500000,250600000,471000000,495100000,589600000,- -,698600000,397000000,704800000,465600000,775700000,1421000000,1436000000,-264000000,133000000,1009000000,1939000000,1803000000,2077000000,2128000000,2077000000,3835000000,3189000000,3206000000,2787000000,4709000000,2809000000,2521000000,2004000000,2919000000,2031000000,2180000000,3412000000
84,CAPEX,- -,- -,- -,- -,-317900000,-261400000,-313000000,-377400000,-443100000,- -,-495300000,-597800000,-774800000,-757100000,-920700000,-1525000000,-1800000000,-357000000,-366000000,-857000000,-1553000000,-1182000000,-1267000000,-1921000000,-890000000,-1007000000,-2432000000,-1801000000,-1019000000,-1076000000,-1250000000,-1130000000,-1804000000,-2310000000,-1987000000,-1377000000,-1637000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5009000000,-66000000,-56000000,-6000000,- -,- -,-16000000,-4000000,-15000000,-410000000,-63000000,-215000000,-2993000000,-1474000000,-1332000000,-1689000000,-353000000,-157000000,-646000000,- -,4000000,187000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1433000000,-2325000000,-1594000000,-1685000000,-1668000000,-2971000000,-2152000000,-1865000000,-1372000000,-2768000000,-2582000000,-111000000,-526000000,-109000000,-33000000,-24000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,853000000,2830000000,1814000000,1401000000,1452000000,1976000000,2862000000,2083000000,1281000000,2061000000,3171000000,2269000000,2113000000,1528000000,2282000000,5140000000,299000000,108000000,66000000,12000000,67000000
88,Other Investing Activites,- -,- -,- -,- -,133700000,61000000,-46600000,-41200000,-461100000,- -,-47900000,677800000,32500000,631400000,11900000,-15000000,71000000,877000000,74000000,149000000,57000000,12000000,- -,-1902000000,-869000000,-999000000,-2430000000,-1793000000,-1117000000,-1049000000,-1245000000,-1101000000,-1852000000,-2281000000,-1948000000,-1326000000,-1673000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-184200000,-200400000,-359600000,-418600000,-904200000,- -,-543200000,80000000,-742300000,-125700000,-908800000,-6549000000,-2375000000,969000000,-78000000,-992000000,-1712000000,-2181000000,-561000000,-1699000000,-1370000000,-1769000000,-2056000000,-2628000000,-1004000000,-962000000,-685000000,3662000000,-1710000000,-2887000000,-1891000000,-1310000000,-1419000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,-96000000,-373000000,-32000000,-307000000,-576000000,-58000000,-18000000,-573000000,-259000000,-629000000,-300000000,-221000000,-860000000
91,Common Stock Issued,- -,- -,- -,- -,41900000,8700000,22400000,15600000,14200000,- -,24300000,43400000,37200000,22400000,89500000,4744000000,247000000,609000000,667000000,91000000,567000000,329000000,130000000,23000000,20000000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-67100000,-162800000,-67600000,-100800000,-58600000,- -,-33100000,-83900000,-50100000,-59700000,-66000000,- -,-42000000,-31000000,- -,- -,- -,- -,-250000000,-625000000,- -,- -,-780000000,-720000000,-1516000000,-2483000000,-3228000000,-4227000000,-2452000000,-2227000000,-940000000,-105000000,-781000000
93,Dividends Paid,- -,- -,- -,- -,-92800000,-108400000,-95000000,-178900000,-136200000,- -,-167200000,-167200000,-167800000,-168300000,-176900000,-212000000,-113000000,-88000000,-19000000,-7000000,- -,- -,-159000000,-313000000,-312000000,-313000000,-354000000,-472000000,-566000000,-591000000,-679000000,-645000000,-651000000,-685000000,-742000000,-787000000,-871000000
94,Other Financing Activites,- -,- -,- -,- -,133000000,-14100000,105900000,118000000,519500000,- -,73000000,-231500000,93200000,-191000000,497900000,2116000000,812000000,-804000000,-1356000000,181000000,-420000000,-149000000,-260000000,141000000,373000000,669000000,186000000,1384000000,595000000,546000000,1322000000,139000000,1738000000,1546000000,1935000000,384000000,60000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,15000000,-276600000,-34300000,-146100000,338900000,- -,-103000000,-439200000,-87500000,-396600000,344500000,6648000000,904000000,-314000000,-708000000,265000000,147000000,180000000,-539000000,-798000000,-15000000,-2000000,-980000000,-115000000,-2063000000,-2586000000,-2603000000,-5306000000,-1624000000,-1995000000,-47000000,-729000000,-2452000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-4000000,6600000,-2500000,-4900000,3400000,- -,1200000,-2200000,3100000,5100000,-3400000,-7000000,-7000000,43000000,60000000,39000000,-41000000,13000000,82000000,26000000,-24000000,-7000000,-90000000,-136000000,-4000000,-556000000,-330000000,-86000000,356000000,1000000,-14000000,97000000,-65000000
97,Net Change In Cash,- -,- -,- -,- -,15000000,-276600000,-34300000,-146100000,338900000,- -,-103000000,-439200000,-87500000,-396600000,208000000,1514000000,-42000000,434000000,-593000000,321000000,333000000,-185000000,1059000000,-343000000,668000000,2057000000,63000000,327000000,-284000000,605000000,-809000000,791000000,-974000000,-1962000000,79000000,238000000,-524000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253400000,1794000000,1037000000,1471000000,833000000,1009000000,1342000000,1157000000,2216000000,1873000000,2541000000,4598000000,4661000000,4988000000,4704000000,5309000000,4500000000,5291000000,4317000000,2355000000,2434000000,2672000000,2148000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,156500000,352800000,133000000,207600000,133100000,- -,161300000,187600000,223200000,97000000,45400000,280000000,1079000000,1037000000,1426000000,688000000,1009000000,1342000000,1157000000,2216000000,1873000000,2541000000,4598000000,4661000000,4988000000,4704000000,5309000000,4500000000,5291000000,4317000000,2355000000,2434000000,2672000000
100,Free Cash Flow,- -,- -,- -,- -,51600000,-10800000,158000000,117700000,146500000,- -,203300000,-200800000,-70000000,-291500000,-145000000,-104000000,-364000000,-621000000,-233000000,152000000,386000000,621000000,810000000,207000000,1187000000,2828000000,757000000,1405000000,1768000000,3633000000,1559000000,1391000000,200000000,609000000,44000000,803000000,1775000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/24741/000002474196000017/0000024741-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014697000367/0000950146-97-000367-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014698000390/0000950146-98-000390-index.html,https://www.sec.gov/Archives/edgar/data/24741/000095014699000306/0000950146-99-000306-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000002474102000014/0000024741-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/24741/000120677407000512/corning_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312508031868/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312509035649/0001193125-09-035649-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312510027165/0001193125-10-027165-index.html,https://www.sec.gov/Archives/edgar/data/24741/000119312511030621/d10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000119312512056163/0001193125-12-056163-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817913000024/0001308179-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/24741/000130817914000032/lglw2013_10k.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474115000015/form10k2014.htm,https://www.sec.gov/Archives/edgar/data/24741/000002474116000077/0000024741-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474117000011/0000024741-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474118000010/0000024741-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474119000016/0000024741-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/24741/000002474120000014/0000024741-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/24741/000156276221000023/0001562762-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/24741/000143774922003247/0001437749-22-003247-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
