,https://roic.ai/company/MMSI,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-35453000,-155386000,-123801000,-165477000,-169392000,-169272000,-102098000,-243214000,-522608000,-202159000,-157000000,-108500000
91,Common Stock Issued,- -,- -,3000000,4800000,700000,700000,500000,1000000,1800000,600000,- -,1223379,3915780,1623224,2694816,1693000,3697000,3539000,1860000,6206000,2560000,1708000,95454000,3755000,3729000,8146000,6668000,5271000,143810000,214993000,6252000,6635000,21306000
92,Common Stock Repurchased,- -,- -,-100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,-37084,- -,- -,- -,- -,- -,-5407000,- -,-2728000,- -,-1080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-100000,900000,2200000,2100000,-200000,-1700000,1500000,16400000,-4091172,-18873633,-5780470,503386,106000,653000,1659000,694000,2044000,19987000,109868000,107707000,328334000,176516000,144278000,152369000,217922000,195921000,635895000,229440000,54659000,-11241000
95,Cash Used/Provided by Financing Activities,- -,- -,2900000,4700000,1500000,2900000,2600000,800000,100000,2100000,16400000,-2867793,-14994937,-4157246,3198202,1799000,4350000,5198000,-2853000,8250000,7819000,76123000,46695000,208288000,14768000,-16968000,-10235000,121095000,96517000,328280000,33533000,-95706000,-98435000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-500000,200000,-600000,-160279,-41334,193188,183470,158000,-61000,76000,231000,214000,6000,-455000,-297000,-61000,208000,-258000,-382000,-593000,682000,-970000,96000,1684000,-801000
97,Net Change In Cash,- -,- -,2900000,4700000,1500000,2900000,2600000,800000,100000,2100000,-200000,-256327,-70694,9341888,20520505,2833000,-28392000,5193000,7736000,16456000,-27897000,-2398000,6393000,-409000,-2260000,-104000,-3178000,14994000,13165000,35023000,-23039000,12596000,10834000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,412384,341690,9683578,30204083,33037000,4645000,9838000,17574000,34030000,6133000,3735000,10128000,9719000,7459000,7355000,4177000,19171000,32336000,67359000,44320000,56916000,67750000
99,Cash at the Beginning of Period,- -,- -,600000,500000,1600000,900000,200000,300000,1300000,1000000,900000,668711,412384,341690,9683578,30204000,33037000,4645000,9838000,17574000,34030000,6133000,3735000,10128000,9719000,7459000,7355000,4177000,19171000,32336000,67359000,44320000,56916000
100,Free Cash Flow,- -,- -,-2300000,-2800000,-200000,-3100000,-4300000,700000,600000,-2500000,-16000000,2437490,14276696,13400838,16671720,2101000,-29647000,4108000,15381000,13059000,10401000,10029000,-27257000,-19165000,-9749000,17430000,16543000,18545000,21527000,20197000,-3684000,115994000,119292000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000093173101500036/0000931731-01-500036-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/856982/000110465905011178/0001104659-05-011178-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465906016506/0001104659-06-016506-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465907019611/0001104659-07-019611-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465908017106/0001104659-08-017106-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465909014223/0001104659-09-014223-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465910013524/0001104659-10-013524-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000110465911014389/0001104659-11-014389-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698212000012/0000856982-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698213000009/0000856982-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698214000011/0000856982-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698215000005/0000856982-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698216000076/0000856982-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698217000011/0000856982-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698218000007/0000856982-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698219000016/0000856982-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698220000011/0000856982-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698221000003/0000856982-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/856982/000085698222000013/0000856982-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
