,https://roic.ai/company/BF-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-20000000,-7000000,- -,-407700000,- -,- -,- -,-17000000,-25000000,- -,-3000000,-13000000,-561000000,- -,-3000000,-3000000,- -,-223000000,-41000000,-158000000,-136000000,-220000000,- -,-49000000,-462000000,-1107000000,-561000000,-1000000,-207000000,-1000000,- -
93,Dividends Paid,- -,- -,- -,-43000000,-53100000,-60500000,-65000000,-71600000,-73800000,-67400000,-71000000,-73000000,-76000000,-79000000,-83000000,-87000000,-94000000,-99000000,-97000000,-111000000,-128000000,-143000000,-362000000,-169000000,-174000000,-326000000,-192000000,-1063000000,-233000000,-256000000,-266000000,-274000000,-773000000,-310000000,-325000000,-338000000
94,Other Financing Activites,- -,- -,- -,-50700000,-25800000,-800000,-4400000,-49000000,197300000,-55800000,-37000000,-43000000,-61000000,101000000,-30000000,-23000000,-37000000,592000000,-162000000,-50000000,-48000000,603000000,-162000000,247000000,-3000000,247000000,-2000000,740000000,-4000000,187000000,563000000,702000000,558000000,-82000000,135000000,369000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-93700000,-78900000,-81300000,-76400000,-120600000,-284200000,-123200000,-108000000,-116000000,-154000000,-3000000,-113000000,-113000000,-144000000,-61000000,-247000000,-153000000,-160000000,487000000,-736000000,-216000000,-637000000,-406000000,-662000000,-576000000,-288000000,-531000000,-1060000000,-285000000,-466000000,-599000000,-191000000,-485000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,10000000,-17000000,19000000,11000000,-15000000,2000000,-1000000,-19000000,-4000000,-13000000,19000000,-14000000,-24000000,45000000
97,Net Change In Cash,- -,- -,- -,-93700000,-78900000,-81300000,-76400000,-120600000,-44400000,31900000,-8000000,4000000,20000000,93000000,9000000,-94000000,30000000,-44000000,-4000000,227000000,180000000,-192000000,-164000000,221000000,-108000000,335000000,-229000000,-134000000,233000000,-67000000,-107000000,-81000000,57000000,68000000,368000000,475000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,30500000,62400000,54000000,58000000,78000000,171000000,180000000,86000000,116000000,72000000,68000000,295000000,475000000,283000000,119000000,340000000,232000000,567000000,338000000,204000000,437000000,370000000,263000000,182000000,239000000,307000000,675000000,1150000000
99,Cash at the Beginning of Period,- -,- -,- -,49100000,95600000,105800000,93700000,50000000,74900000,30500000,62000000,54000000,58000000,78000000,171000000,180000000,86000000,116000000,72000000,68000000,295000000,475000000,283000000,119000000,340000000,232000000,567000000,338000000,204000000,437000000,370000000,263000000,182000000,239000000,307000000,675000000
100,Free Cash Flow,- -,- -,- -,100200000,75300000,82900000,104100000,159300000,193500000,146200000,112000000,128000000,176000000,113000000,163000000,135000000,179000000,116000000,250000000,347000000,291000000,263000000,468000000,437000000,508000000,484000000,448000000,440000000,520000000,483000000,414000000,524000000,504000000,679000000,605000000,752000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14693/000001469321000091/0000014693-21-000091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
