,https://roic.ai/company/TECH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,100000,300000,200000,- -,200000,600000,600000,900000,1100000,6470910,814892,332173,2442471,4088000,8012000,12550000,2740000,3077000,953000,3261000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,- -,-200000,- -,- -,-600000,-700000,-3200000,-300000,-3900000,- -,-1163768,-745615,-22512572,- -,-103934000,-27273000,-1222000,-60192000,-92310000,-15580000,-2234000,-24505000,-2394000,- -,- -,- -,- -,- -,-15405000,-50112000,-43178000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28194000,-38388000,-39691000,-41018000,-43463000,-45394000,-47106000,-47607000,-47325000,-47973000,-48364000,-48902000,-49622000
94,Other Financing Activites,- -,-200000,-300000,-500000,-100000,- -,- -,- -,- -,- -,- -,19759364,-824315,-884760,-964467,-1229000,-1241000,6800000,-12893000,524000,107000,196000,5637000,898000,1180000,8588000,173346000,83024000,353211000,8285000,611653000,103712000,301749000
95,Cash Used/Provided by Financing Activities,- -,-400000,-200000,-400000,100000,- -,-400000,-100000,-2600000,600000,-2800000,26230274,-1173191,-1298202,-21034568,2859000,-97163000,-7923000,-11375000,-56591000,-119444000,-50511000,-36288000,-64625000,-44677000,-36806000,31276000,-23083000,189386000,-99188000,134384000,-183802000,-62551000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,-300000,-338488,-635990,1157293,1632939,2925000,-1402000,2341000,6640000,291000,-19207000,-12935000,6753000,-1391000,-570000,5138000,-8178000,-3512000,495000,-2089000,-308000,-2771000,6369000
97,Net Change In Cash,- -,-400000,-200000,-400000,100000,- -,- -,- -,- -,- -,-13300000,4586640,3911683,5124689,12978582,11830000,29143000,9290000,45851000,31507000,-6052000,-66801000,-16526000,39062000,47111000,154782000,-264036000,9705000,27375000,30378000,-21104000,45739000,52466000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,17356108,21267791,26392480,39371062,51201000,80344000,89634000,135485000,166992000,160940000,94139000,77613000,116675000,163786000,318568000,54532000,64237000,91612000,121990000,100886000,146625000,199091000
99,Cash at the Beginning of Period,- -,1000000,1300000,2000000,4500000,4000000,5900000,5300000,7400000,8600000,26100000,12769468,17356108,21267791,26392480,39371000,51201000,80344000,89634000,135485000,166992000,160940000,94139000,77613000,116675000,163786000,318568000,54532000,64237000,91612000,121990000,100886000,146625000
100,Free Cash Flow,- -,700000,900000,3300000,1900000,5000000,6000000,3400000,8300000,17300000,-2200000,8371541,39556758,5390965,38895139,61843000,63023000,80986000,82427000,98952000,104765000,106616000,123564000,120729000,101108000,122941000,119454000,126972000,128269000,149433000,156208000,153473000,307863000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202395000006/0000842023-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202396000003/0000842023-96-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202300000004/0000842023-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202301500014/0000842023-01-500014-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842023/000084202307000029/0000842023-07-000029-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202308000024/0000842023-08-000024-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202309000032/0000842023-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/842023/000084202310000031/0000842023-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312511235045/0001193125-11-235045-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312512373084/0001193125-12-373084-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312513351961/0001193125-13-351961-index.html,https://www.sec.gov/Archives/edgar/data/842023/000119312514327566/0001193125-14-327566-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774915016645/0001437749-15-016645-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774916038182/tech20160630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774917015711/0001437749-17-015711-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774918016190/0001437749-18-016190-index.html,https://www.sec.gov/Archives/edgar/data/842023/000143774919017565/tech20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774920018754/0001437749-20-018754-index.htm,https://www.sec.gov/Archives/edgar/data/842023/000143774921020980/0001437749-21-020980-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
