,https://roic.ai/company/UG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31180,94251,35975,145847,35063,19905,14040,14157,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3762500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-300000,-300000,-391131,-486114,-487044,-488114,-1970121,-2120812,-2321925,-2422755,-2720542,-2770006,-4583617,-3677151,-6251158,-4458544,-3677151,-4589464,-3436867,-6507249,-4816239,-5049922,-3582431,-5190033
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-300000,-400000,-100000,-400000,-200000,-400000,-600000,- -,- -,-10192,-6036,- -,- -,- -,- -,-1332,5287,-7988,- -,- -,- -,- -,- -,- -,120848,- -,- -,- -,- -,- -,-99107
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-300000,-400000,-100000,-400000,-200000,-400000,-800000,-300000,-300000,-370143,-397899,-451069,-342267,-1935058,-2100907,-2309217,-2403311,-2728530,-2776663,-8346117,-3677151,-6251158,-4458544,-3677151,-4468616,-3436867,-6507249,-4816239,-5049922,-3582431,-5190033
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-300000,-400000,-100000,-400000,- -,- -,- -,- -,700000,212256,-626955,1584742,-474570,1025916,-310352,-398107,1527901,-1129850,1595535,-3506484,-423615,657408,-114120,389121,-942894,-656188,300420,-174586,498176,-456867,-60231
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2226812,1599857,3184599,2710029,3735945,3425593,3027486,4555388,3425538,5021073,1514589,1090974,1748382,1634262,2023383,1080489,424301,724721,550135,1048311,591444,531213
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,300000,300000,400000,700000,500000,300000,800000,800000,1300000,2014556,2226812,1599857,3184599,2710029,3735945,3425593,3027487,4555388,3425538,5021073,1514589,1090974,1748382,1634262,2023383,1080489,424301,724721,550135,1048311,591444
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,200000,200000,300000,100000,- -,900000,1200000,900000,1700000,2281903,2088517,1812417,2513778,1974205,3015410,1982385,3854652,3234920,4182117,3638764,4162484,5128391,5516719,4426162,5137399,2123755,3954138,4875419,4362342,3550845,5196902
101,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101295/000010129508000003/0000101295-08-000003-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184309000269/0001171843-09-000269-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184310000469/0001171843-10-000469-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184311000851/0001171843-11-000851-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184312001021/0001171843-12-001021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184313001097/0001171843-13-001097-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184314001385/0001171843-14-001385-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184315001673/0001171843-15-001673-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184316008781/0001171843-16-008781-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184317001709/0001171843-17-001709-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184318002183/0001171843-18-002183-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184319001878/0001171843-19-001878-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184320002021/0001171843-20-002021-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184321001963/0001171843-21-001963-index.htm,https://www.sec.gov/Archives/edgar/data/101295/000117184322002061/0001171843-22-002061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
