,https://roic.ai/company/FRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5866000,9646000,16533000,17650000,29011000,- -,- -,- -,- -,- -,1056000,1660000,2507000,243880000,435508000,535778000,519538000,213464000,170585000,516016000,775000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10237000,-10618000,-2812000,- -,- -,- -,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-349525000,-350000000,-190000000,-100000000,-150000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3679000,-12180000,-17875000,-22313000,-20500000,- -,-204532000,- -,- -,-58170000,-88485000,-130031000,-143364000,-163540000,-165589000,-175568000,-177159000,-197494000,-254000000
94,Other Financing Activites,- -,- -,- -,- -,- -,181500000,218700000,288400000,166100000,286500000,190200000,235200000,245700000,510100000,600247000,15068000,553146000,592914000,1110360000,1323101000,2395549000,1189291000,2928300000,3915700000,4865138000,4420335000,5371431000,6494072000,7342789000,5951264000,10985965000,14036180000,15132804000,13677057000,19131213000,31400230000,43475000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,181500000,218700000,288400000,166100000,286500000,190200000,235200000,245700000,510100000,600247000,15068000,511771000,591927000,1113935000,1328571000,2406685000,1166978000,2910100000,3915700000,1791181000,3913688000,4864093000,5955219000,7243493000,5679821000,9996713000,13454748000,13661255000,10464953000,14984639000,24718752000,35791000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,181500000,218700000,288400000,166100000,286500000,190200000,235200000,245700000,510100000,13788000,-698000,47963000,-18644000,-11403000,8177000,53775000,123434000,-71000000,-24600000,8981000,1349522000,-897295000,-28516000,205621000,9265000,313960000,976612000,189299000,514138000,-1111602000,3395197000,7852000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62592000,61894000,109857000,91213000,79810000,87987000,141762000,265196000,-71000000,-24600000,178553000,1963991000,630780000,602264000,807885000,817150000,1131110000,2107722000,2297021000,2811159000,1699557000,5094754000,12947000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,37800000,22000000,14200000,98300000,38800000,32400000,30900000,29300000,89100000,48804000,62592000,61894000,109857000,91213000,79810000,87987000,141762000,- -,- -,169572000,614469000,1528075000,630780000,602264000,807885000,817150000,1131110000,2107722000,2297021000,2811159000,1699557000,5095000000
100,Free Cash Flow,- -,- -,- -,- -,- -,2800000,-10000000,29900000,-9500000,10100000,15700000,19400000,500000,-5500000,19156000,-9775000,-157706000,58701000,-19761000,369693000,283605000,357551000,993300000,185500000,23796000,169369000,18321000,384439000,501641000,474138000,538345000,765737000,845432000,977329000,770570000,382595000,1006000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420239/000107878212000884/0001078782-12-000884-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
