,https://roic.ai/company/EA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-36800000,-14200000,-11700000,-62100000,-38300000,- -,-13860000,-2479000,-190342000,-1049765000,-2511061000,-2532000000,-757000000,-1523000000,-2014000000,-695000000,-611000000,-514000000,-468000000,-414000000,-600000000,-1102000000,-1332000000,-1917000000,-2287000000,-1342000000,-3359000000,-2828000000
87,Sales/Maturities of Investments,200000,- -,- -,- -,- -,5700000,5300000,21200000,36900000,95900000,8598000,46907000,- -,664311000,2884774000,1000000000,1433000000,1315000000,2306000000,891000000,727000000,574000000,526000000,531000000,401000000,727000000,941000000,1281000000,3166000000,1688000000,2142000000,3686000000
88,Other Investing Activites,200000,- -,- -,100000,100000,-1600000,-11000000,-11200000,-2900000,2800000,5187000,5796000,1307000,-6336000,6875000,13000000,- -,2000000,-30000000,-115000000,-172000000,-59000000,-71000000,-106000000,-97000000,-95000000,-93000000,-123000000,-107000000,-119000000,-140000000,-124000000
89,Cash Used for Investing Activites,-400000,-1600000,-3200000,-17700000,-50700000,-28000000,-74200000,-88300000,-49500000,-151600000,-179555000,-112694000,-240553000,-463766000,287962000,-1726000000,-108000000,-487000000,-429000000,23000000,-572000000,-15000000,-689000000,32000000,-301000000,-470000000,-484000000,-759000000,622000000,169000000,-1357000000,-505000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000000,- -,- -,- -,-470000000,-163000000,- -,- -,- -,-600000000
91,Common Stock Issued,10800000,1800000,2900000,5400000,9900000,7200000,21700000,20200000,37700000,36200000,105589000,102628000,98840000,132872000,227819000,241000000,206000000,168000000,192000000,89000000,39000000,34000000,57000000,34000000,77000000,60000000,107000000,72000000,78000000,61000000,62000000,86000000
92,Common Stock Repurchased,-700000,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,- -,- -,-11922000,- -,-225000,-41000000,-709000000,- -,- -,- -,- -,-58000000,-471000000,-349000000,- -,-337000000,-1018000000,-508000000,-601000000,-1192000000,-1207000000,-729000000
93,Dividends Paid,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2587000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98000000
94,Other Financing Activites,-500000,- -,4500000,12600000,7300000,4300000,9100000,7200000,8100000,2100000,32563000,- -,- -,- -,128000,- -,- -,22000000,51000000,2000000,14000000,1000000,661000000,-30000000,12000000,22000000,1075000000,65000000,-120000000,-122000000,-213000000,1326000000
95,Cash Used/Provided by Financing Activities,9600000,1800000,7400000,17600000,17200000,11500000,30800000,27400000,45800000,29300000,138152000,102628000,86918000,132872000,225135000,200000000,-503000000,190000000,243000000,91000000,53000000,-23000000,140000000,-345000000,89000000,-255000000,-306000000,-534000000,-643000000,-1253000000,-1358000000,-15000000
96,Effect of Forex Changes on Cash,-200000,300000,-300000,-3500000,- -,2300000,-1400000,200000,-1300000,-2200000,124000,-10326000,1678000,13612000,17508000,12000000,-13000000,29000000,30000000,-58000000,19000000,24000000,-14000000,-12000000,-10000000,-56000000,-8000000,-18000000,22000000,-13000000,-22000000,78000000
97,Net Change In Cash,9600000,1800000,7400000,17600000,7400000,49500000,30800000,27400000,45800000,29300000,4057000,173547000,133014000,397169000,1199890000,-880000000,-28000000,129000000,182000000,68000000,-348000000,306000000,-286000000,-1000000,490000000,286000000,425000000,72000000,1693000000,450000000,-940000000,1492000000
98,Cash at the End of Period,- -,- -,- -,- -,93900000,143400000,- -,- -,- -,- -,246265000,419812000,552826000,994995000,2149885000,1270000000,1242000000,1371000000,1553000000,1621000000,1273000000,1579000000,1293000000,1292000000,1782000000,2068000000,2493000000,2565000000,4258000000,4708000000,3768000000,5260000000
99,Cash at the Beginning of Period,3100000,22000000,26900000,59100000,86500000,93900000,143400000,105600000,300600000,216000000,242208000,246265000,419812000,597826000,949995000,2150000000,1270000000,1242000000,1371000000,1553000000,1621000000,1273000000,1579000000,1293000000,1292000000,1782000000,2068000000,2493000000,2565000000,4258000000,4708000000,3768000000
100,Free Cash Flow,9200000,3600000,22800000,24900000,26800000,45900000,-49900000,44400000,33800000,-99500000,-89548000,73592000,233453000,655343000,579690000,508000000,473000000,219000000,254000000,-103000000,-153000000,261000000,105000000,218000000,615000000,972000000,1130000000,1260000000,1585000000,1428000000,1657000000,1810000000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712515/000091205796013563/0000912057-96-013563-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287097001195/0001012870-97-001195-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000598000571/0000950005-98-000571-index.html,- -,https://www.sec.gov/Archives/edgar/data/712515/000095000500000777/0000950005-00-000777-index.html,https://www.sec.gov/Archives/edgar/data/712515/000095000501500255/0000950005-01-500255-index.html,https://www.sec.gov/Archives/edgar/data/712515/000101287002002877/0001012870-02-002877-index.html,https://www.sec.gov/Archives/edgar/data/712515/000089161803002939/0000891618-03-002939-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161804001046/0000891618-04-001046-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000089161805000406/0000891618-05-000406-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013406011401/0000950134-06-011401-index.htm,- -,https://www.sec.gov/Archives/edgar/data/712515/000089161808000290/0000891618-08-000290-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312509116895/0001193125-09-116895-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000095013010001579/0000950130-10-001579-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312511149262/0001193125-11-149262-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000119312512249324/0001193125-12-249324-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251513000022/0000712515-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251514000024/0000712515-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251515000033/0000712515-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251516000111/0000712515-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251517000035/0000712515-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251518000024/0000712515-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251519000019/0000712515-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251520000019/0000712515-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251521000064/0000712515-21-000064-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
