,https://roic.ai/company/RIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,518318925,470174268,806165316,967746979,1446319303,1262115971,2715753653,2695441613,2612468293,2659531605,2450000000,2720000000,1458099900,2882997805,6934998942,6298998711,6868000391,13657002496,9212000000,18277000000,20030000000,9368000000,15078000000,14286000000,9383000000,8465000000,13884000000,11821000000,14912000000,15875000000,25345000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-653044422,-430740297,-522158452,-983381017,-1631744854,-1938555331,-2856550453,-2054721886,-1488741911,-1423474131,-1430000000,-1433000000,-1402774200,-2446000942,-2816000357,-3991997523,-5000002180,-8574003103,-5388000000,-4591000000,-12335000000,-17458000000,-13001000000,-8162000000,-4685000000,-3012000000,-4482000000,-5430000000,-5488000000,-6189000000,-7384000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000000,-279000000,-37526000000,2563000000,2028000000,-303000000,-5748000000,-1085000000,1900000000,887000000,-41000000,761000000,2675000000,7728000000,-80000000,- -,4000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000000,-323000000,- -,-29999422,-231000164,-167000261,-272999015,-288000333,-44000000,-145000000,-146000000,-50000000,-75000000,-24000000,-49000000,-789000000,-723000000,-1572000000,-43000000,-5000000,-45000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111255331,89050245,37906831,- -,- -,- -,- -,- -,83880900,260999224,132999834,293000929,48999926,171000198,253000000,227000000,104000000,693000000,224000000,172000000,65000000,582000000,40000000,19000000,83000000,63000000,114000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,33681374,68251103,-229276374,379907134,-258050559,231188136,1194065166,577200100,657027954,147255945,-119000000,-130000000,-217733400,85999374,110001143,55999206,8000685,-52999737,-206000000,3101000000,-692000000,-1610000000,94000000,741000000,99000000,12000000,-18000000,-1000000,11000000,-425000000,152000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6556000000,-7159000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-538901987,-265420958,-2073841785,-226693557,-1055380431,-2003630510,-2282532732,-2109956345,-3488505565,-8966994563,- -,-409201901,-201671100,-2040999079,-806999611,-1102000290,-1017000435,-12666999893,-22195000000,-11307000000,-496000000,-681000000,-1832000000,-3476000000,-3518000000,-9361000000,-2795000000,-2300000000,-203000000,-721000000,-1707000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,91688185,1516691,7396012,18760846,10816491,15412542,13538154,8285169,13036269,4462301,7000000,37000000,32124600,33000524,104000737,31000507,36999903,23000189,14877000000,92000000,48000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618625944,-28679792,-49085315,- -,- -,- -,- -,-877000339,-2369999558,-1648000468,- -,- -,- -,-5504000000,-1471000000,- -,- -,-2028000000,- -,-2083000000,-5386000000,-1552000000,-208000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-803000000,-948000000,-833000000,-906000328,-1140999297,-2573000852,-1506999697,-1933000127,-876000000,-1754000000,-2236000000,-3038000000,-3322000000,-3710000000,-4076000000,-2725000000,-4250000000,-5356000000,-10334000000,-6132000000,-15357000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,355525617,180486251,1770605290,297046730,1492675691,2774257629,1843896548,2397175533,1254089071,12173158083,623000000,213201901,833000000,191003151,309999780,432000605,39063999593,5121001543,5731000000,2359000000,4762000000,11515000000,4220000000,1750000000,1952000000,4595000000,-13000000,91000000,-130000000,-69000000,1202000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-91688185,-83418015,-295840483,89114019,448111750,786039662,-425098029,-323121587,-2250060017,3161540507,-173000000,-1107000000,-169546500,-2722995732,-2410998730,-5581999588,34928998896,-9455998289,-2463000000,-10610000000,-3426000000,6325000000,-934000000,-5436000000,-7670000000,-7491000000,-9141000000,-12951000000,-12219000000,-7130000000,-15862000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,24325437,3033382,2958405,-39085096,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,- -,- -,- -,- -,-284000000,-139000000,-71000000,49000000,-261000000,-156000000,-159000000,-35000000,-12000000,151000000,-54000000,165000000,100000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-144081434,-25783750,528075262,512796460,23178194,63362674,222025722,190558885,-265939886,-66934520,40000000,-130000000,1662436600,85000000,2041000000,-1645000000,819000000,-507000000,3108000000,5817000000,-305000000,-2432000000,2937000000,2191000000,-3046000000,-1165000000,2358000000,342000000,-2862000000,2354000000,2424000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,379851053,282104561,803206911,1361724747,720069226,-464088776,-2277117470,-2620875093,-1572174033,-5245435237,679000000,325000000,-83000000,326000000,2367000000,722000000,1541000000,1034000000,4142000000,9959000000,9654000000,7222000000,10209000000,12400000000,9354000000,8189000000,10547000000,10889000000,8027000000,10381000000,12805000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,523932488,307888311,275131649,848928287,696891032,-527451450,-2499143192,-2811433978,-1306234146,-5178500717,639000000,455000000,-1745436600,241000000,326000000,2367000000,722000000,1541000000,1034000000,4142000000,9959000000,9654000000,7272000000,10209000000,12400000000,9354000000,8189000000,10547000000,10889000000,8027000000,10381000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-134725497,39433971,284006863,-15634038,-185425552,-676439360,-140796800,640719728,1123726382,1236057474,1020000000,1287000000,55325700,436996863,4118998585,2307001188,1867998211,5082999393,3824000000,13686000000,7695000000,-8090000000,2077000000,6124000000,4698000000,5453000000,9402000000,6391000000,9424000000,9686000000,17961000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
