,https://roic.ai/company/SWX,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128254000,-195727000,-330473000,-427043000,-238013000,-139589000,-189393000,-401627000,-339949000,-238406000,-214001000,-10951000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,44800000,18100000,12200000,67200000,15000000,15595000,17061000,18174000,21290000,58687000,64136000,72452000,35097000,35391000,18401000,11098000,7402000,1581000,1635000,405000,35396000,472000,41155000,354402000,157946000,139245000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4100000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17400000,-19600000,-21300000,-22200000,-23700000,-25200000,-25715000,-26323000,-27009000,-27685000,-28836000,-31228000,-33500000,-36271000,-38705000,-41950000,-44846000,-47929000,-53040000,-59535000,-66275000,-74248000,-83317000,-92130000,-100240000,-116127000,-125504000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158100000,49900000,-2600000,133800000,-55800000,56200000,106959000,160303000,-43867000,55296000,111698000,37814000,-18997000,-1497000,-48816000,49834000,112269000,383598000,469764000,313289000,412971000,148758000,403938000,737109000,496818000,587462000,206784000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141400000,71100000,-5800000,123800000,-12300000,46000000,96839000,151041000,-52702000,48901000,141549000,70722000,19955000,-2671000,-52130000,-101969000,-117206000,12598000,-8738000,17376000,207512000,-79487000,-80534000,346185000,512574000,415280000,209574000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000,-1407000,-194000,301000,-208000,158000,228000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,5100000,-2900000,9300000,900000,-1400000,2829000,12531000,-13094000,-2209000,-3542000,15962000,-10817000,13205000,-5592000,38916000,50781000,-94159000,3593000,15547000,-1511000,-3569000,-7931000,15556000,41739000,-35822000,33813000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000000,11200000,8300000,17600000,18500000,17100000,19955000,32486000,19392000,17183000,13641000,29603000,18786000,31991000,26399000,65315000,116096000,21937000,25530000,41077000,39566000,35997000,28066000,43622000,85361000,49539000,83352000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121300000,6100000,11200000,8300000,17600000,18500000,17126000,19955000,32486000,19392000,17183000,13641000,29603000,18786000,31991000,26399000,65315000,116096000,21937000,25530000,41077000,39566000,35997000,28066000,43622000,85361000,49539000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31700000,-68400000,-166600000,-113200000,8900000,-50900000,-97933000,-142828000,15623000,-32895000,-151197000,-56745000,-63971000,6936000,-469000,188817000,155554000,-128949000,-9388000,-18067000,-50475000,59147000,68858000,-253694000,-237058000,-437776000,626080000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692115/000119312517062419/0001193125-17-062419-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000119312518063850/0001193125-18-063850-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211519000013/0001692115-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211520000016/0001692115-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1692115/000169211521000008/0001692115-21-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
