,https://roic.ai/company/AMSWA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,44800000,58300000,61000000,73200000,61900000,46300000,36400000,21600000,21500000,62900000,40000000,23200000,15600000,41200000,54200000,60000000,48200000,55000000,63400000,68100000,45500000,29100000,36700000,50100000,51000000,58800000,46340000,54801000,66789000,61402000,69401000,78208000,2914000
82,Other Non-Cash Items,- -,- -,- -,800000,-20200000,-1500000,-28600000,16000000,22400000,17900000,35000000,1715000,-54752000,63470000,21745000,18501000,-43930000,-16894000,-3356000,12213000,-4960000,-4755000,-3806000,23967000,5002000,-16596000,-14797000,1874000,-5474000,7296000,-7311000,-15572000,-8030000,-662000,912000,-1145000
83,Cash Provided by Operating Activities,- -,- -,- -,22700000,15200000,25000000,11900000,19200000,11800000,14000000,16500000,13121000,8818000,11913000,13779000,-322000,7488000,9000000,13716000,9731000,10540000,18169000,10382000,7799000,-1876000,3066000,16281000,19128000,18311000,10024000,18291000,19780000,6754000,23930000,25982000,17756000
84,CAPEX,- -,- -,- -,-7800000,-3400000,-3900000,-2000000,-2100000,-2500000,-3000000,-2100000,-2275000,-2640000,-1647000,-2178000,-1571000,-168000,-311000,-202000,-1330000,-4071000,-2899000,-4120000,-3305000,-561000,-2867000,-3103000,-4154000,-3204000,-3775000,-3901000,-4455000,-6232000,-7213000,-3590000,-1298000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8641000,- -,- -,- -,- -,-3253000,- -,- -,- -,-1241000,-7909000,- -,-4441000,-9150000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-15500000,-35400000,-54800000,-26200000,-27600000,-7600000,- -,- -,- -,-29559000,- -,-7139000,- -,- -,- -,-104541000,-91279000,-96758000,-101880000,-29894000,-100792000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,9800000,25100000,49200000,30000000,34300000,17600000,- -,- -,- -,- -,15534000,- -,5833000,-61000,-3048000,102617000,93665000,93899000,106781000,42057000,84648000,13288000,8704000,5837000,1188000,225000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1300000,-200000,-8200000,-6300000,-10200000,-10600000,-8200000,-13600000,-9898000,-9581000,-15441000,-13076000,-5158000,15623000,-3882000,-3869000,-3519000,-63000,1213000,603000,-2284000,-2382000,-2565000,-2731000,-3418000,-2949000,-2747000,-3246000,9410000,-4804000,-5961000,-3170000,-620000
89,Cash Used for Investing Activites,- -,- -,- -,-14800000,-13900000,-17700000,-4500000,-5600000,-3100000,-11200000,-15700000,-12173000,-41780000,-1554000,-22393000,-896000,15394000,-7241000,-5995000,-11104000,-6993000,3215000,8646000,-19449000,7092000,5837000,2734000,-2966000,-4220000,-11684000,-3901000,4238000,-15382000,-7213000,-3590000,-1298000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,1600000,1200000,900000,1700000,400000,200000,100000,100000,547000,34350000,252000,4421000,440000,72000,93000,4011000,1391000,1514000,1034000,2824000,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-4000000,- -,-3200000,-400000,-7100000,-800000,-300000,-200000,- -,-2669000,-3510000,-1256000,- -,-351000,-1857000,-794000,- -,- -,- -,-983000,-1414000,-248000,-369000,- -,-759000,- -,-1100000,-181000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-3700000,-4500000,-5300000,-6200000,-7000000,-7100000,-3600000,- -,- -,- -,- -,- -,- -,- -,- -,-4132000,-6401000,-6783000,-7472000,-8637000,-9125000,-9113000,-9255000,-9487000,-15471000,-5539000,-11297000,-11478000,-12540000,-13188000,-13590000,-13938000,-14311000
94,Other Financing Activites,- -,- -,- -,-100000,-100000,-100000,100000,-2500000,- -,100000,- -,- -,- -,- -,-3208000,-2075000,-1231000,- -,- -,- -,- -,1256000,1377000,548000,-11754000,2919000,5655000,2121000,6087000,2909000,1618000,5519000,8609000,5367000,10072000,6697000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-6200000,-3400000,-7700000,-4800000,-16200000,-7700000,-3700000,-100000,547000,31681000,-3258000,-43000,-1635000,-1510000,-1764000,-915000,-5010000,-5269000,-5182000,-5419000,-9957000,-21115000,-6705000,-3832000,-14109000,548000,-9488000,-10041000,-7021000,-4579000,-8223000,-3866000,-7614000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-6200000,-3400000,-7700000,-4800000,-16200000,-7700000,-3700000,-100000,1495000,-1281000,7101000,-8657000,-2853000,21372000,-5000,6806000,-6383000,-1722000,16202000,13609000,-21607000,-15899000,2198000,15183000,2053000,14639000,-11148000,4349000,16997000,-13207000,8494000,18526000,8844000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3442000,2161000,21567000,12910000,10057000,31429000,30724000,37530000,31147000,29425000,45627000,59236000,37629000,21730000,23928000,39111000,41164000,55803000,44655000,49004000,66001000,52794000,61288000,79814000,88658000
99,Cash at the Beginning of Period,- -,- -,- -,2000000,3700000,1700000,1400000,3900000,1300000,2200000,1200000,1947000,3442000,14466000,21567000,12910000,10057000,30729000,30724000,37530000,31147000,29425000,45627000,59236000,37629000,21730000,23928000,39111000,41164000,55803000,44655000,49004000,66001000,52794000,61288000,79814000
100,Free Cash Flow,- -,- -,- -,14900000,11800000,21100000,9900000,17100000,9300000,11000000,14400000,10846000,6178000,10266000,11601000,-1893000,7320000,8689000,13514000,8401000,6469000,15270000,6262000,4494000,-2437000,199000,13178000,14974000,15107000,6249000,14390000,15325000,522000,16717000,22392000,16458000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176395000116/0000931763-95-000116-index.html,https://www.sec.gov/Archives/edgar/data/713425/000095010996004710/0000950109-96-004710-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176397001218/0000931763-97-001218-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176399002165/0000931763-99-002165-index.html,https://www.sec.gov/Archives/edgar/data/713425/000093176300001768/0000931763-00-001768-index.html,- -,https://www.sec.gov/Archives/edgar/data/713425/000093176302002541/0000931763-02-002541-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312503024760/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312504118173/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312505201867/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312506147073/d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312507155732/0001193125-07-155732-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312508150516/0001193125-08-150516-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312509148771/0001193125-09-148771-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312510158807/0001193125-10-158807-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312511188351/0001193125-11-188351-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312512300790/0001193125-12-300790-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312513289120/0001193125-13-289120-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312514267720/0001193125-14-267720-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312515250260/0001193125-15-250260-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312516648270/d165679d10k.htm,https://www.sec.gov/Archives/edgar/data/713425/000119312517228535/0001193125-17-228535-index.html,https://www.sec.gov/Archives/edgar/data/713425/000119312518217611/0001193125-18-217611-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828019008742/0001628280-19-008742-index.html,https://www.sec.gov/Archives/edgar/data/713425/000162828020010300/0001628280-20-010300-index.htm,https://www.sec.gov/Archives/edgar/data/713425/000162828021013701/0001628280-21-013701-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
