,https://roic.ai/company/TCCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-275000,661466,75817,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5294865,-1604675,-2579000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,626000,2957501,2909001,1718409,300000,350000,350000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,-3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14663,335766,14662,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2100000,1800000,-200000,-300000,-500000,-200000,-4100000,-600000,-500000,-500000,1200000,-259393,-46268,-18264,-31633,-24223,-67567,-14547,-58350,-221254,-191565,-257279,-265678,-4861580,1137408,165209,1402789,1266232,436904,306338,-16220,-3396,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,100000,- -,37633,24976,11233,685,6920,20691,8341,12054,282860,2311,803522,4720,19500,- -,- -,- -,- -,- -,- -,- -,- -,15999
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4005478,-730635,-733341,-183872,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-300000,-300000,-300000,1900000,-700000,-2400000,2200000,-2200000,-7119,- -,- -,- -,- -,- -,- -,- -,- -,- -,104113,- -,- -,- -,- -,- -,- -,- -,- -,- -,624400,1474405
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-200000,1900000,-600000,-2300000,2300000,-2200000,30514,24976,11233,685,6920,20691,8341,12054,282860,2311,-3097843,-725915,-713841,-183872,- -,- -,- -,- -,- -,- -,624400,1490404
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-200000,1900000,-600000,-2300000,2300000,1600000,782682,-1502702,-1181222,660154,1140472,-1039144,671538,751575,1000615,1795516,5615123,-1801825,-7175406,754612,399314,-585031,312525,-1305363,685831,-389039,-79543,-1215830
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,3121617,1618915,437693,1097847,2238319,1199175,1870713,2622288,3622903,5418419,11033542,9231717,2056311,2810923,3210237,2276511,2589036,1283673,1982434,1593395,1513852,298022
99,Cash at the Beginning of Period,- -,- -,- -,- -,2100000,5000000,4000000,5600000,5800000,5700000,6500000,3900000,6400000,1900000,700000,2338935,3121617,1618915,437693,1097847,2238319,1199175,1870713,2622288,3622903,5418419,11033542,9231717,2056311,2810923,2861542,2276511,2589036,1296603,1982434,1593395,1513852
100,Free Cash Flow,- -,- -,- -,- -,4800000,-2900000,1600000,500000,300000,900000,-800000,3200000,-2200000,-3500000,2400000,752168,-1527678,-1192455,659469,1133552,-1059835,663197,739521,717755,1793205,8712966,-1075910,-1792700,-414342,69313,-2013777,-984707,-1745842,335831,-389039,-703943,-2706234
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000100468395000003/0001004683-95-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000092701600004507/0000927016-00-004507-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/96699/000119312503099066/0001193125-03-099066-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312504219229/0001193125-04-219229-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312505247778/0001193125-05-247778-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312506260948/0001193125-06-260948-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231007003381/0001362310-07-003381-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000136231008008462/0001362310-08-008462-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012309071975/0000950123-09-071975-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012310115828/0000950123-10-115828-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000095012311103881/0000950123-11-103881-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312512513200/0001193125-12-513200-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312513479174/0001193125-13-479174-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312514450648/0001193125-14-450648-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000119312515407793/0001193125-15-407793-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420416141277/0001144204-16-141277-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000114420417065891/0001144204-17-065891-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319004124/0001171843-19-004124-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184319008104/0001171843-19-008104-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184320008787/0001171843-20-008787-index.htm,https://www.sec.gov/Archives/edgar/data/96699/000117184321008672/0001171843-21-008672-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
