,https://roic.ai/company/MITK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-1500000,-100000,- -,-2000000,-100000,200000,- -,-400000,700000,-200000,-216763,-131710,-491918,-185809,1115808,1101637,-50169,-33641,-397061,-72714,-9367,-10819081,2107767,570888,-13110631,-11344342,-3285000,-7777000,-8424000,-10507000,-24706000,-170488000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14916,-16914,-18892,-21101,-22000,- -,-270000,-296000,-143000,-88000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,500000,100000,4200000,- -,100000,662975,644,12269,21534,204220,1501250,47503,4636,- -,- -,345000,14595366,- -,16004797,- -,- -,- -,- -,1125000,5581000,4809000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1002000,-190000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,300000,-2700000,-3300000,-200000,-1200000,-300000,-500000,-100000,- -,- -,510000,-510000,- -,- -,2849000,-800682,- -,- -,- -,- -,1101365,258214,732287,648656,70328,246644,1755000,687000,-1284000,-902000,-261000,143958000
95,Cash Used/Provided by Financing Activities,- -,- -,300000,-2700000,-3300000,-200000,-1200000,200000,-400000,4100000,- -,100000,1172975,-509356,12269,21534,3053220,700568,47503,4636,- -,- -,1446365,14853580,717371,16636539,51436,225543,1733000,687000,-429000,4383000,3403000,143680000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-461,-45000,-76000,-34000,-406000,419000,-207000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-861476,328234,-104931,1058686,788071,-219969,-56193,-234729,-796001,-626166,630934,4350667,1046374,16592366,-15527866,-5013952,6257000,3279000,-3261000,7720000,3238000,10326000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,537113,865347,760416,1819102,2607173,2387204,2331011,2096282,1300281,674115,1305049,5655716,6702090,23294456,7766590,2752638,9010000,12289000,9028000,16748000,19986000,30312000
99,Cash at the Beginning of Period,- -,- -,- -,100000,- -,100000,200000,100000,100000,200000,1300000,1700000,1398589,537113,865347,760416,1819102,2607173,2387204,2331011,2096282,1300281,674115,1305049,5655716,6702090,23294456,7766590,2753000,9010000,12289000,9028000,16748000,19986000
100,Free Cash Flow,- -,- -,1300000,2700000,3400000,2200000,1100000,-300000,400000,-2900000,-300000,-500000,-2034451,837590,66059,1032345,-3451760,-2071106,-107846,-240409,-796001,-626236,-815431,111810,-2118479,-2112553,-2604123,6032182,7604000,9957000,1319000,13187000,23319000,35954000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000089843095002752/0000898430-95-002752-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929796000009/0000889297-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/807863/000088929797000080/0000889297-97-000080-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807863/000104746902008364/a2097132z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/807863/000114420405001154/v011113_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420405038176/v030586_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420406055064/v061491_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420407067021/v096760_10ksb.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409001643/v136816_10k.htm,https://www.sec.gov/Archives/edgar/data/807863/000114420409066595/0001144204-09-066595-index.html,https://www.sec.gov/Archives/edgar/data/807863/000114420410061498/0001144204-10-061498-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312511342502/0001193125-11-342502-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312512495286/0001193125-12-495286-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312513471705/0001193125-13-471705-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312514434645/0001193125-14-434645-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459015011292/0001564590-15-011292-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459016030084/0001564590-16-030084-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786317000080/0000807863-17-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786318000115/0000807863-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786319000080/0000807863-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786320000136/0000807863-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/807863/000080786321000098/0000807863-21-000098-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
