,https://roic.ai/company/WPP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-32354168,-59328640,-76052214,4221918,21428225,-74499608,50658696,66851628,61664064,81724692,89704805,399331,-3803543,117057600,33316053,91380800,-20717259,149949867,139835018,153112416,279200000,29900000,98500000,-16300000,-15600000,51200000,-147100000,-103700000,-9300000,-443800000,-163400000,118400000,3478500000,51700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,64504494,42328986,51243832,154662534,222234744,237721974,285582732,255920760,256996929,485116784,54820272,626412816,824629680,533660446,837306851,661194301,892179610,922700000,818800000,1361200000,665200000,908300000,1374200000,1703700000,1359900000,1773800000,1408100000,1693800000,1850500000,2054800000,2032800000
84,CAPEX,- -,- -,- -,- -,-21269916,-21098560,-23864212,-30062610,-35140788,-35678734,-114208896,-157239450,-64524159,-112019400,-118359731,-100550383,-93778160,-95556946,-171260297,-184442778,-170968484,-220600000,-253300000,-217500000,-253200000,-330100000,-284500000,-214400000,-246400000,-285100000,-326200000,-375200000,-394100000,-272700000,-293100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201962144,-240356341,-715470832,-14206911,-277639600,-169600000,-507582819,-215532872,-675465566,-1049100000,-144800000,-200100000,-469800000,-566500000,-201400000,-489100000,-669500000,-638800000,-181500000,-298800000,-161300000,-178400000,-386100000
86,Purchases of Investments,- -,- -,- -,- -,- -,-263732,-2366140,-3006261,- -,- -,-30487968,- -,- -,-40943826,-146822171,-26112951,-100569280,-21989922,- -,-28700000,-128000000,-91700000,-53300000,-23800000,-469800000,-566500000,-201400000,-489100000,-669500000,-638800000,-181500000,-298800000,-161300000,-178400000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2298006,- -,- -,- -,- -,- -,- -,- -,- -,- -,26858864,3301680,10985520,9295849,- -,15500000,9100000,11000000,50500000,23700000,- -,- -,- -,- -,- -,- -,- -,849000000,2141000000,272300000,28300000
88,Other Investing Activites,- -,- -,- -,- -,12184776,-10681146,-3244992,-14775453,-16632012,-5313854,-53958864,-122116615,-15881149,-87292687,4209215,-297849062,28962080,-17216322,6697869,35593218,127208023,68400000,-18400000,-19300000,445900000,650200000,164900000,458500000,646800000,613500000,152200000,247900000,280500000,135200000,-21200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6787134,-32043438,-29475344,-47844324,-51772800,-40992588,-198655728,-279356065,-282367452,-480612254,-949584654,-435417626,-432039440,-295067342,-672145247,-377582433,-838126027,-1258200000,-388900000,-410000000,-709800000,-773100000,-478600000,-697600000,-902500000,-916200000,-499700000,184500000,1759600000,-167600000,-642200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239300000,- -,-230500000,-595200000,-21800000,-450000000,-1057500000,-1243700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1713200000,-282700000,-397100000
91,Common Stock Issued,- -,- -,- -,- -,11917566,- -,84910624,- -,- -,3386852,2419680,183084555,11986122,78083440,684603028,24412443,18076800,17892032,20295270,70878085,34834094,10600000,4100000,42700000,28800000,56000000,42400000,25000000,27600000,27200000,6400000,1200000,600000,- -,4400000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18510552,-21266485,- -,- -,- -,-8303869,-20174000,-93658153,-152265082,-257619750,-415810097,-105300000,-9500000,-46400000,-182200000,-134500000,-197000000,-510800000,-587600000,-427400000,-504200000,-207100000,-43800000,-290200000,-818500000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-9722376,-10030980,-10394132,-13489716,-19097665,-21075547,-25627217,-44497511,-55627539,-66913280,-81663224,-100176874,-118863260,-139036853,-225300000,-252800000,-267100000,-218400000,-306600000,-397300000,-460000000,-545800000,-616500000,-751500000,-747400000,-750500000,-122000000,-314700000
94,Other Financing Activites,- -,- -,- -,- -,93470058,29999515,-139129032,-105538950,-90731832,-112466844,-126065328,-83740550,257696686,126734780,-261473718,323541274,-89484080,516771477,-26056553,371291508,902145848,1848500000,798600000,1200000,164700000,300300000,344900000,374400000,401800000,-176800000,463700000,-660500000,-415100000,444400000,-531100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,105387624,29999515,-54218408,-115261326,-100762812,-119474124,-155645916,58979855,248607262,179191002,378631799,44722309,-158494560,128842133,-853403240,43886583,-67867008,471000000,-703300000,-269600000,-207100000,-84800000,-207000000,-571400000,-704000000,-1193500000,-785600000,-1613800000,-2922000000,-250500000,-2057000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,37911475,-2704160,-11001636,4335972,-44788198,-13792176,903675,-598997,35137749,10723312,-400448,-19275200,-44579930,84980702,-50284572,119317652,120300000,-98700000,82200000,-29900000,-119300000,-164700000,-70300000,-54400000,291900000,-27200000,-61500000,-89700000,-99200000,-130100000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222637742,218833282,-505409959,235317050,214821040,322855308,-603260934,277213369,105504228,255800000,-372100000,763800000,-281600000,-68900000,523900000,364400000,-301000000,-44000000,95600000,203000000,532100000,1537500000,-796500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550750888,770821054,266284446,501150120,715071840,1038534001,679443455,956602255,1063348281,1318100000,946000000,1709800000,1428200000,1359300000,1883200000,2247600000,1946600000,1902600000,1998200000,2201200000,2733300000,4337100000,3540600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,42165738,172216996,352149236,288217278,269542140,342188840,374264004,387315105,328113146,551987773,771694405,265833070,500250800,715678692,1282704388,679388887,957844054,1062300000,1318100000,946000000,1709800000,1428200000,1359300000,1883200000,2247600000,1946600000,1902600000,1998200000,2201200000,2799600000,4337100000
100,Free Cash Flow,- -,- -,- -,- -,43234578,21230426,27379620,124599924,187093956,202043240,171373836,98681310,192472770,373097385,-63539458,525862433,730851520,438103500,666046554,476751523,721211126,702100000,565500000,1143700000,412000000,578200000,1089700000,1489300000,1113500000,1488700000,1081900000,1318600000,1456400000,1782100000,1739700000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105076/000091648004000033/0000916480-04-000033-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648005000053/0000916480-05-000053-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312506137080/0001193125-06-137080-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312507141494/0001193125-07-141494-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312508131242/0001193125-08-131242-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000091648009000070/0000916480-09-000070-index.html,https://www.sec.gov/Archives/edgar/data/105076/000091648010000027/0000916480-10-000027-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312511117310/0001193125-11-117310-index.htm,https://www.sec.gov/Archives/edgar/data/105076/000110465912014639/0001104659-12-014639-index.html,https://www.sec.gov/Archives/edgar/data/806968/000119312513185316/0001193125-13-185316-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312514170191/0001193125-14-170191-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312515159722/0001193125-15-159722-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312516566961/0001193125-16-566961-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312517146369/0001193125-17-146369-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312518141442/0001193125-18-141442-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312519121544/0001193125-19-121544-index.htm,https://www.sec.gov/Archives/edgar/data/806968/000119312520128655/0001193125-20-128655-index.htm,- -,- -
102,Forex Rate,1.8867,1.8089,1.6115,1.9335,1.8675,1.5105,1.477,1.5665,1.5508,1.713,1.6475,1.6542,1.6181,1.4959,1.4545,1.6113,1.7857,1.9186,1.7214,1.959,1.9849,1.4628,1.6157,1.5601,1.5535,1.6251,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673,1.3529
