,https://roic.ai/company/SHYF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1600000,7900000,8800000,2800000,8700000,2700000,500000,- -,- -,- -,- -,2800000,1487986,1989190,- -,- -,- -,- -,- -,- -,2500000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-1500000,200000,-700000,300000,1100000,-19500000,-400000,2100000,37374,30915,2083,6100,21724,50002,456902,19200,61008,143561,11152000,842000,75000,180000,648000,208000,25000,13000,- -,15000,- -,22000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1000000,-500000,-1700000,-3900000,-14000000,-6700000,2700000,-1600000,-15100000,-700000,100000,-1245020,-2484907,-5755946,-2145512,-7354651,-3394104,-11988927,-31163296,-16229058,-47989288,7269000,-9159000,-12393000,-846000,-2815000,-4687000,-13385000,-34230000,-14185000,-98965000,14916000,-22076000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26173421,-70150000,-102000,-2964000,-86000,-2271000,-15319000,-5058000,-15070000,-66000,-30175000,-81000000,-67400000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,7300000,12600000,1200000,400000,100000,200000,200000,100000,- -,- -,864324,7189427,1219874,3613005,926374,12808117,3626722,- -,139949,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-700000,-4300000,-2500000,-2100000,-300000,-1100000,-6120722,- -,- -,-498146,-947852,-1050235,- -,-2768869,- -,-435426,- -,-222000,- -,- -,-2000000,- -,-2000000,- -,-656000,-793000,-7503000,-3348000
93,Dividends Paid,- -,- -,- -,- -,-200000,-200000,-200000,-400000,-700000,-700000,-600000,-600000,-900000,-900000,-900000,-810745,-736265,-1837481,-2469100,-2736897,-3266878,-3646030,-4342889,-3249743,-4235891,-3301000,-3348000,-3383000,-3414000,-3427000,-3426000,-3444000,-3508000,-3516000,-3572000,-3565000,-3551000
94,Other Financing Activites,- -,- -,- -,- -,-700000,-200000,-3300000,-1900000,1800000,1700000,-500000,-500000,2700000,8000000,-1600000,1787803,-14043968,-11405079,- -,145258,1224576,27510391,41035060,-36759238,45304541,28469000,-136000,2444000,259000,1870000,14663000,-224000,32274000,4313000,91234000,14466000,38529000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-900000,-400000,3800000,9300000,2300000,700000,-5300000,-3400000,-100000,6900000,-3600000,-5143664,-13915909,-6053133,-1747372,73514,-2166163,36672478,37550024,-40008981,14599752,-44982000,-3808000,-3903000,-3241000,-5828000,-4082000,-10726000,13696000,75000,56694000,-77602000,-35770000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-900000,-400000,3800000,9300000,2300000,700000,-5300000,-3400000,-100000,6900000,-3600000,499233,3657755,3888854,10399131,-8017316,-761395,4132833,-307025,213195,4734090,-3968000,17170000,-9929000,8959000,-2137000,4131000,-660000,1482000,-6084000,-8090000,1646000,16163000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535030,4192785,8081639,18480770,10463454,9702059,13834892,13527867,13741062,18475152,14507000,31677000,21748000,30707000,28570000,32701000,32041000,33523000,27439000,19349000,20995000,37158000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,500000,200000,900000,12100000,1100000,3000000,5200000,4900000,4800000,- -,35797,535030,4192785,8081639,18480770,10463454,9702059,13834892,13527867,13741062,18475000,14507000,31677000,21748000,30707000,28570000,32701000,32041000,33523000,27439000,19349000,20995000
100,Free Cash Flow,- -,- -,- -,- -,500000,- -,-3000000,3200000,-3400000,3100000,-1700000,3300000,13500000,-13700000,1000000,5605523,17542749,9939904,12140403,-6598918,1866780,-34985737,-37876249,40161168,32309135,29876000,24882000,-6101000,9520000,3043000,8005000,10041000,16676000,-959000,24139000,49798000,51007000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000090572904000146/0000905729-04-000146-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774912002264/0001437749-12-002264-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774914004014/0001437749-14-004014-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774915004162/0001437749-15-004162-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774916027109/0001437749-16-027109-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774918003606/0001437749-18-003606-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774919004091/0001437749-19-004091-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774920005329/0001437749-20-005329-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774921007163/0001437749-21-007163-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774922004361/0001437749-22-004361-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
