,https://roic.ai/company/ARTW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,- -,10050,9150,- -,-521723,2416,22600,126489,1248633,667141,- -,-319091,-232861,- -,982436,15870,38906,1190635,84417,1141552,899713,191764,20807
89,Cash Used for Investing Activites,- -,- -,- -,- -,-500000,-400000,-500000,-500000,-1000000,-1000000,-200000,- -,-100000,-500000,-300000,10050,-49384,-142232,-739236,-560700,-1200104,-1985833,-4071757,-1225374,-379737,-3948435,-1092185,-3803163,-3342839,-617208,-253637,916546,-429197,707047,452688,-501650,-599477
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-306836,-576167,-869412,-1306958,-2258952,-1213550,-2028591,-1283897,-2587048,-7817262,-219429,-314485,-85401,-99225
91,Common Stock Issued,- -,- -,- -,- -,400000,100000,100000,200000,200000,- -,- -,100000,100000,- -,- -,- -,91705,800000,- -,- -,79283,40700,21430,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-500000,-3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6425,-21310,-19323,-30996,-30470
93,Dividends Paid,- -,- -,- -,- -,-300000,-500000,-400000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98159,-98659,-197812,-239181,-239421,-240020,-241551,-403585,-404655,- -,-202432,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,100000,- -,- -,2200000,1800000,1300000,100000,-1300000,200000,1800000,-1100000,-1456806,-987030,-2111356,953635,682631,-195534,1290712,2644612,3036451,-68603,1394240,74429,2889110,3624729,1007760,1390550,-94789,6654169,443416,-927000,1473900,1715000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-300000,-3900000,-300000,2100000,2000000,1300000,100000,-1200000,300000,1800000,-1100000,-1456806,-895325,-1311356,953635,682631,-214410,1232753,2468230,2490434,-884191,284808,-1474080,226573,2006524,-1020831,-95779,-2681837,-1169518,202677,-1260808,1357503,1585305
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,-268928,- -,70983,724694,-684051,1082237,873883,-1459920,-508751,283768,-70115,-198179,1427681,-1338659,303766,-64381,616485,-851316,-208888,-367,-461,-26
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,4375,4375,75358,800052,116001,1198238,2072121,612201,103450,387218,317103,118924,1546605,207950,511716,447335,1063716,212400,3512,3145,2684,2658
99,Cash at the Beginning of Period,- -,- -,- -,- -,1500000,2100000,1200000,500000,100000,100000,100000,100000,- -,- -,- -,273303,4375,4375,75358,800052,116001,1198238,2072121,612201,103450,387218,317103,118924,1546609,207950,511716,447231,1063716,212400,3512,3145,2684
100,Free Cash Flow,- -,- -,- -,- -,1000000,2900000,-400000,-2600000,-1900000,-1400000,-200000,1200000,-400000,-1800000,1400000,1177828,886175,1382339,292782,-1369098,2118331,652247,-2839038,-3666326,1167959,1550228,1508762,4204673,-844468,1308727,-7508,2107687,233785,-1553117,360728,-1549728,-1606138
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7623/000114420409011196/0001144204-09-011196-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000114420410009394/0001144204-10-009394-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774911001008/0001437749-11-001008-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774912001749/0001437749-12-001749-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774913001999/0001437749-13-001999-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774914002836/0001437749-14-002836-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774915001434/0001437749-15-001434-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774916024657/0001437749-16-024657-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774917001528/0001437749-17-001528-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774918001906/0001437749-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774919001882/0001437749-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774920001888/0001437749-20-001888-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774921002312/0001437749-21-002312-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774922003662/0001437749-22-003662-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
