,https://roic.ai/company/NOBH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,1500000,100000,200000,-100000,500000,200000,-100000,-400000,-200000,-100000,746125,200000,320764,- -,597024,14608,1900,- -,- -,60363,-193205,-96195,-111565,-112947,-112914,350099,1333066,662927,2058808,957647,89617,2257325
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,1500000,800000,1100000,- -,400000,- -,-300000,-600000,-1800000,-300000,-31815,-20684,-208673,-420787,-3290089,-3825730,-459361,625221,-3929942,2226538,3342521,1542926,335453,-181806,-434365,232123,1464064,298229,-4548191,-2059824,5325526,365939
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13588,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,155244,207576,412061,902306,48682,46896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,-100000,- -,- -,-100000,-200000,- -,- -,-600000,-1000000,-1679923,-1779182,-1079712,-260158,- -,-494925,-2363381,-14848,-85952,-263467,- -,- -,- -,- -,- -,-360844,-458276,-123237,-2512605,-4585861,-822450,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-401100,-807826,-1217617,-2041071,-2043572,-1018669,- -,- -,- -,- -,- -,- -,- -,-600726,-778614,-3864216,-3630970,-3632100
94,Other Financing Activites,- -,- -,- -,- -,- -,-1400000,- -,- -,-400000,-1200000,-1800000,-600000,- -,- -,400000,- -,- -,- -,-5556859,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46603,15820,38860,8490,- -,19710,- -,-4264542
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-1700000,-100000,- -,-400000,-1300000,-2000000,-500000,- -,-600000,-600000,-1679923,-1779182,-1079712,-5661773,-193524,-890690,-2678692,-2007237,-2082628,-1282136,- -,- -,- -,- -,46603,-345024,-419416,-715473,-3291219,-8430367,-4467008,-7896642
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-1700000,-100000,- -,-400000,-1300000,-2000000,-500000,- -,-600000,2100000,1854881,1176890,1476699,-1839963,3946584,-220149,-1987309,1316116,-5047266,-4654557,4230065,-2019014,1146262,3115973,3647959,2652880,7793346,3347866,454357,-5830896,7771937,5820157
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,9828122,11005012,12481711,10641748,14588332,14368183,12380874,13696990,8649724,3995167,8225232,6206218,7352480,10468453,14116412,16769292,24562638,27910504,28364861,22533965,30305902,36126059
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,400000,500000,1100000,2900000,1700000,900000,2000000,6300000,5900000,7973241,9828122,11005012,12481711,10641748,14588332,14368183,12380874,13696990,8649724,3995167,8225232,6206218,7352480,10468453,14116412,16769292,24562638,27910504,28364861,22533965,30305902
100,Free Cash Flow,- -,- -,- -,- -,- -,400000,-600000,-500000,1800000,-300000,900000,1800000,4700000,300000,2800000,2788679,2756072,2235647,3821810,7009944,3646616,689483,2413353,175112,-5677784,868270,-3572819,752827,3228920,3714270,2647805,5919696,3400412,7686768,4211882,6595204,11459474
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72205/000089706907000214/0000897069-07-000214-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706908000207/0000897069-08-000207-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706909000168/0000897069-09-000168-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312510016839/0001193125-10-016839-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312511144992/0001193125-11-144992-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513138339/0001193125-13-138339-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513284733/0001193125-13-284733-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312514023695/0001193125-14-023695-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312515023632/0001193125-15-023632-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312516441330/0001193125-16-441330-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312517021492/0001193125-17-021492-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312518020970/0001193125-18-020970-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312519023504/0001193125-19-023504-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312520020719/0001193125-20-020719-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312521022040/0001193125-21-022040-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312522028179/0001193125-22-028179-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
