,https://roic.ai/company/CSX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/0000277948-95-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/000027794899000002/0000277948-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/277948/000102140801001422/0001021408-01-001422-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664102000350/0000916641-02-000350-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664103000356/0000916641-03-000356-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014404002244/0000950144-04-002244-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014405002216/0000950144-05-002216-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014406001485/0000950144-06-001485-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000119312507032135/0001193125-07-032135-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794808000036/0000277948-08-000036-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794809000042/0000277948-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794810000013/0000277948-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000114036111010655/0001140361-11-010655-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794812000014/0000277948-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794813000008/0000277948-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794814000011/0000277948-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794815000010/0000277948-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794816000046/0000277948-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794817000009/0000277948-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794818000009/0000277948-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794819000011/0000277948-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794820000008/0000277948-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794821000014/0000277948-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794822000009/0000277948-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,429000000,364000000,-76000000,20000000,359000000,652000000,618000000,855000000,799000000,537000000,2000000,565000000,293000000,424000000,246000000,339000000,1145000000,1310000000,1336000000,1365000000,1152000000,1563000000,1822000000,1859000000,1864000000,1927000000,1968000000,1714000000,5471000000,3309000000,3331000000,2765000000,3781000000
74,Depreciation and Amortization,- -,- -,- -,- -,-447000000,-473000000,-501000000,-527000000,-572000000,577000000,600000000,620000000,688000000,630000000,621000000,600000000,622000000,649000000,643000000,730000000,833000000,867000000,890000000,918000000,908000000,947000000,976000000,1059000000,1104000000,1151000000,1208000000,1301000000,1315000000,1331000000,1349000000,1383000000,1420000000
75,Deferred Income Tax,- -,- -,- -,- -,213000000,106000000,-165000000,-72000000,181000000,176000000,-26000000,166000000,190000000,296000000,-19000000,152000000,197000000,172000000,119000000,240000000,-46000000,42000000,272000000,435000000,436000000,474000000,609000000,592000000,300000000,298000000,456000000,405000000,-3233000000,279000000,273000000,180000000,167000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,412000000,42000000,-364000000,83000000,155000000,-136000000,-216000000,371000000,153000000,-84000000,-294000000,-324000000,5000000,564000000,358000000,-23000000,-277000000,757000000,-330000000,167000000,718000000,-387000000,-70000000,-74000000,4000000,287000000,423000000,-441000000,-426000000,629000000,477000000,1295000000,173000000
78,Accounts Receivable,- -,- -,- -,- -,251000000,-83000000,-3000000,145000000,-15000000,-60000000,-82000000,-67000000,-99000000,19000000,-621000000,351000000,7000000,30000000,-361000000,-3000000,-44000000,-33000000,-50000000,74000000,92000000,2000000,-73000000,67000000,-6000000,-119000000,149000000,84000000,-70000000,-46000000,45000000,83000000,-141000000
79,Inventory,- -,- -,- -,- -,- -,- -,49000000,18000000,-10000000,-12000000,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,177000000,25000000,-55000000,37000000,64000000,197000000,84000000,39000000,55000000,301000000,-114000000,-51000000,-83000000,49000000,-2000000,54000000,51000000,- -,-3000000,-4000000,79000000,84000000,-3000000,28000000,1000000,-79000000,40000000,41000000,104000000,98000000,-20000000,128000000
81,Other Working Capital,- -,- -,- -,- -,-620000000,-578000000,-942000000,-859000000,-704000000,-840000000,-1056000000,-685000000,-532000000,-616000000,-910000000,-1234000000,-1229000000,-665000000,-307000000,-330000000,-607000000,150000000,-180000000,-13000000,705000000,318000000,248000000,174000000,178000000,465000000,888000000,447000000,21000000,650000000,1127000000,2422000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,400000000,850000000,1972000000,1435000000,839000000,57000000,591000000,-572000000,-272000000,-379000000,761000000,-283000000,-290000000,-682000000,-562000000,160000000,-545000000,-918000000,16000000,29000000,-1154000000,649000000,154000000,-490000000,-5000000,-320000000,-685000000,62000000,345000000,-907000000,-580000000,-1360000000,-442000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1007000000,889000000,866000000,939000000,962000000,1326000000,1567000000,1440000000,1558000000,1000000000,1071000000,710000000,827000000,1127000000,804000000,1446000000,1110000000,2058000000,2184000000,2914000000,2060000000,3246000000,3491000000,2946000000,3267000000,3343000000,3370000000,3041000000,3472000000,4641000000,4850000000,4263000000,5099000000
84,CAPEX,- -,- -,- -,- -,-825000000,-927000000,-864000000,-1041000000,-768000000,-875000000,-1156000000,-1223000000,-1125000000,-1479000000,-2268000000,-1563000000,-930000000,-1080000000,-1273000000,-1085000000,-2244000000,-1639000000,-1773000000,-1740000000,-1447000000,-1825000000,-2297000000,-2341000000,-2313000000,-2449000000,-2562000000,-2398000000,-2040000000,-1745000000,-1657000000,-1626000000,-1791000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-541000000
86,Purchases of Investments,- -,- -,- -,- -,-537000000,-72000000,- -,- -,-115000000,-135000000,-114000000,-182000000,-224000000,-13000000,- -,-85000000,-51000000,- -,- -,-247000000,-2601000000,-1412000000,-2338000000,-25000000,- -,- -,-492000000,-633000000,-1256000000,-1433000000,-1739000000,-929000000,-782000000,-736000000,-2838000000,-426000000,-75000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,830000000,4000000,46000000,- -,- -,- -,97000000,137000000,45000000,19000000,94000000,- -,- -,350000000,68000000,- -,2634000000,1290000000,2459000000,280000000,- -,- -,- -,581000000,1401000000,1674000000,1225000000,1325000000,1193000000,505000000,2108000000,1424000000,5000000
88,Other Investing Activites,- -,- -,- -,- -,1063000000,148000000,229000000,56000000,13000000,149000000,119000000,-1719000000,-2044000000,603000000,1592000000,1311000000,16000000,-45000000,398000000,37000000,2175000000,151000000,-41000000,36000000,54000000,69000000,202000000,116000000,-59000000,25000000,184000000,204000000,134000000,292000000,285000000,-21000000,525000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,531000000,-847000000,-589000000,-985000000,-870000000,-861000000,-1054000000,-2987000000,-3348000000,-870000000,-582000000,-337000000,-965000000,-775000000,-807000000,-1240000000,-36000000,-1610000000,-1693000000,-1449000000,-1393000000,-1756000000,-2587000000,-2277000000,-2227000000,-2183000000,-2892000000,-1798000000,-1495000000,-1684000000,-2102000000,-649000000,-1877000000
90,Debt Repayment,- -,- -,- -,- -,-1051000000,-264000000,-431000000,-414000000,-249000000,-447000000,-343000000,-486000000,-98000000,-1132000000,-126000000,-751000000,-266000000,-1159000000,-500000000,-434000000,-1283000000,-546000000,-785000000,-645000000,-323000000,-113000000,-605000000,-508000000,-780000000,-933000000,-229000000,-1419000000,-333000000,-19000000,-518000000,-745000000,-426000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-324000000,-150000000,- -,- -,- -,- -,- -,- -,- -,-103000000,- -,-42000000,- -,- -,- -,- -,- -,-465000000,-2174000000,-1570000000,- -,-1452000000,-1564000000,-734000000,-353000000,-517000000,-804000000,-1056000000,-1970000000,-4671000000,-3373000000,-867000000,-2886000000
93,Dividends Paid,- -,- -,- -,- -,-145000000,-147000000,-144000000,-157000000,-164000000,-184000000,-194000000,-223000000,-235000000,-262000000,-262000000,-262000000,-171000000,-86000000,-86000000,-86000000,-93000000,-145000000,-231000000,-308000000,-345000000,-372000000,-480000000,-558000000,-600000000,-629000000,-686000000,-680000000,-708000000,-751000000,-763000000,-797000000,-839000000
94,Other Financing Activites,- -,- -,- -,- -,8000000,465000000,292000000,701000000,245000000,133000000,79000000,2304000000,2006000000,1221000000,420000000,316000000,452000000,883000000,758000000,540000000,89000000,541000000,2606000000,1359000000,361000000,710000000,1236000000,1132000000,501000000,996000000,1200000000,1887000000,832000000,2941000000,2006000000,966000000,39000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1512000000,-96000000,-283000000,130000000,-168000000,-498000000,-458000000,1595000000,1673000000,-276000000,32000000,-739000000,15000000,-362000000,172000000,20000000,-1287000000,-296000000,-584000000,-1164000000,-307000000,-1227000000,-1413000000,-668000000,-1232000000,-1083000000,-519000000,-1268000000,-2179000000,-2500000000,-2648000000,-1443000000,-4112000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-1512000000,-96000000,-283000000,130000000,-168000000,-33000000,395000000,362000000,322000000,282000000,869000000,58000000,358000000,127000000,241000000,563000000,-213000000,152000000,-93000000,301000000,360000000,263000000,-509000000,1000000,-192000000,77000000,-41000000,-25000000,-202000000,457000000,100000000,2171000000,-890000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,660000000,682000000,690000000,533000000,974000000,684000000,618000000,264000000,368000000,859000000,309000000,461000000,368000000,669000000,1029000000,1292000000,783000000,784000000,592000000,669000000,628000000,603000000,401000000,858000000,958000000,3129000000,2239000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,508000000,663000000,471000000,446000000,374000000,298000000,265000000,320000000,368000000,251000000,105000000,626000000,260000000,137000000,127000000,296000000,522000000,309000000,461000000,368000000,669000000,1029000000,1292000000,783000000,784000000,592000000,669000000,628000000,603000000,401000000,858000000,958000000,3129000000
100,Free Cash Flow,- -,- -,- -,- -,182000000,-38000000,2000000,-102000000,194000000,451000000,411000000,217000000,433000000,-479000000,-1197000000,-853000000,-103000000,47000000,-469000000,361000000,-1134000000,419000000,411000000,1174000000,613000000,1421000000,1194000000,605000000,954000000,894000000,808000000,643000000,1432000000,2896000000,3193000000,2637000000,3308000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/0000277948-95-000003-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277948/000027794899000002/0000277948-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/277948/000102140801001422/0001021408-01-001422-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664102000350/0000916641-02-000350-index.html,https://www.sec.gov/Archives/edgar/data/277948/000091664103000356/0000916641-03-000356-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014404002244/0000950144-04-002244-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014405002216/0000950144-05-002216-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000095014406001485/0000950144-06-001485-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000119312507032135/0001193125-07-032135-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794808000036/0000277948-08-000036-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794809000042/0000277948-09-000042-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794810000013/0000277948-10-000013-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000114036111010655/0001140361-11-010655-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794812000014/0000277948-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794813000008/0000277948-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794814000011/0000277948-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794815000010/0000277948-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794816000046/0000277948-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794817000009/0000277948-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794818000009/0000277948-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794819000011/0000277948-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794820000008/0000277948-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794821000014/0000277948-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794822000009/0000277948-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
