,https://roic.ai/company/BMRA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,-900000,400000,300000,-500000,-600000,-500000,-300000,-300000,- -,-137914,-887225,102726,-117361,-30139,158769,35753,-35116,35873,73450,9834,83000,90790,8514,35275,9560,109936,157728,27436,130852,2141120,102255
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-900000,700000,400000,-500000,-600000,-500000,800000,-300000,200000,1889295,-638245,114054,-77361,292361,159939,538948,-4027,184380,-106942,-32448,37891,55400,258514,185275,9560,1105914,157728,1294307,1907427,12373977,1113730
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1726,-1787,-947,-1570,-2976,-1143,-2115,-1322,-2248,-10302,-10395,-3310,-8115
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-1034995,-478758,202433,198890,-172793,-493,-97964,396986,1505480,-426557,-540617,-65936,88072,1392454,-960671,-420818,800618,-663463,-20559,-518118,7954242,-4441716
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,634210,136299,329277,528167,352374,351881,119914,516900,2022380,1595823,1055206,989270,1077342,2469796,1509125,1088307,1888925,1225462,1204903,686785,8641027,4199311
99,Cash at the Beginning of Period,- -,- -,- -,800000,- -,- -,200000,300000,300000,800000,700000,600000,1700000,1800000,1669205,615057,126844,329277,525167,352374,217878,119914,516900,2022380,1595823,1055206,989270,1077342,2469796,1509125,1088307,1888925,1225462,1204903,686785,8641027
100,Free Cash Flow,- -,- -,- -,-600000,-400000,700000,-500000,-500000,900000,300000,400000,500000,300000,-500000,-2770186,47036,-142801,276251,-511121,-169320,-637597,351013,-459378,-217889,-606382,62444,-67386,1136916,-1146003,-430163,-303974,-818943,-1304564,-2415150,-4416425,-5547331
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968705002590/0001019687-05-002590-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73290/000101968708003970/0001019687-08-003970-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000101968709003182/0001019687-09-003182-index.html,https://www.sec.gov/Archives/edgar/data/73290/000101968710003222/0001019687-10-003222-index.html,- -,https://www.sec.gov/Archives/edgar/data/73290/000151316212000654/0001513162-12-000654-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316213000655/0001513162-13-000655-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316214000506/0001513162-14-000506-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316215000518/0001513162-15-000518-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316216000987/0001513162-16-000987-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316217000246/0001513162-17-000246-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316218000223/0001513162-18-000223-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316219000194/0001513162-19-000194-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316220000185/0001513162-20-000185-index.htm,https://www.sec.gov/Archives/edgar/data/73290/000151316221000112/0001513162-21-000112-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
