,https://roic.ai/company/TGHI,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
88,Other Investing Activites,- -,- -,- -,- -,- -,200000,- -,760000,-70000,-50000,160000,60000,-1320000,-60000,-630000,-1160000,-570000,-5070000,-2230000,6550000,576338,-100000,- -,- -,- -,27,-152392,150086,- -,-3521000,-1234000,-1118000,-1063000,-467000,-261000,-980000,-77000,-18000
89,Cash Used for Investing Activites,- -,- -,-80000,-130000,-90000,-70000,-30000,570000,-90000,-590000,-130000,-1690000,-2760000,-1020000,-1480000,-1270000,-1210000,-6460000,-5060000,6190000,576338,-102820,- -,10971,-28567,-227,477753,120659,2075057,-3622000,-1365000,-1167000,-1072000,-475000,-263000,-1150000,1583000,-18000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,- -,- -,-980000,- -,-68000,-144000,-5000,- -,- -,-490000,-190000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,324607,969500,4366118,- -,- -,- -,- -,5750000,6000000,- -,2875000,400000,265000,1449000,- -,20000
92,Common Stock Repurchased,- -,- -,950000,2780000,500000,50000,1060000,850000,3580000,5130000,7880000,15190000,19550000,15030000,2040000,- -,1800000,23500000,15510000,3570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-50000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1000000,-480000,-280000,40000,230000,-460000,190000,-210000,-10000,40000,-10000,6560000,17520000,10490000,28530000,6650000,7870000,-830000,- -,- -,- -,316667,-316667,1059068,979560,558388,-436806,1747000,500000,4151000,-844000,-11000,1212000,2368000,850000,815000
95,Cash Used/Provided by Financing Activities,- -,- -,1950000,2300000,220000,90000,1290000,390000,3770000,4920000,7870000,15230000,19540000,21590000,19560000,10490000,30330000,30150000,23380000,2740000,- -,600000,324607,1286167,4049451,1059068,939560,558388,-436806,6517000,6496000,4083000,1787000,334000,1477000,3817000,360000,645000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40943,-6841,-60419,-21509,-91433,6956,- -,- -,-59000,- -,-68000,-8000,-26000,10000,- -
97,Net Change In Cash,- -,- -,-20000,1110000,-390000,-650000,-20000,-40000,2400000,-870000,10000,1770000,-110000,600000,-1040000,-2630000,10700000,-2980000,-7580000,-190000,366498,-375164,-70134,1286167,-276901,-11965,606274,-433446,2224,6517000,1371000,1102000,-1400000,-1512000,503000,-410000,-111000,-140000
98,Cash at the End of Period,- -,- -,- -,1110000,720000,70000,50000,10000,2400000,1530000,1540000,3310000,3210000,3800000,2760000,130000,10830000,7850000,270000,80000,448180,99120,2882,303004,26103,14138,620412,186966,68473,- -,2070000,3172000,1772000,260000,763000,353000,260000,118000
99,Cash at the Beginning of Period,- -,- -,20000,- -,1110000,720000,70000,50000,- -,2400000,1530000,1540000,3320000,3200000,3800000,2760000,130000,10830000,7850000,270000,81682,474284,73016,- -,303004,26103,14138,620412,66249,- -,699000,2070000,3172000,1772000,260000,763000,371000,258000
100,Free Cash Flow,- -,- -,-1980000,-1200000,-600000,-950000,-1310000,-1200000,-1300000,-5740000,-8020000,-13520000,-18330000,-20930000,-19970000,-11970000,-19050000,-28070000,-28730000,-9470000,-209840,-875164,-394741,-953191,-4301161,-1010641,-836635,-1050487,-1634181,-6462000,-5102000,-2926000,-3187000,-1778000,-705000,-3053000,-2064000,-767000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/225211/000135448814001911/0001354488-14-001911-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000135448815001534/0001354488-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577416006400/0001615774-16-006400-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577417001626/0001615774-17-001626-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577418002269/0001615774-18-002269-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000161577419005776/0001615774-19-005776-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000121390020011842/0001213900-20-011842-index.htm,https://www.sec.gov/Archives/edgar/data/225211/000175392621000093/0001753926-21-000093-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
