,https://roic.ai/company/ANIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1800000,-100000,1900000,-100000,-100000,-100000,-500000,-1300000,-1400000,800000,-500000,360448,80901,-38567,-980,-15602,-404528,241752,-375459,-18000979,1502008,799692,-2138176,1747951,499324,-2506684,45224,1503479,-2735188,1461596,-525457,-305791,-3917675
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-3000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,3300000,1100000,1400000,1800000,6900000,1600000,6000000,18800000,1800000,- -,2800000,4026345,819759,8000,1128190,1199970,1628600,2380499,2159799,18712305,- -,- -,1250000,750000,1074543,3673135,- -,- -,10875676,2470182,5527428,9266177,31125569
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-445253,- -,-500000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1972200,1249000,1284100,208450,2171410,3875884,44635,-2676,7273,58138,175190,140721,440224
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3300000,1100000,1400000,1700000,6900000,1600000,6000000,18800000,1800000,- -,2800000,4026345,819759,8000,1128190,1199970,1628600,2380499,2159799,18712305,1972200,1249000,2534100,958450,3245953,7349019,-400618,-2676,7382949,2528320,5702618,9406898,31565793
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3800000,-453785,182815,-462038,168709,-20754,-496260,775143,-612519,-190542,972642,-357125,-320076,-434347,558479,2463074,1007973,-1880896,851051,-283484,435735,2925436,22711237
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1134045,1316860,854822,1023531,1002777,506517,1281660,669141,478599,1451241,1094116,774040,339693,898172,3361246,4369219,2488323,3339374,3055890,3491625,6417061,29128298
99,Cash at the Beginning of Period,- -,- -,- -,- -,1700000,2200000,2100000,4100000,4100000,8300000,6200000,8900000,22200000,12300000,5400000,1587830,1134045,1316860,854822,1023531,1002777,506517,1281660,669141,478599,1451241,1094116,774040,339693,898172,3361246,4369219,2488323,3339374,3055890,3491625,6417061
100,Free Cash Flow,- -,- -,- -,- -,-1000000,-1100000,-1200000,-1800000,-2700000,-3700000,-3000000,-4600000,-10600000,-7900000,-6100000,-4871295,-733817,-470038,-959481,-1220724,-1724084,-1858132,-2410318,-915721,-2503502,-2407886,-725028,-3142348,-3186798,-2379261,1308591,-3528220,-3826898,-4311804,-4916883,24099,-4936881
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000090951801000099/0000909518-01-000099-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715446/000115752309000289/0001157523-09-000289-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752310000472/0001157523-10-000472-index.html,https://www.sec.gov/Archives/edgar/data/715446/000115752311000826/a6608783.htm,https://www.sec.gov/Archives/edgar/data/715446/000119312512029810/0001193125-12-029810-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316213000088/0001513162-13-000088-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316214000025/copytele10k_2013.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000036/form10k.htm,https://www.sec.gov/Archives/edgar/data/715446/000151316215000658/0001513162-15-000658-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316216001096/0001513162-16-001096-index.html,https://www.sec.gov/Archives/edgar/data/715446/000151316218000006/0001513162-18-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/715446/000151316220000009/0001513162-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/715446/000149315221000456/0001493152-21-000456-index.htm,https://www.sec.gov/Archives/edgar/data/715446/000149315222000302/0001493152-22-000302-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
