,https://roic.ai/company/WNC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,-200000,- -,- -,- -,- -,-500000,-800000,- -,- -,- -,- -,-2991000,- -,- -,- -,-3366000,-9164000,-11668000,- -,-2638000,-47911000,-533000,-564000,-35000,-1497000,-61757000,-79556000,-74491000,-58383000,-33707000,- -,-66731000
93,Dividends Paid,- -,- -,- -,-1100000,-1500000,-1900000,-2300000,-3100000,-4400000,-5500000,-5582000,-1879000,-443000,-1584000,- -,-4236000,-5654000,-5507000,-5510000,- -,- -,- -,- -,- -,- -,- -,- -,-15315000,-17768000,-17797000,-17324000,-16435000
94,Other Financing Activites,-6000000,-22700000,18400000,10000000,2300000,53400000,69100000,80700000,-89300000,-8600000,70379000,46032000,-91685000,-144910000,-99816000,-2000000,-148000,-19819000,203011000,310433000,712995000,847254000,641735000,785000,2727000,193404000,5449000,702239000,1422000,1303000,-26306000,443755000
95,Cash Used/Provided by Financing Activities,-6200000,16600000,18400000,19900000,45200000,51500000,66100000,78500000,-6200000,-13800000,64983000,41306000,-91777000,-141690000,-18853000,-5847000,-14204000,-36920000,-29725000,-20963000,50752000,7190000,366277000,-65324000,-44027000,-91411000,-176827000,215915000,-158129000,-101598000,-43957000,-111353000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44600000,-18290000,6941000,24524000,-23107000,29376000,25509000,-37552000,11339000,-11458000,-28658000,20092000,-1224000,61473000,31813000,32851000,32740000,-15386000,28054000,-58831000,7826000,77161000,-145899000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500000,4194000,11135000,35659000,12552000,41928000,67437000,29885000,41224000,29766000,1108000,21200000,19976000,81449000,113262000,146113000,178853000,163467000,191521000,132690000,140516000,217677000,71778000
99,Cash at the Beginning of Period,1700000,1900000,14600000,3000000,27600000,39700000,2100000,5500000,14600000,67100000,22484000,4194000,11135000,35659000,12552000,41928000,67437000,29885000,41224000,29766000,1108000,21200000,19976000,81449000,113262000,146113000,178853000,163467000,191521000,132690000,140516000,217677000
100,Free Cash Flow,6400000,1000000,-13200000,27800000,-11200000,-61600000,-17200000,-72000000,82500000,-17000000,-74011000,-69953000,88787000,35276000,41429000,19620000,38838000,52612000,18054000,-7995000,-32473000,-8431000,61101000,110317000,72678000,110948000,158408000,118323000,78462000,108639000,124134000,-56575000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013799000751/0000950137-99-000751-index.html,https://www.sec.gov/Archives/edgar/data/879526/000095013700001377/0000950137-00-001377-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879526/000095013707003674/c13018e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013708002435/c23939e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000095013709002918/c49450e10vk.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420410016033/0001144204-10-016033-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420411010985/v212088_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420412012010/0001144204-12-012010-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420413011760/0001144204-13-011760-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420414012076/v368994_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420415012408/v400124_10k.htm,https://www.sec.gov/Archives/edgar/data/879526/000114420416084690/0001144204-16-084690-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420417011303/0001144204-17-011303-index.html,https://www.sec.gov/Archives/edgar/data/879526/000114420418011800/0001144204-18-011800-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952619000024/0000879526-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952620000021/0000879526-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/879526/000087952621000018/0000879526-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/879526/000087952622000014/0000879526-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
