,https://roic.ai/company/CR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,7800000,3800000,-10200000,-2800000,-82900000,114100000,20800000,29400000,25900000,35800000,-76100000,-3525000,5943000,-53066000,22150000,49590000,107014000,18677000,125587000,-61494000,96988000,-89457000,9030000,169496000,-188443000,74969000,75541000,164200000,-113900000,-58300000,-39500000,-66100000,29700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29650000,55166000,142000,-44120000,-2578000,-42857000,25161000,-2400000,-6200000,-10100000,4800000,3800000,138500000,- -
79,Inventory,- -,- -,- -,- -,1800000,8600000,24800000,9800000,-10600000,15300000,-4500000,-2900000,2500000,-9000000,17300000,17806000,21412000,43753000,20989000,-29221000,5090000,786000,-767000,-10183000,67732000,-21441000,-38407000,8551000,28116000,-17342000,-23000000,24900000,6400000,-38800000,-8300000,35400000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2720000,-43797000,6425000,35129000,-11724000,17962000,7685000,3300000,5500000,17500000,37000000,-23400000,-102600000,- -
81,Other Working Capital,- -,- -,- -,- -,213900000,217700000,207500000,204700000,121800000,235900000,256700000,286100000,312000000,347800000,271700000,268175000,274118000,221052000,243202000,292792000,399806000,418483000,544070000,482576000,579564000,490107000,499137000,668633000,480190000,555159000,630700000,794900000,681000000,622700000,583200000,517100000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,15900000,-12100000,19500000,22300000,74600000,-94100000,-35000000,-51800000,-49100000,-48000000,179500000,-21620000,30408000,241946000,-20528000,92573000,-141126000,-62203000,220919000,33943000,-135484000,-35797000,80475000,-281315000,81781000,-138220000,-203141000,-32900000,62800000,-52800000,189400000,26700000,-121400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,100900000,86500000,81000000,64100000,71000000,117300000,106600000,122200000,149800000,191900000,285800000,151176000,197562000,197441000,162728000,110964000,181545000,181695000,232833000,191392000,189014000,133536000,149812000,234756000,239432000,263951000,229300000,318100000,317500000,413800000,393900000,309500000,498500000
84,CAPEX,- -,- -,- -,- -,-34700000,-25400000,-21400000,-23200000,-38800000,-28200000,-26600000,-50500000,-40600000,-54300000,-29000000,-29977000,-32144000,-25496000,-28128000,-22507000,-27164000,-27171000,-47169000,-45136000,-28346000,-21033000,-34737000,-29308000,-29461000,-43732000,-39600000,-51500000,-49000000,-108800000,-68800000,-34100000,-51700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11921000,-191168000,-82225000,-168818000,-49957000,-8823000,-256549000,-63493000,-76527000,17864000,-135846000,-35590000,54079000,-794945000,8181000,- -,- -,-60000000,-645400000,-156400000,-169500000,- -
86,Purchases of Investments,- -,- -,- -,- -,-8100000,- -,- -,-10000000,-6000000,- -,- -,- -,- -,- -,-2000000,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8800000,-90000000,-10000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3400000,28500000,12000000,3700000,- -,- -,- -,- -,7500000,- -,5400000,31556000,- -,- -,- -,- -,- -,- -,32996000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,60000000,40000000
88,Other Investing Activites,- -,- -,- -,- -,9400000,-35300000,6600000,-2700000,-98500000,-142700000,13200000,10800000,-77000000,-209300000,-19700000,15779000,27571000,8333000,7467000,19058000,6339000,5103000,48437000,-41159000,-23578000,-20658000,-29944000,-22870000,-29006000,-34038000,-35200000,-50600000,-26700000,-106900000,-65700000,-29600000,-30300000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-30000000,-32200000,-2800000,-32200000,-143300000,-170900000,-13400000,-39700000,-110100000,-263600000,-45300000,5437000,-207741000,-99388000,-189479000,-53406000,-29648000,-278617000,-29229000,-117686000,-5714000,-156504000,-65534000,31209000,-823951000,-25857000,-35200000,-50600000,-86700000,-752300000,-221000000,-229100000,-300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1371000,-16474000,-2739000,-1003000,- -,-200321000,-25000000,-100000000,-49600000,- -,-552200000,-106800000,-450700000,-375200000
91,Common Stock Issued,- -,- -,- -,- -,3100000,4000000,3600000,3600000,3300000,1300000,8800000,5000000,7400000,9300000,6200000,12388000,9097000,4294000,17056000,16329000,18624000,22870000,15057000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-32300000,-21900000,-19500000,-25100000,-10400000,-200000,-17900000,-26700000,-25000000,-22200000,-124800000,-66670000,-30713000,-9681000,-17444000,-44568000,- -,-59998000,-50001000,-60001000,- -,-49988000,-79999000,-49991000,- -,-50000000,-25000000,- -,-25000000,-50100000,-79900000,-70000000,-96300000
93,Dividends Paid,- -,- -,- -,- -,-22700000,-23700000,-23500000,-23000000,-22500000,-22500000,-22800000,-22700000,-22900000,-25200000,-26700000,-24323000,-23918000,-23897000,-23768000,-23686000,-26962000,-33596000,-39651000,-45203000,-46783000,-50371000,-56992000,-61974000,-67272000,-73884000,-76600000,-77200000,-78400000,-83500000,-93200000,-100400000,-100600000
94,Other Financing Activites,- -,- -,- -,- -,-54200000,-9500000,-24500000,39300000,65400000,64400000,-57900000,-31900000,-2300000,117900000,-107500000,-69983000,66131000,-58537000,149718000,-99868000,-4843000,113293000,-2014000,10951000,1294000,25665000,29329000,16659000,700269000,15887000,57800000,26400000,22600000,677900000,155300000,676200000,14200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-106100000,-51100000,-63900000,-5200000,35800000,43000000,-89800000,-76300000,-42800000,79800000,-252800000,-148588000,20597000,-87821000,125562000,-151793000,-13181000,42569000,-76609000,-95624000,-61963000,-77433000,-108665000,-95306000,432676000,-132997000,-143800000,-100400000,-80800000,-7900000,-124600000,55100000,-557900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,300000,- -,-200000,- -,100000,100000,- -,-1400000,900000,-600000,-344000,-181000,5194000,7118000,2444000,-9051000,12568000,17768000,-29612000,19537000,628000,-3465000,8199000,-1461000,-29474000,-33100000,-20900000,46500000,-16400000,2200000,21600000,-12700000
97,Net Change In Cash,- -,- -,- -,- -,-106100000,-51100000,-63900000,-5200000,35800000,43000000,-89800000,-76300000,-42800000,79800000,-13000000,7681000,10237000,15426000,105929000,-91791000,129665000,-41785000,144763000,-51530000,140874000,-99773000,-27852000,178858000,-153304000,75623000,17200000,146200000,196500000,-362800000,50500000,157100000,-72400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,10926000,21163000,36589000,142518000,50727000,180392000,138607000,283370000,231840000,372714000,272941000,245089000,423947000,270643000,346266000,363500000,509700000,706200000,343400000,393900000,551000000,478600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,40000000,4900000,8400000,22600000,49100000,12600000,2100000,5500000,11600000,7000000,16200000,3245000,10926000,21163000,36589000,142518000,50727000,180392000,138607000,283370000,231840000,372714000,272941000,245089000,423947000,270643000,346300000,363500000,509700000,706200000,343400000,393900000,551000000
100,Free Cash Flow,- -,- -,- -,- -,66200000,61100000,59600000,40900000,32200000,89100000,80000000,71700000,109200000,137600000,256800000,121199000,165418000,171945000,134600000,88457000,154381000,154524000,185664000,146256000,160668000,112503000,115075000,205448000,209971000,220219000,189700000,266600000,268500000,305000000,325100000,275400000,446800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095010995000851/0000950109-95-000851-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013098001500/0000950130-98-001500-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25445/000095013003001890/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312504035266/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312505044701/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312506049541/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312507043378/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312508040709/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312509036461/0001193125-09-036461-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312510039621/0001193125-10-039621-index.html,https://www.sec.gov/Archives/edgar/data/25445/000119312511049904/d10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000119312512081927/0001193125-12-081927-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530513000320/0001445305-13-000320-index.html,https://www.sec.gov/Archives/edgar/data/25445/000144530514000574/cr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828015000998/cr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828016011540/0001628280-16-011540-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828017001848/0001628280-17-001848-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828018002289/0001628280-18-002289-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828019001892/0001628280-19-001892-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828020002133/0001628280-20-002133-index.html,https://www.sec.gov/Archives/edgar/data/25445/000162828021002871/0001628280-21-002871-index.htm,https://www.sec.gov/Archives/edgar/data/25445/000162828022004278/0001628280-22-004278-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
