,https://roic.ai/company/TDS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,-3000000,-800000,-49400000,-53500000,-39700000,-20100000,-74800000,192800000,59100000,18000000,10600000,-22000,573134000,63640000,76477000,274666000,-3001000,-3430000,-804000,-400735000,-24711000,370000,-1148000,-12796000,11594000,-52640000,6932000,-140000000,1000000,- -,-5000000,-25000000,-29000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-163000000,-134900000,-192600000,-194800000,-276300000,-399600000,-550700000,-417400000,-760700000,-494300000,-285400000,-605659000,-519858000,-1366584000,-700490000,-564372000,-914428000,-630740000,-627855000,-902752000,-781446000,-1223848000,-866089000,-998069000,-260653000,-909744000,-737687000,-808000000,-981000000,-680000000,-1249000000,-1511000000,-2462000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9448000,-143078000,-220249000,-647310000,-2566000,-1581000,-150000000,-816000,-12000000,-17000000,-20000000,-118000000,-110000000,-2081000000
91,Common Stock Issued,- -,- -,- -,- -,151500000,3500000,40700000,72600000,106800000,56900000,8700000,201300000,144800000,344900000,- -,- -,- -,- -,- -,31938000,43572000,49974000,123678000,1409000,737000,818000,1967000,- -,15438000,830000,15496000,15000000,5000000,60000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1000000,-3100000,1900000,-400000,-200000,- -,-600000,-600000,-69900000,- -,-69000000,-513916000,-80303000,- -,-386779000,-24348000,- -,- -,-214570000,-226038000,-212121000,-120880000,-83794000,-40071000,-28236000,-58039000,-6188000,-8000000,-1000000,- -,-21000000,-37000000,-39000000
93,Dividends Paid,- -,- -,- -,- -,-7200000,-11700000,-11300000,-13900000,-17800000,-20900000,-24000000,-26200000,-27200000,-28500000,-29400000,-30472000,-32141000,-34445000,-36193000,-38047000,-40576000,-43040000,-45830000,-47320000,-46798000,-66832000,-64906000,-53165000,-55293000,-58040000,-61219000,-65000000,-69000000,-72000000,-75000000,-78000000,-119000000
94,Other Financing Activites,- -,- -,- -,- -,-30600000,63300000,77100000,24900000,42200000,108000000,385400000,-49600000,499900000,-179200000,-174100000,389197000,128222000,1765584000,-158236000,78370000,-44105000,-345817000,-15334000,-61880000,-26205000,206188000,626013000,165905000,-74752000,422068000,513462000,11000000,5000000,- -,-6000000,1182000000,2560000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,112700000,52000000,108400000,83200000,131000000,144000000,369500000,124900000,547600000,137200000,-272500000,-155191000,15778000,1731139000,-581208000,47913000,-41109000,-338883000,-152056000,-343277000,-427465000,-200955000,-168030000,70103000,-144424000,156819000,460735000,-59000000,-77000000,-32000000,-220000000,957000000,321000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,112700000,52000000,108400000,83200000,131000000,144000000,369500000,124900000,547600000,137200000,65900000,-11991000,41725000,1158192000,-361285000,230930000,-75314000,-82466000,161121000,-397137000,-106317000,-302858000,221592000,177206000,89533000,-358113000,512742000,-85000000,-282000000,305000000,-453000000,978000000,-1038000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,99019000,140744000,1298936000,937651000,1168581000,1095791000,1013325000,1174446000,777309000,670992000,368134000,563275000,740481000,830014000,471901000,984643000,900000000,622000000,927000000,474000000,1452000000,414000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,21100000,33700000,43400000,37100000,40800000,55500000,24700000,55100000,57600000,51000000,45100000,111010000,99019000,140744000,1298936000,937651000,1171105000,1095791000,1013325000,1174446000,777309000,670992000,341683000,563275000,740481000,830014000,471901000,985000000,904000000,622000000,927000000,474000000,1452000000
100,Free Cash Flow,- -,- -,- -,- -,-75800000,-44100000,-74000000,-33200000,-38500000,-96700000,-124600000,-255200000,-708800000,-319900000,192700000,292840000,-154345000,-105413000,143446000,-50863000,159666000,164699000,241466000,-275220000,402153000,366913000,283952000,109655000,-389187000,-404684000,-10934000,146000000,91000000,241000000,59000000,164000000,-48000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051512/000105151221000009/0001051512-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1051512/000105151222000013/0001051512-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
