,https://roic.ai/company/AIKI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-400000,-200000,-300000,-400000,-700000,-500000,-500000,-1500000,-3900000,-1500000,-1916827,-1271047,-1019381,-2264605,-3918983,-659283,586219,13949154,7441,1520131,375003,-4852,1793,662000,-1000000,125000,-2974000,1264000,-151000,1256000,-24963000,-8853000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33302,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,3100000,600000,3300000,6232852,43326,4017399,463260,3460872,329228,3073881,757500,- -,5933653,- -,3700552,3724991,310000,3874000,4767000,2140000,2095000,2700000,1941000,24404000,78219000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-44167,-33115,-62571,- -,-74352,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14065000,-935000,-4000,-24000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-200000,-900000,1000000,-100000,-900000,300000,400000,1600000,-1600000,-1856516,-134969,690513,-1901743,127210,47682,-2034215,-101852,- -,- -,4867500,- -,-324210,2925000,18387000,- -,760000,- -,- -,-106000,7204000,84000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-200000,-900000,1000000,-100000,-900000,500000,3500000,2100000,1700000,4332169,-124758,4645341,-1438483,3513730,376910,1039666,655648,-33302,5933653,4867500,3700552,3400781,3235000,8196000,3832000,2896000,2071000,2700000,1835000,31608000,78303000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-200000,-900000,1000000,-100000,-900000,500000,4400000,2100000,-900000,4112586,1032337,2073866,-4389068,-791155,-808113,8283542,5976188,-6435116,-378841,-3450692,-663960,-413113,-1373000,-2320000,-663000,-8000,63000,-180000,74000,2624000,62847000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,5200000,- -,1400000,5549866,6582203,8656069,4267001,3475846,2667733,10951275,15839959,9404843,9026002,5575310,4911350,4498237,3125000,805000,142000,134000,197000,17000,91000,2715000,65562000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,5200000,2300000,1437280,5549866,6582203,8656069,4267001,3475846,2667733,9863771,15839959,9404843,9026002,5575310,4911350,4498000,3125000,805000,142000,134000,197000,17000,91000,2715000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,300000,1000000,-1000000,100000,900000,-100000,1000000,-5000000,-2500000,-190584,1257820,-2557245,-2932199,-3598242,-1885023,5240276,-8653872,-6592658,-7832625,-8693195,-4364512,-3817996,-7270000,-10520000,-4622000,66000,-3272000,-2765000,-3377000,-5490000,-6603000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465905014060/0001104659-05-014060-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12239/000110465912022224/0001104659-12-022224-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588913000470/0001415889-13-000470-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588914001024/0001415889-14-001024-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000141588915001506/0001415889-15-001506-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577416004766/0001615774-16-004766-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577417001405/0001615774-17-001405-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577418002232/0001615774-18-002232-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000161577419003916/0001615774-19-003916-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390020002309/0001213900-20-002309-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390021017738/0001213900-21-017738-index.htm,https://www.sec.gov/Archives/edgar/data/12239/000121390022015575/0001213900-22-015575-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
