,https://roic.ai/company/BH-A,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-5304714,-10360113,-19701977,-988439,- -,- -,-312000,- -,- -,-203000,-38411000,- -,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-18500000,- -,- -,- -,- -,- -,- -,- -,- -,-12372,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,19200000,-4200000,500000,-3600000,5700000,8900000,-5000000,-2500000,-2300000,14166711,-10427964,6192938,-7214443,-11137000,-13754000,17814000,11462000,-3622000,8086000,384000,291197000,129741000,15790000,224770000,222000,64000,30000,49000,- -,500000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,800000,-4000000,500000,-2900000,6200000,10100000,12500000,-1200000,-700000,10676715,-19499286,-12334903,-6781395,-9019000,-11493000,19493000,13356000,-2480000,-12718000,-41026000,69350000,-709000,56343000,172865000,-12307000,-15231000,-23000000,-7530000,-8010000,-29109000,-156157000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000,-16000,-36000,-38000,165000,-78000,-5000,10000,-64000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,-1827407,6537356,-3428825,19508229,355000,-22087000,1757000,-3323000,5358000,44540000,-3832000,51424000,-38628000,34267000,29664000,-73146000,19285000,-8603000,-12220000,15686000,-41030000,14021000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,2177780,8715136,5286311,24794540,25150000,3063000,4820000,1497000,6855000,51395000,47563000,98987000,60359000,94626000,124290000,56523000,75808000,67230000,55010000,70696000,29666000,43687000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,600000,8300000,12600000,8800000,10300000,1400000,600000,2700000,13700000,4005187,2177780,8715136,5286311,24795000,25150000,3063000,4820000,1497000,6855000,51395000,47563000,98987000,60359000,94626000,129669000,56523000,75833000,67230000,55010000,70696000,29666000
100,Free Cash Flow,- -,- -,- -,- -,- -,3900000,2800000,-6000000,-2800000,-21900000,-17400000,-22000000,-14700000,-33600000,-34599664,2933585,13664317,19995274,1112000,657000,-20860000,-25212000,-7013000,46558000,59968000,58559000,41291000,24625000,-8237000,41414000,51319000,17746000,2882000,76004000,96854000,164218000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1726173/000119380519000242/0001193805-19-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000092189520001229/0000921895-20-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000162828021003517/0001628280-21-003517-index.htm,https://www.sec.gov/Archives/edgar/data/1726173/000172617322000004/0001726173-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
