,https://roic.ai/company/TEVA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,-19800000,-24200000,600000,-1100000,-4000000,6700000,-300000,7300000,10554000,28150000,5053000,-900000,-16500000,3700000,-900000,-37000000,-15000000,67000000,- -,29000000,230000000,171000000,83000000,166000000,519000000,1790000000,3195000000,2636000000,1888000000,1496000000,1960000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-48300000,-46900000,-56000000,-75900000,-119000000,-127000000,-65200000,-130600000,-270424000,-84307000,-190653000,-664900000,-435100000,-2396100000,-537800000,-4058000000,-1353000000,-4137000000,-916000000,-5455000000,-7601000000,-1134000000,-1147000000,-1450000000,-5565000000,-35740000000,2164000000,1866000000,1355000000,863000000,1523000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141000000,-2327000000,-2891000000,-1565000000,-2213000000,-3133000000,-839000000,-2521000000,-999000000,-3300000000,-7446000000,-3944000000,-2430000000,-7840000000
91,Common Stock Issued,- -,- -,- -,- -,- -,9700000,1700000,- -,100000,1000000,3200000,3300000,2000000,7901000,13365000,5210000,8500000,35400000,78700000,134300000,180000000,212000000,- -,- -,- -,- -,- -,- -,- -,3291000000,329000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1000000,-2400000,-3800000,-4800000,- -,-3700000,- -,- -,- -,-6300000,- -,-188900000,-379700000,-234000000,-152000000,- -,- -,-99000000,-899000000,-1161000000,-497000000,-500000000,-439000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-4300000,-5300000,-7800000,-15900000,-14500000,-14600000,-21700000,-20100000,-17766000,-27645000,-32761000,-46600000,-76300000,-120700000,-162100000,-229000000,-299000000,-388000000,-528000000,-668000000,-800000000,-855000000,-1089000000,-1156000000,-1155000000,-1558000000,-1161000000,-22000000,-52000000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,29800000,28200000,53400000,58400000,51500000,147400000,-116100000,77000000,161345000,279988000,294268000,381900000,70500000,1083300000,94800000,2307000000,-123000000,1887000000,590000000,4231000000,6600000000,2551000000,836000000,120000000,5629000000,27445000000,-1289000000,4117000000,2070000000,545000000,5668000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,35200000,24600000,44600000,40200000,34200000,131200000,-134500000,55200000,151480000,265708000,266717000,337500000,29600000,852400000,-312700000,2024000000,-362000000,1358000000,-2265000000,573000000,3336000000,-1678000000,-3883000000,-2375000000,4805000000,25217000000,-5750000000,-3351000000,-1926000000,-1885000000,-2172000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,-1100000,-4100000,1400000,-4560000,-3570000,-928000,14700000,26300000,21700000,-28000000,32000000,58000000,-86000000,-51000000,-1000000,-21000000,23000000,-48000000,-114000000,-62000000,-660000000,54000000,-142000000,16000000,8000000,-128000000
97,Net Change In Cash,- -,- -,- -,- -,- -,35200000,24600000,44600000,2500000,21000000,-3700000,-10300000,-3800000,30103000,343457000,348284000,41000000,247400000,-273200000,491500000,56000000,156000000,366000000,141000000,-747000000,-152000000,1783000000,-1841000000,1188000000,4720000000,-5958000000,-25000000,819000000,193000000,202000000,21000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,42400000,63400000,61200000,50900000,47100000,77177000,420634000,768918000,809900000,1057300000,784100000,1275600000,1332000000,1488000000,1854000000,1995000000,1248000000,1096000000,2879000000,1038000000,2226000000,6946000000,988000000,963000000,1782000000,1975000000,2177000000,2198000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,12000000,7900000,13500000,39900000,42400000,64900000,61200000,50900000,47074000,77177000,420634000,768900000,809900000,1057300000,784100000,1276000000,1332000000,1488000000,1854000000,1995000000,1248000000,1096000000,2879000000,1038000000,2226000000,6946000000,988000000,963000000,1782000000,1975000000,2177000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-13200000,900000,-7600000,-41300000,-7200000,-142100000,130200000,-65400000,86535000,76210000,139082000,193300000,419100000,937800000,1059900000,1668000000,1271000000,2550000000,2654000000,3426000000,3081000000,3468000000,2206000000,4198000000,4770000000,4324000000,2633000000,1795000000,223000000,638000000,236000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818686/000119312519043564/0001193125-19-043564-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312520044221/0001193125-20-044221-index.html,https://www.sec.gov/Archives/edgar/data/818686/000119312521036239/0001193125-21-036239-index.htm,https://www.sec.gov/Archives/edgar/data/818686/000119312522032667/0001193125-22-032667-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
