,https://roic.ai/company/EML,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27547304,- -,-303746,- -,- -,- -,-7536916,- -,- -,-128325,- -,- -,- -,- -,- -,-5034289,- -,-40078000,-4994685,-81155753,- -,-4387211
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34305,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915133,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,100000,1000000,- -,- -,- -,- -,- -,- -,300000,98872,- -,- -,- -,- -,750,19374,25120,- -,13246,- -,4000,44184,2839,- -,22500,8350,44100,-1813973,857967,- -,-1625125
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-3700000,-600000,-1400000,-2800000,-3300000,-2900000,- -,-2200000,-4100000,-32513707,-1894723,-1863609,- -,-1847997,-1749502,-14239123,-2842709,- -,-2446420,-2226025,-3390726,-4172786,-5520903,- -,-8644954,-2855120,-42796849,-10405230,-85772579,- -,-9111319
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2240202,-714286,-4250000,-1428571,- -,-1785714,-1428571,-4175325,-13550000,-30285146,- -,-10060077
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,400000,200000,100000,300000,100000,- -,- -,700000,600000,104671,23437,- -,- -,- -,- -,203700,2562997,- -,1861486,1584042,651390,61110,13580,- -,271600,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-700000,-300000,-100000,-200000,-1100000,- -,- -,-3400000,-5500000,-416438,-23432,-55855,- -,-317726,- -,- -,-312521,- -,-610530,-797328,- -,- -,- -,- -,- -,- -,- -,-1063375,- -,- -,-368864
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1200000,-1200000,-1300000,-1300000,-1300000,-1200000,- -,-1300000,-1400000,-1600511,-1598809,-1597864,- -,-1593118,-1600100,-1715035,-1801570,- -,-1938172,-2155149,-2224187,-3108577,-2612839,- -,-2987480,-2751148,-2754568,-2756478,-2743993,- -,-2754650
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-100000,-1100000,-900000,400000,-1200000,2400000,- -,-100000,4900000,22613591,-3028830,-6853694,- -,-3732726,-3408,4743268,-1536427,- -,-3482230,202767,3106471,5000000,- -,- -,8882,- -,37614611,7000000,100000000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-1600000,-2400000,-2200000,-800000,-3500000,1200000,- -,-4100000,-1400000,20701313,-4627634,-8507413,- -,-5643570,-1603508,3231933,-1087521,- -,-4169446,-3405870,819388,-2297467,-4027830,- -,-4492712,-4179719,30684718,-10369853,66970861,- -,-13183591
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,4224,-25366,-12489,- -,78934,80046,-100253,278416,- -,-239456,67385,47571,159268,-262086,- -,-363435,-470011,482049,-450691,-85704,- -,-288722
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-1600000,-2400000,-2200000,-800000,-3500000,1200000,- -,-4100000,-1400000,-1398484,413314,984212,- -,-1042416,1925441,-3244489,5108264,- -,757903,7779048,-1077311,7334847,1506217,- -,-4153917,4910390,-449899,-8349712,4070740,- -,-1894870
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4541706,4955020,5939232,- -,4896816,6345947,3101458,8209722,- -,8967625,16746673,11147297,18482144,19988361,- -,15834444,22725376,22275477,13925765,17996505,- -,16101635
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,3900000,2900000,3000000,2500000,2600000,1500000,- -,2300000,2100000,5940190,4541706,4955020,- -,5939232,4420506,6345947,3101458,- -,8209722,8967625,12224608,11147297,18482144,- -,19988361,17814986,22725376,22275477,13925765,- -,17996505
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,500000,1500000,1800000,1000000,2400000,-400000,- -,4000000,3900000,5344411,5066314,9807860,- -,3607087,3448153,1141373,5892249,- -,5281884,11117533,-1948270,9428862,5793294,- -,5714019,9551770,8417233,7465517,17517676,- -,17589779
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110796000002/0000031107-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110797000003/0000031107-97-000003-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110798000003/0000031107-98-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110799000002/0000031107-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110701000003/0000031107-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110702000004/0000031107-02-000004-index.html,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110708000027/form10k2007.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110709000023/0000031107-09-000023-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110710000022/0000031107-10-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/31107/000003110713000006/0000031107-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110714000006/form10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/31107/000003110715000010/fm10k2014.htm,https://www.sec.gov/Archives/edgar/data/31107/000003110717000008/0000031107-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110718000010/0000031107-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110719000011/0000031107-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/31107/000003110720000008/0000031107-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/31107/000165495421002839/0001654954-21-002839-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
