,https://roic.ai/company/OXY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-1388000000,-1446000000,-1068000000,-944000000,-1083000000,-1103000000,-979000000,-1203000000,-1571000000,-4602000000,-745000000,-952000000,-1401000000,-1236000000,-1601000000,-1843000000,-2423000000,-3005000000,-4878000000,-9365000000,-5363000000,-3940000000,-7518000000,-10226000000,-9037000000,-8388000000,-5864000000,-2831000000,-3477000000,-4920000000,-6637000000,-3054000000,-2773000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3715000000,-46000000,-492000000,-351000000,-208000000,-2126000000,-1563000000,- -,- -,- -,- -,-4909000000,-2490000000,1619000000,4177000000,819000000,302000000,1403000000,2824000000,-28088000000,-114000000,-25000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245000000,-185000000,-251000000,-155000000,-170000000,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,11000000,15000000,- -,80000000,5000000,- -,- -,- -,46000000,55000000,- -,- -,- -,- -,- -,- -,1388000000,441000000,1407000000,51000000,- -,181000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-303000000,324000000,2657000000,503000000,202000000,96000000,843000000,224000000,20000000,3331000000,2336000000,1570000000,711000000,28000000,-69000000,7000000,185000000,-10000000,487000000,-4637000000,-3530000000,-9259000000,-4994000000,-10165000000,-9812000000,-12647000000,-6242000000,-5044000000,-4617000000,-6030000000,-939000000,-705000000,-1228000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1680000000,-1107000000,1582000000,-361000000,-876000000,-1007000000,-136000000,-979000000,-1505000000,-1216000000,1591000000,-3097000000,-736000000,-1700000000,-2021000000,-2289000000,-3161000000,-4388000000,-3139000000,-9457000000,-5327000000,-9078000000,-9903000000,-12655000000,-8193000000,-8470000000,-5423000000,-4742000000,-3214000000,-3206000000,-29027000000,-819000000,-1253000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96000000,-699000000,-311000000,-1523000000,- -,-690000000,-107000000,- -,-2710000000,- -,-500000000,-7959000000,-8916000000,-6834000000
91,Common Stock Issued,- -,- -,- -,- -,57000000,656000000,71000000,64000000,594000000,595000000,28000000,25000000,21000000,29000000,21000000,41000000,90000000,154000000,210000000,245000000,139000000,53000000,45000000,32000000,18000000,10000000,50000000,85000000,30000000,33000000,37000000,36000000,28000000,33000000,10028000000,134000000,31000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-42000000,- -,- -,- -,- -,-119000000,-937000000,- -,-12000000,-11000000,- -,-2000000,-466000000,-8000000,-1473000000,-1204000000,-1511000000,-40000000,-67000000,-274000000,-583000000,-943000000,-2500000000,-593000000,-22000000,-25000000,-1248000000,-237000000,-12000000,-8000000
93,Dividends Paid,- -,- -,- -,- -,-679000000,-727000000,-416000000,-306000000,-335000000,-376000000,-406000000,-415000000,-422000000,-387000000,-363000000,-369000000,-372000000,-375000000,-392000000,-424000000,-483000000,-646000000,-765000000,-940000000,-1079000000,-1159000000,-1436000000,-2128000000,-1553000000,-2210000000,-2264000000,-2309000000,-2346000000,-2374000000,-2624000000,-1845000000,-839000000
94,Other Financing Activites,- -,- -,- -,- -,440000000,-272000000,-2042000000,-33000000,81000000,- -,-596000000,-859000000,483000000,2414000000,-2175000000,919000000,-1521000000,-235000000,-332000000,-179000000,-834000000,-753000000,-1121000000,1133000000,767000000,2610000000,2008000000,1780000000,223000000,2582000000,4304000000,5396000000,- -,987000000,22985000000,6123000000,-922000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-182000000,-343000000,-2387000000,-317000000,340000000,219000000,-974000000,-1249000000,-37000000,1119000000,-2517000000,579000000,-1814000000,-456000000,-516000000,-824000000,-1186000000,-2819000000,-3045000000,-1382000000,-1033000000,1083000000,-1175000000,-846000000,-2933000000,-2202000000,1484000000,391000000,-2343000000,-3102000000,22193000000,-4516000000,-8572000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-182000000,-343000000,-2387000000,-317000000,340000000,219000000,-974000000,-1249000000,-37000000,1119000000,118000000,-117000000,102000000,-52000000,537000000,766000000,990000000,-849000000,625000000,-187000000,-547000000,1354000000,1203000000,-2189000000,1801000000,396000000,-588000000,-968000000,-561000000,1361000000,541000000,-1380000000,609000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000000,97000000,199000000,146000000,683000000,1449000000,2189000000,1339000000,1964000000,1777000000,1230000000,2578000000,3781000000,1592000000,3393000000,3789000000,3201000000,2233000000,1672000000,3033000000,3574000000,2194000000,2803000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,462000000,209000000,269000000,213000000,85000000,157000000,129000000,520000000,258000000,113000000,96000000,214000000,97000000,198000000,146000000,683000000,1199000000,2188000000,1339000000,1964000000,1777000000,1224000000,2578000000,3781000000,1592000000,3393000000,3789000000,3201000000,2233000000,1672000000,3033000000,3574000000,2194000000
100,Free Cash Flow,- -,- -,- -,- -,221000000,80000000,-341000000,-394000000,-475000000,-343000000,522000000,784000000,-174000000,-4522000000,299000000,1449000000,1251000000,864000000,1473000000,2035000000,2914000000,3348000000,1920000000,1287000000,450000000,5409000000,4763000000,1086000000,3890000000,2680000000,-2513000000,552000000,1519000000,2749000000,738000000,901000000,7661000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797468/000079746821000009/0000797468-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000079746822000008/0000797468-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
