,https://roic.ai/company/EIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000,-56000000,64000000,49000000,52000000,7000000,-39000000,-76000000,-283000000,-513000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000000,-19000000,39000000,36000000,24000000,-5000000,30000000,-16000000,-11000000,4000000,-27000000,-71000000,-39000000,-121000000,-204000000,20000000,-49000000,-56000000,10000000,80000000,-25000000,14000000,8000000,-12000000,-49000000,-83000000,-43000000,-21000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,-3000000,56000000,14000000,45000000,14000000,8000000,35000000,50000000,-31000000,288000000,87000000,131000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1023000000,-853000000,-866000000,-131000000,-1157000000,-4172000000,-5134000000,-2357000000,-1196000000,-1118000000,1412000000,1000000000,1179000000,-15000000,656000000,643000000,470000000,136000000,-1072000000,-1569000000,-1460000000,-2273000000,-3789000000,-3339000000,-2036000000,-1963000000,-1688000000,-1017000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020000000,1394000000,1402000000,584000000,1471800000,3980000000,5400000000,-2746000000,-71000000,2214000000,-2875000000,1328000000,2369000000,3328000000,117000000,2106000000,-415000000,2546000000,2826000000,718000000,-922000000,1735000000,1050000000,-165000000,763000000,-3304000000,-290000000,251000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2050000000,2131000000,2197000000,2134000000,1462000000,2113000000,1409000000,2974000000,2327000000,3307000000,1128000000,2213000000,3593000000,3193000000,2210000000,3045000000,3477000000,3906000000,3334000000,3203000000,3248000000,4509000000,3256000000,3587000000,3177000000,-307000000,1263000000,158000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1137000000,-1984000000,-744000000,-783000000,-963000000,-9189000000,-1488000000,-933000000,-1590000000,-1288000000,-1733000000,-1868000000,-2536000000,-2826000000,-2824000000,-3282000000,-4543000000,-4808000000,-4149000000,-3599000000,-3906000000,-4225000000,-3734000000,-3828000000,-4509000000,-4877000000,-5484000000,-5503000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000000,- -,- -,- -,-285000000,- -,-18000000,-33000000,-19000000,-22000000,-4000000,-3000000,110000000,- -,- -,- -,- -,- -,78000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000000,-183000000,-3661000000,-9476000000,-22000000,-2423000000,-1655000000,-2940000000,-2337000000,-5951000000,-10123000000,-3132000000,-3033000000,-5042000000,-4231000000,-4283000000,-5730000000,-3705000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,- -,- -,- -,33000000,140000000,137000000,9953000000,96000000,3652000000,1483000000,2814000000,2122000000,5617000000,10079000000,3506000000,3212000000,5239000000,4340000000,4389000000,6059000000,3961000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-256000000,-161000000,-476000000,-454000000,-98000000,-921000000,812000000,1634000000,261000000,-287000000,2745000000,136000000,3086000000,-288000000,-176000000,-3566000000,-4638000000,-4804000000,-5178000000,-3474000000,-3863000000,-4266000000,-3595000000,-3796000000,-4426000000,-4784000000,-5300000000,-5408000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1393000000,-2145000000,-1220000000,-1237000000,-1061000000,-10110000000,-665000000,701000000,-1329000000,-1575000000,640000000,-1775000000,-2992000000,-2670000000,-2945000000,-2359000000,-4814000000,-4933000000,-5283000000,-3808000000,-3907000000,-3892000000,-3416000000,-3599000000,-4239000000,-4678000000,-4971000000,-5152000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1263000000,-396000000,-153000000,-6000000,-1017000000,-607000000,-762000000,-220000000,-1285000000,-654000000,-1832000000,-1921000000,-3416000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,63000000,414000000,- -,- -,- -,- -,104000000,- -,- -,48000000,676000000,262000000,86000000,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2391000000,912000000,32000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145000000,-344000000,-1273000000,-788000000,-92000000,-511000000,-164000000,-100000000,-6000000,-111000000,-330000000,-169000000,-215000000,-66000000,- -,- -,- -,-75000000,-400000000,- -,-325000000,-125000000,-475000000,- -,- -,-308000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-549000000,-447000000,-440000000,-408000000,-374000000,-373000000,-371000000,- -,-37000000,-42000000,-407000000,-500000000,-514000000,-378000000,-397000000,-404000000,-411000000,-417000000,-424000000,-440000000,-463000000,-544000000,-626000000,-707000000,-788000000,-810000000,-928000000,-1081000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83000000,516000000,-217000000,1794000000,-562000000,8386000000,1639000000,-1497000000,-2464000000,-1958000000,-788000000,-1080000000,-278000000,-370000000,3643000000,-1262000000,1860000000,1677000000,1155000000,2438000000,1715000000,1043000000,1066000000,3474000000,1524000000,5154000000,5972000000,9683000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-544000000,-13000000,-587000000,113000000,-1724000000,7921000000,757000000,-1557000000,-2601000000,-2006000000,-1258000000,-1234000000,-699000000,-877000000,3210000000,-2929000000,1053000000,1107000000,650000000,581000000,645000000,-588000000,95000000,1007000000,82000000,4903000000,3727000000,5218000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,-37000000,23000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,-27000000,390000000,1010000000,-1323000000,-76000000,1465000000,2081000000,-1580000000,-270000000,510000000,-794000000,-98000000,-354000000,2475000000,-2243000000,-284000000,80000000,-1299000000,-24000000,-14000000,29000000,-65000000,995000000,-980000000,-82000000,19000000,224000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000000,507000000,897000000,1907000000,584000000,508000000,1973000000,4054000000,2474000000,2198000000,2689000000,1895000000,1795000000,1441000000,3916000000,1673000000,1389000000,1469000000,170000000,146000000,132000000,161000000,96000000,1091000000,152000000,70000000,89000000,280000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,421000000,534000000,507000000,897000000,1907000000,584000000,508000000,1973000000,4054000000,2468000000,2179000000,2689000000,1893000000,1795000000,1441000000,3916000000,1673000000,1389000000,1469000000,170000000,146000000,132000000,161000000,96000000,1132000000,152000000,70000000,56000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,913000000,147000000,1453000000,1351000000,499000000,-7076000000,-79000000,2041000000,737000000,2019000000,-605000000,345000000,1057000000,367000000,-614000000,-237000000,-1066000000,-902000000,-815000000,-396000000,-658000000,284000000,-478000000,-241000000,-1332000000,-5184000000,-4221000000,-5345000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/827052/000082705295000019/0000827052-95-000019-index.html,https://www.sec.gov/Archives/edgar/data/827052/000082705296000030/0000827052-96-000030-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827052/000119312507042000/0001193125-07-042000-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256908000173/0000892569-08-000173-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000089256909000150/0000892569-09-000150-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746910001604/0001047469-10-001604-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000104746911001484/0001047469-11-001484-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705212000013/0000827052-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705213000024/0000827052-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705214000030/0000827052-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705215000035/0000827052-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705216000222/0000827052-16-000222-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705217000033/0000827052-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705218000046/0000827052-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705219000034/0000827052-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705220000026/0000827052-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705221000019/0000827052-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827052/000082705222000006/0000827052-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
