,https://roic.ai/company/KMPR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-157200000,-55500000,-147800000,-161200000,79200000,142200000,9200000,-66100000,170800000,212200000,-26800000,-368400000,-359100000,-608700000,-208400000,-419400000,-86100000,-222900000,356200000,287600000,319300000,564600000,-106200000,4800000,-104300000,-28600000,-238100000,-105400000,-497600000,-633400000,-757000000,-118000000
90,Debt Repayment,- -,- -,-15600000,- -,- -,- -,- -,-308000000,-210000000,-493800000,-357400000,-437100000,-693500000,-756200000,-812800000,-280000000,-100000,-80100000,-40100000,-654800000,- -,-220100000,-340100000,-95000000,- -,-5500000,- -,-357300000,-10000000,-360000000,-215000000,-185000000,- -,-50000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,15700000,6800000,5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127500000,- -,- -
92,Common Stock Repurchased,- -,- -,-35500000,-90000000,- -,- -,-245300000,-416000000,-61100000,-20700000,-232900000,-191400000,-122300000,-26600000,-9400000,-1400000,- -,-48900000,-89900000,-139500000,-69000000,- -,-34400000,-27400000,-60700000,-100400000,-114000000,-45000000,-3800000,- -,- -,- -,-110400000,-161000000
93,Dividends Paid,- -,- -,-43700000,-47700000,-56900000,-67400000,-75800000,-80700000,-83000000,-89900000,-100700000,-101700000,-103100000,-108000000,-112400000,-112200000,-113500000,-117400000,-119800000,-119900000,-118400000,-66600000,-54600000,-58200000,-56900000,-54900000,-51800000,-49700000,-49200000,-49500000,-56400000,-67800000,-78900000,-80000000
94,Other Financing Activites,- -,- -,46900000,33900000,12000000,28900000,66500000,502100000,182200000,514400000,377000000,521500000,866400000,1071000000,886800000,465500000,11800000,235800000,136100000,826500000,-158300000,-204900000,24800000,-225000000,3200000,4100000,146100000,351200000,14600000,204300000,259200000,286100000,567600000,1000000
95,Cash Used/Provided by Financing Activities,- -,- -,-47900000,-103800000,-44900000,-38500000,-254600000,-302600000,-171900000,-90000000,-314000000,-208700000,-52500000,180200000,-47800000,71900000,-73400000,5100000,-106900000,-82600000,-345700000,-491600000,-404300000,-405600000,-114400000,-156700000,-19700000,-100800000,-48400000,-205200000,-12200000,160800000,378300000,-290000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-47900000,-103800000,-44900000,-38500000,-254600000,-302600000,7900000,-2500000,-5900000,15500000,-800000,3600000,-11000000,48800000,16400000,-37600000,113400000,-53400000,79700000,-40500000,-26500000,134000000,-154900000,-29800000,9600000,85600000,-46000000,-70000000,29400000,61700000,69300000,-58000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,17000000,14500000,8600000,24100000,23300000,27900000,16900000,65700000,82100000,44500000,157900000,104500000,184200000,143700000,117200000,251200000,96300000,66500000,76100000,161700000,115700000,45700000,75100000,136800000,206100000,148000000
99,Cash at the Beginning of Period,- -,- -,24600000,33600000,26900000,29400000,25200000,23300000,9100000,17000000,14500000,8600000,24100000,24300000,27900000,16900000,65700000,82100000,44500000,157900000,104500000,184200000,143700000,117200000,251200000,96300000,66500000,76100000,161700000,115700000,45700000,75100000,136800000,206000000
100,Free Cash Flow,- -,- -,214100000,152600000,195200000,195500000,173500000,53600000,170600000,141500000,125900000,7700000,72600000,188700000,381900000,564700000,268400000,277800000,267200000,227900000,69200000,163500000,58500000,-25000000,65700000,106900000,122300000,206100000,222900000,205100000,473900000,450300000,394600000,350000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860748/000119312504011558/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312505017664/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312506016367/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312507019391/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312508019281/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000119312509018930/0001193125-09-018930-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312510018253/0001193125-10-018253-index.html,https://www.sec.gov/Archives/edgar/data/860748/000119312511023337/d10k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074812000034/0000860748-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074813000017/0000860748-13-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074814000026/kmpr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074815000039/kmpr-20141231201410k.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074816000146/0000860748-16-000146-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074817000017/0000860748-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074818000045/0000860748-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074819000052/0000860748-19-000052-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074820000033/0000860748-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/860748/000086074821000039/0000860748-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/860748/000086074822000036/0000860748-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
