,https://roic.ai/company/ROG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-11400000,-13600000,-11700000,-9100000,-8600000,- -,-8900000,-6300000,-17700000,- -,-30500000,-22744000,-18032000,-22682000,-17951000,- -,-28131000,-23074000,-30989000,-21004000,-12087000,-12607000,-21316000,-23774000,-16859000,-28755000,-24837000,-18136000,-27215000,-47115000,-51597000,-40385000,-71125000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252000,-2000000,-8060000,-17656000,- -,-3408000,- -,- -,10519000,-7400000,-15717000,-139825000,-3100000,- -,- -,-157142000,-133943000,-60191000,-77969000,2625000,- -,-168204000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,-1800000,- -,300000,- -,- -,-6628000,- -,- -,- -,-43785000,-1136430000,-132690000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,2500000,- -,- -,- -,3624000,- -,1006000,- -,1150315000,135990000,6600000,5800000,7805000,25438000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-500000,400000,1700000,6000000,11100000,- -,100000,-5700000,-11200000,- -,200000,-1509000,-1192000,16762000,7162000,- -,2989000,-250000,- -,-21004000,-12087000,-12607000,-13974000,-20970000,-16979000,-28520000,-23155000,-17861000,-18079000,-89468000,-51588000,-40385000,-70411000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11900000,-13200000,-10000000,-3100000,2500000,- -,-10400000,-11400000,-30700000,- -,-27500000,-24505000,-21224000,-20608000,-24821000,- -,-27544000,-67109000,-17104000,-7185000,-17887000,-22524000,-145994000,1368000,-16979000,-28520000,-180297000,-151804000,-78270000,-167437000,-48963000,-40385000,-238615000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28561000,-25519000,-21206000,-17797000,-6641000,-103760000,-110689000,-6162000,-105886000,-248330000,-29624000
91,Common Stock Issued,- -,- -,- -,- -,1100000,300000,200000,300000,1100000,- -,1300000,3400000,1500000,- -,2300000,697000,729000,1199000,4261000,- -,8869000,18588000,7957000,2832000,1360000,1476000,11828000,17007000,32426000,20513000,6967000,4143000,3085000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,-3181000,- -,-35540000,-30000000,- -,- -,- -,-752000,-1297000,-1542000,-42733000,-9372000,- -,-2999000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-400000,-400000,-400000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-900000,-700000,1000000,-3900000,-13100000,- -,-3100000,-600000,10200000,- -,100000,296000,-7903000,-5146000,- -,- -,- -,4946000,- -,553000,- -,- -,145000000,809000,734000,693000,125434000,166858000,-5583000,97843000,-5957000,144141000,188681000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-200000,-800000,800000,-3700000,-15500000,- -,-1800000,2800000,11700000,- -,2000000,993000,-7174000,-3947000,4261000,- -,5688000,23534000,-27583000,-26615000,1360000,1476000,128267000,-8455000,10657000,1867000,83027000,57869000,-113187000,88682000,-111843000,-104189000,159057000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,300000,500000,-100000,-300000,200000,- -,100000,-100000,100000,- -,400000,-57000,174000,-63000,74000,- -,-255000,1318000,-537000,-1639000,1481000,-2322000,459000,2183000,5328000,-13063000,-9441000,149000,5867000,-1486000,-1406000,4454000,-4294000
97,Net Change In Cash,- -,- -,- -,- -,-200000,-800000,800000,-3700000,-15500000,- -,-1800000,2800000,11700000,- -,2000000,145000,10791000,1409000,9176000,- -,6491000,-8363000,22690000,33842000,-12432000,22397000,-407000,35135000,77021000,45491000,-32789000,23181000,-46608000,-13421000,-889000,24936000,40511000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,20891000,22300000,31476000,- -,37967000,13638000,36328000,70170000,57738000,80135000,79728000,114863000,191884000,237375000,204586000,227767000,181159000,167738000,166849000,191785000,232296000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5000000,5400000,4400000,6700000,5400000,- -,13900000,13100000,18700000,- -,18800000,9955000,10100000,20891000,22300000,- -,31476000,22001000,13638000,36328000,70170000,57738000,80135000,79728000,114863000,191884000,237375000,204586000,227767000,181159000,167738000,166849000,191785000
100,Free Cash Flow,- -,- -,- -,- -,900000,-1200000,-100000,-3300000,3300000,- -,2500000,8000000,1300000,- -,-14600000,970000,20983000,3345000,11711000,- -,471000,10820000,36925000,48277000,-9473000,33160000,-4455000,16265000,61156000,56452000,49085000,98831000,111767000,19705000,109726000,124671000,53238000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/84748/000008474896000006/0000084748-96-000006-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/84748/000115752308001787/a5620596.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752309001682/0001157523-09-001682-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752310001072/0001157523-10-001072-index.html,https://www.sec.gov/Archives/edgar/data/84748/000115752311000998/a6614574.htm,https://www.sec.gov/Archives/edgar/data/84748/000115752312000876/0001157523-12-000876-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474813000004/0000084748-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474814000003/rog-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474815000003/rog-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474816000013/0000084748-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474817000004/0000084748-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474818000007/0000084748-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474819000006/0000084748-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474820000009/0000084748-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/84748/000008474821000021/0000084748-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/84748/000008474822000019/0000084748-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
