,https://roic.ai/company/SIF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,2800000,5200000,4000000,- -,400000,3800000,9100000,7800000,6700000,12392000,9061000,2589000,738000,2844000,-4692000,-1875000,-4368000,9735000,15083000,9878000,10220000,9767000,7361000,11397000,-1787000,12281000,11995000,1295000,5729000,449000,3892000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3400000,-8500000,-3800000,-2200000,-4900000,-3400000,-6600000,-11300000,-4900000,-4633000,-4082000,-5043000,-2149000,-2754000,-2212000,-1288000,-874000,-2012000,-5256000,-6747000,-3293000,-3521000,-3418000,-9838000,-8812000,-2349000,-2339000,-2831000,-9447000,-9026000,-4979000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-25000000,-4000000,- -,-17000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-3800000,800000,1300000,700000,300000,-1500000,-1400000,-1800000,-2596000,482000,296000,295000,995000,10646000,8529000,181000,1000,-5251000,-6692000,-2713000,-3397000,-3641000,-9838000,-8804000,-2074000,-2269000,688000,-767000,-1198000,-878000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-3400000,-12300000,-3000000,-900000,-4200000,-3100000,-8100000,-12700000,-6700000,-7229000,-3600000,-4747000,-1854000,-1759000,8434000,7241000,-693000,-2011000,-5251000,-9731000,-22713000,-28397000,-7641000,-9838000,-25804000,-2074000,-2269000,688000,-767000,-1198000,-878000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,-109000,-32772000,-51546000,-62343000,-42336000,-55472000,-57339000,-97603000,-96647000,-93697000,-120416000,-96963000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,101000,106000,87000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-449000,- -,-143000,- -,- -,- -,- -,- -,- -,- -,-692000,- -,- -,- -,- -,- -,- -,- -,- -,-62000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1200000,-1000000,- -,- -,- -,- -,- -,- -,- -,-1031000,- -,- -,- -,- -,- -,- -,- -,- -,-529000,-529000,-789000,-1060000,-1073000,-1081000,-1090000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,700000,5400000,-1200000,2000000,3000000,-100000,-100000,5400000,-2100000,-1018000,3155000,-4004000,-2049000,-118000,-8441000,-1506000,2052000,-2709000,-106000,- -,33844000,71973000,52386000,40996000,79108000,46917000,88801000,94543000,87890000,121238000,93852000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-500000,4400000,-1200000,2000000,3000000,-100000,-100000,5400000,-2100000,-2498000,3168000,-4046000,-1943000,-31000,-8436000,-1506000,2052000,-2709000,-637000,-1330000,283000,19367000,-11030000,-2421000,22546000,-10422000,-8802000,-2104000,-5869000,822000,-3111000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000,- -,- -,- -,- -,- -,547000,-85000,240000,-21000,-30000,8000,- -,- -,-306000,19000,4000,-26000,-4000,13000,16000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-500000,4400000,-1200000,2000000,- -,- -,- -,- -,-2000000,2665000,9100000,-6204000,-3059000,1054000,-4694000,3860000,766000,4930000,9435000,-1204000,-12240000,745000,-2668000,88000,-3929000,-196000,928000,-147000,-911000,86000,-81000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,4687000,13787000,7583000,4524000,5578000,884000,4744000,5510000,10440000,19875000,18671000,6431000,7176000,4508000,4596000,667000,471000,1399000,1252000,341000,427000,346000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,5100000,4100000,1400000,1200000,2300000,1500000,2100000,3000000,3500000,2022000,4687000,13787000,7583000,4524000,5578000,884000,4744000,5510000,10440000,19875000,18671000,6431000,7176000,4508000,4596000,667000,471000,1399000,1252000,341000,427000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-600000,-3300000,200000,-2200000,-4500000,400000,2500000,-3500000,1800000,7759000,4979000,-2454000,-1411000,90000,-6904000,-3163000,-5242000,7723000,9827000,3131000,6927000,6246000,3943000,1559000,-10599000,9932000,9656000,-1536000,-3718000,-8577000,-1087000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90168/000095015295003050/0000950152-95-003050-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90168/000095015205010016/0000950152-05-010016-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015206010193/0000950152-06-010193-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015207009626/0000950152-07-009626-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095015208010258/0000950152-08-010258-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000095012309070768/0000950123-09-070768-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312510280774/0001193125-10-280774-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312511327025/0001193125-11-327025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000119312512487065/0001193125-12-487065-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016813000010/0000090168-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016814000031/0000090168-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000058/0000090168-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016816000108/0000090168-16-000108-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016817000030/0000090168-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016818000025/0000090168-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016819000040/0000090168-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016820000042/0000090168-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/90168/000009016821000041/0000090168-21-000041-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
