,https://roic.ai/company/ECOL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,6000000,- -,1200000,1700000,300000,300000,4800000,3000000,152000,2193000,- -,18000,95000,1091000,4002000,1061000,1254000,2003000,328000,- -,- -,- -,- -,- -,96431000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149000,- -,-6637000,-5500000,- -,- -,- -,-2588000,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18332000,-465000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-4345000,-5291000,-10817000,-10937000,-12054000,-13068000,-13090000,-13113000,-16432000,-9978000,-15532000,-15612000,-15673000,-15711000,-15804000,-15890000,-5667000,- -
94,Other Financing Activites,- -,- -,- -,- -,16500000,-700000,-800000,-1300000,-2100000,32800000,200000,-977000,-496000,-4703000,360000,2551000,-3432000,-7513000,-3053000,-4498000,-4191000,1998000,206000,1168000,1000,62683000,17349000,26732000,11725000,401709000,12193000,49445000,290222000,89113000,559860000,158720000,57816000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,22500000,-700000,400000,400000,-1800000,32300000,4800000,2023000,-344000,-2510000,360000,2569000,-3486000,-6422000,-5688000,-13282000,-8228000,-6816000,-10403000,-13484000,-13079000,49582000,-35164000,-11200000,43678000,366793000,-108358000,-31589000,-26344000,72861000,384434000,-18459000,-58091000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000,-82000,163000,-306000,-641000,-459000,-8000,636000,-1633000,1062000,1915000,277000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,181000,4076000,329000,-649000,354000,-4341000,6539000,-4514000,1481000,134000,8788000,5910000,12874000,-25005000,-2053000,-2169000,71820000,-50969000,-16982000,1026000,20027000,3954000,9387000,32964000,-6050000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,366000,4442000,4771000,4122000,4476000,135000,6674000,2160000,3641000,3775000,12563000,18473000,31347000,6342000,4289000,2120000,73940000,22971000,5989000,7015000,27042000,32753000,42140000,75104000,69054000
99,Cash at the Beginning of Period,- -,- -,- -,- -,800000,14900000,10800000,5100000,10800000,4400000,200000,229000,185000,366000,4442000,4771000,4122000,4476000,135000,6674000,2160000,3641000,3775000,12563000,18473000,31347000,6342000,4289000,2120000,73940000,22971000,5989000,7015000,28799000,32753000,42140000,75104000
100,Free Cash Flow,- -,- -,- -,- -,1900000,2400000,1500000,8100000,-2200000,-5500000,300000,3493000,1629000,1005000,-5723000,-5218000,-29000,2081000,12153000,19352000,1812000,955000,15220000,16991000,27382000,739000,33095000,19408000,28266000,42935000,32177000,38931000,44776000,40728000,21516000,49747000,47653000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783400/000155837020001841/0001558370-20-001841-index.html,https://www.sec.gov/Archives/edgar/data/1783400/000155837021002040/0001558370-21-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1783400/000155837022002321/0001558370-22-002321-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
