,https://roic.ai/company/GTBP,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,100000,-300000,- -,-1479000,-401000,-212000,1406000,226000,7320000,3808000,1303000,-3060000,- -,2208000,296000,1001000,930000,433000,2589000,3850000,1902000,5991000,14612000,3527000,12531000,17638000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,4400000,5900000,6800000,-1479000,5467000,-212000,1406000,247000,7942000,4093000,1373000,-2560000,- -,2208000,296000,1001000,930000,425000,2583000,3850000,1902000,5991000,10197000,3427000,12531000,42317000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,20000,-7000,-45000,-15000,28000,-26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-330000,- -,- -,- -,- -,- -,- -,- -,4600000,4400000,5900000,6800000,-1786000,1270000,-1838000,203000,-52000,4315000,-4073000,594000,-68000,-169000,1271000,-1239000,38000,31000,-80000,812000,-808000,-28000,557000,-516000,-32000,5269000,3671000
98,Cash at the End of Period,- -,- -,- -,- -,2070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000,2059000,221000,424000,372000,4687000,614000,1208000,1140000,22000,1293000,54000,92000,123000,43000,855000,47000,19000,576000,60000,28000,5297000,8968000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2400000,- -,- -,- -,700000,300000,300000,800000,900000,700000,400000,1300000,2575000,789000,2059000,221000,424000,372000,4687000,614000,1208000,191000,22000,1293000,54000,92000,123000,43000,855000,47000,19000,576000,60000,28000,5297000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-600000,-1700000,400000,-5400000,-4400000,-4900000,-5300000,-2858000,-4047000,-1436000,-1014000,-242000,-3339000,-2298000,-779000,-367000,-169000,-937000,-1535000,-963000,-989000,-442000,-1755000,-4658000,-1930000,-5434000,-10713000,-3659000,-7262000,-15606000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109657/000165495421004295/0001654954-21-004295-index.htm,https://www.sec.gov/Archives/edgar/data/109657/000149315222007883/0001493152-22-007883-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
