,https://roic.ai/company/BELFA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,9600000,12000000,27000000,27900000,22700000,28600000,36800000,44000000,40800000,63100000,97719613,83698497,82789146,101750705,127623929,128203297,144677382,173171000,163985000,167833000,157296000,165264000,144748000,137304000,188854000,163428000,163115000,178799000,184479000,192963000,192680000,241508000,-1182000
82,Other Non-Cash Items,- -,- -,- -,- -,900000,-1600000,-12200000,-13600000,4200000,-7300000,-12400000,-4100000,-700000,-26100000,-38419613,12491002,28850927,-20853683,-20936643,2768428,-11936640,-42703901,-3186000,17543000,35492000,-25741000,35960000,7034000,-70261000,18887000,21437000,69559000,6904000,-42628000,16289000,-32513000,-3818000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,400000,2700000,2000000,8500000,5100000,-800000,7000000,14300000,8300000,15800000,23200000,38402102,20972181,5090299,28666193,32108749,31273095,19032492,19846000,10289000,29158000,7637000,30267000,11609000,10581000,22457000,65789000,38603000,24120000,10097000,24450000,46108000,4632000
84,CAPEX,- -,- -,- -,- -,-3000000,-4100000,-2100000,-7900000,-5100000,-6300000,-7400000,-2700000,-6100000,-31200000,-5300000,-8127595,-5975441,-6477313,-3119321,-6578658,-7745817,-9364444,-9269000,-7187000,-2456000,-2427000,-2928000,-4744000,-8276000,-9042000,-9891000,-8223000,-6425000,-11594000,-9891000,-5476000,-9397000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5943046,-5561411,-36277457,-353464,-20807083,-6960974,- -,- -,-454000,-40424000,- -,-19410000,-30994000,-208693000,- -,- -,- -,-2177000,-29003000,- -,-16811000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-12500000,-4900000,-1300000,-3000000,-4700000,-2800000,-1400000,-773253,-5864808,-8824630,-4953449,-17723615,-17998601,-3633890,-37485000,-18970000,-3545000,-6190000,-5135000,-24000,- -,-2936000,- -,- -,- -,-1348000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,100000,3300000,5500000,7100000,6300000,7700000,2800000,- -,3024432,3663213,6131796,4904875,6345595,1621603,24489966,28931000,18600000,25878000,- -,433000,5119000,2820000,- -,2820000,2164000,- -,1348000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1100000,-700000,- -,14000000,100000,800000,100000,200000,100000,200000,-700000,865,89164,-898157,29000,29000,252587,-300000,11332000,2272000,3907000,4284000,-14850000,193000,10269000,3001000,-2743000,3675000,76000,77000,5807000,3961000,7330000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4100000,-4800000,-2100000,6200000,-14200000,-4900000,-1500000,800000,-3000000,-31000000,-7400000,-5875551,-14030918,-15629715,-39416352,-18281142,-44677311,4230658,-6491000,-5285000,23330000,-44757000,-22480000,-18866000,-26181000,-217670000,-9814000,-2384000,-6349000,-13694000,-33087000,-1515000,-18878000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,- -,-17536000,-58061000,-43515000,-150024000,-16512000,-14974000,-28179000,-119346000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,100000,100000,300000,100000,400000,900000,700000,962516,1328129,1872716,2580224,3891266,4115508,3186587,1452000,312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-807805,- -,- -,- -,- -,- -,- -,-5733000,-11002000,-92000,- -,- -,-6644000,-3356000,- -,- -,- -,- -,- -,-448000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1580858,-1606851,-1638293,-1871494,-2168258,-2183371,-2223204,-2473000,-3192000,-3137000,-3181000,-3205000,-3225000,-3111000,-3160000,-3238000,-3245000,-3281000,-3295000,-3352000,-3363000,-3379000
94,Other Financing Activites,- -,- -,- -,- -,1700000,-1000000,-800000,- -,- -,300000,- -,- -,- -,- -,- -,104000,29000,29000,8500000,-2000000,-7360694,336456,149000,39000,- -,- -,- -,- -,12506000,232244000,12485000,-718000,128988000,7500000,44000000,-600000,114325000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1700000,-1000000,-800000,200000,100000,400000,- -,100000,400000,900000,700000,-1322147,-249722,263423,9208730,-276992,-5428557,1299839,-6605000,-13843000,-3229000,-3181000,-3205000,-9886000,6039000,211548000,-48814000,-47478000,-24317000,-12307000,25226000,-32142000,-8400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186124,-367484,199920,364000,-81000,17000,-101000,-170000,164000,422000,-1320000,741000,-370000,2489000,461000,1789000,199000,-537000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16500000,31204404,6691541,-10275993,-1541429,13736739,-19200257,24762909,7114000,-8920000,49276000,-40402000,4412000,-16979000,-9139000,15015000,7902000,-11629000,-4057000,-15443000,18378000,12650000,-23183000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,62587033,69278574,59002581,57461152,71197891,51997634,76760543,83875000,74955000,124231000,83829000,88241000,71262000,62123000,77138000,85040000,73411000,69354000,53911000,72289000,84939000,61756000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8300000,6300000,3200000,2300000,17100000,8100000,2800000,8300000,23500000,29200000,14900000,31382629,62587033,69278574,59002581,57461152,71197891,51997634,76761000,83875000,74955000,124231000,83829000,88241000,71262000,62123000,77138000,85040000,73411000,69354000,53911000,72289000,84939000
100,Free Cash Flow,- -,- -,- -,- -,-2600000,-1400000,-100000,600000,- -,-7100000,-400000,11600000,2200000,-15400000,17900000,30274507,14996740,-1387014,25546872,25530091,23527278,9668048,10577000,3102000,26702000,5210000,27339000,6865000,2305000,13415000,55898000,30380000,17695000,-1497000,14559000,40632000,-4765000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011096000322/0000950110-96-000322-index.html,https://www.sec.gov/Archives/edgar/data/729580/000095011097000545/0000950110-97-000545-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011001000244/0000950110-01-000244-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000114420405009461/v014734_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420406010168/v037509_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420407013141/v068360_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420408015714/v106810_10k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420409013931/0001144204-09-013931-index.html,https://www.sec.gov/Archives/edgar/data/729580/000114420410013110/0001144204-10-013110-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958011000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958012000005/0000729580-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958013000006/0000729580-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958014000005/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958015000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958016000036/0000729580-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958017000006/0000729580-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958018000006/0000729580-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958019000007/0000729580-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774920006060/0001437749-20-006060-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774921005899/0001437749-21-005899-index.htm,https://www.sec.gov/Archives/edgar/data/729580/000143774922006139/0001437749-22-006139-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
