,https://roic.ai/company/NWLI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1194000,-1267000,-1268000,-1269000,-1269000,-1270000,-1273000,-1273000,-1273000,-1273000,-1273000,-1273000,-1273000,-1273000,-1273000,-1273000,-1272000
94,Other Financing Activites,- -,- -,- -,- -,- -,246000000,115200000,-22800000,-64800000,-70290000,98830000,16296000,-51492000,113096000,46864000,-98084000,-52526000,141923000,839493000,496758000,152829000,25481000,-92803000,-118338000,337402000,855919000,662891000,144244000,106644000,104345000,8171000,-52814000,-163262000,-440641000,-509744000,-437442000,-322174000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,246000000,115200000,-22800000,-64800000,-70290000,98830000,16296000,-51476000,113339000,46996000,-97935000,-51979000,142609000,840966000,499272000,154583000,24725000,-93944000,-119159000,336133000,855112000,662251000,142971000,105371000,103422000,6898000,-54087000,-164535000,-441914000,-586017000,-439093000,-323835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000,-78000,-12000,24000,374000,722000,314000,-112000,-70000,-308000,-217000,221000,652000,-913000,214000,-251000,-15000,1714000,663000,19000,-20000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,100000,- -,-11576000,-7699000,1334000,-3488000,16638000,-10498000,8655000,-12462000,75341000,-17334000,-18016000,-18839000,18546000,-4695000,22590000,41070000,-28534000,38958000,5271000,-3702000,156219000,-171071000,-54760000,166377000,-85648000,121549000,327534000,133565000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,21247000,10024000,11358000,7870000,24508000,14010000,22665000,10203000,85544000,68210000,50194000,31355000,49901000,45206000,67796000,108866000,80332000,119290000,124561000,120859000,277078000,106007000,51247000,217624000,131976000,253525000,581059000,714624000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,90500000,30700000,30300000,31200000,32823000,17723000,10024000,11358000,7870000,24508000,14010000,22665000,10203000,85544000,68210000,50194000,31355000,49901000,45206000,67796000,108866000,80332000,119290000,124561000,120859000,277078000,106007000,51247000,217624000,131976000,253525000,581059000
100,Free Cash Flow,- -,- -,- -,- -,- -,49100000,86600000,177600000,101400000,168824000,98997000,144643000,144352000,130815000,118393000,139058000,142390000,126711000,68965000,146017000,201090000,224020000,257902000,194625000,137525000,178868000,244765000,290281000,253599000,313264000,346224000,258929000,267014000,323485000,326185000,360965000,266848000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1635984/000163598416000042/0001635984-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598417000006/0001635984-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598418000004/0001635984-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598419000009/0001635984-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598420000004/0001635984-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598421000009/0001635984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598422000009/0001635984-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
