,https://roic.ai/company/PKX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,-89776733132,-118346545735,-239206067670,-228833114884,-214266903842,-341250000000,-507000000000,-673581493186,-607109019712,-655469102513,-755037000000,-689129000000,-693296000000,-770858000000,-751908000000,-648580000000,-677000000000,-822570000000,-708970000000,-863450000000,-723934000000,-946218000000,-659145000000,-1310920000000
94,Other Financing Activites,-356639247455,-1764212908574,350171933385,-568792379843,-872785290332,-480000000000,-793000000000,-527698611153,1136154525069,538920413128,13485488000000,8547945000000,10536187000000,7314142000000,1728421000000,7012854000000,3571074000000,2090939000000,1032898000000,2433938000000,665194000000,3348311000000,4591446000000,4680206000000
95,Cash Used/Provided by Financing Activities,-247121033739,-2259569646416,-890706698153,-824159003333,-1178190984178,-1097500000000,-1594000000000,-1560928350690,-216235251716,-1001421350438,3116582000000,862098000000,5679195000000,4899885000000,-907627000000,3532336000000,135112000000,-2241601000000,-3950967000000,-1565528000000,-3195048000000,-1512179000000,-1090868000000,-738528000000
96,Effect of Forex Changes on Cash,-68507637979,- -,- -,- -,-13155397386,10000000000,-22000000000,-4377935447,-14541825557,30918539391,141536000000,-40865000000,586910000000,3052000000,-160982000000,-110765000000,11545000000,23496000000,12611000000,-58997000000,4628000000,61764000000,-95272000000,112950000000
97,Net Change In Cash,-247121033739,373499433334,361340074950,-476403417724,-139722419881,341250000000,-102000000000,169960028039,269508559458,356609551318,1197883000000,-291541000000,1400743000000,1077637000000,81844000000,-471964000000,-186426000000,849048000000,-2423565000000,164911000000,31335000000,871381000000,1240332000000,20142000000
98,Cash at the End of Period,- -,516421290480,878241464303,404143233579,267366547952,622500000000,472000000000,646945138625,893199677940,1293559927836,2490711000000,2199170000000,3599913000000,4598682000000,4680526000000,4208562000000,4022136000000,4871184000000,2447619000000,2612530000000,2643865000000,3515246000000,4755578000000,4775720000000
99,Cash at the Beginning of Period,1346650996980,142921857146,516901389353,880546651303,407088967833,281250000000,574000000000,476985110586,623691118482,936950376518,1292828000000,2490711000000,2199170000000,3521045000000,4598682000000,4680526000000,4208562000000,4022136000000,4871184000000,2447619000000,2612530000000,2643865000000,3515246000000,4755578000000
100,Free Cash Flow,1579905990785,1838731594788,1177649807423,413696453050,1508325029143,3668750000000,4778000000000,2032273409311,60066530466,2617362365099,-537405000000,2125149000000,-4080290000000,-4214155000000,-183301000000,-2255144000000,-437254000000,4752437000000,2807125000000,2976307000000,3286559000000,3185849000000,5188150000000,2721616000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889132/000114554903000514/0001145549-03-000514-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554904000826/0001145549-04-000826-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554905001160/0001145549-05-001160-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554906000799/0001145549-06-000799-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554907001133/0001145549-07-001133-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554908001123/0001145549-08-001123-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012309018332/0000950123-09-018332-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012310060955/0000950123-10-060955-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012311061431/0000950123-11-061431-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312512193767/0001193125-12-193767-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312513179725/0001193125-13-179725-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312514194110/0001193125-14-194110-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312515154634/0001193125-15-154634-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312516561771/0001193125-16-561771-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312517140742/0001193125-17-140742-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312518136684/0001193125-18-136684-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312519127060/0001193125-19-127060-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312520124495/0001193125-20-124495-index.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0009,0.0009,0.0009,0.0009,0.0009,0.00085,0.000937,0.000898,0.000866,0.000921,0.000841
